CSZJJ No.,CSZJJ Title,Taisho No.,File,Summary
877,文殊師利般涅槃經,T 463,,"This text is a sutra where the Buddha is residing in Jetavana Vihara in Shravasti. He radiates golden light and reveals auspicious signs foretelling the future Nirvana of Manjushri Bodhisattva. The Buddha describes Manjushri's extraordinary birth, powers, and future activities, emphasizing his role in benefiting sentient beings and teaching the Dharma, particularly in the Himalayas where he will teach the twelve-fold scriptural division to five hundred hermits. The Buddha also elaborates on the benefits of remembering, venerating, and contemplating Manjushri, leading to the purification of karmic obstacles and eventual enlightenment."
883,無言菩薩流通法經,T 397(6),,"This text from the Mahāvaipulya Mahāsaṃghāta Sūtra tells the story of the Bodhisattva ""No Speech"" (Wu Yan), who was born mute but possessed great wisdom and the ability to manifest extraordinary phenomena. Even as a child, celestial beings instructed him to contemplate the Dharma and avoid worldly matters, leading him to a life of silent contemplation and deep understanding. No Speech's profound insights and teachings, delivered through divine manifestations and profound verses, inspire countless beings to seek enlightenment. He ultimately reveals that true understanding transcends words and that the path to enlightenment lies in the realization of emptiness and the inherent equality of all things."
893,無垢施菩薩分別應辯經,T 310 (33),,"The text narrates a gathering where Buddha is in the Jeta Grove with a large assembly of monks and bodhisattvas. They encounter an eight-year-old girl, Wu Gou Shi, who engages various arhats and bodhisattvas in profound Dharma discussions, skillfully refuting their perspectives. Impressed by her deep understanding, Buddha predicts that she will become a Buddha named Wu Gou Guang Xiang Wang in the future and also predicts that 500 Brahmanas will become Buddhas."
897,無言菩薩經,T 397(6),,"This passage from the Mahāvaipulya Mahāsaṃgraha Sūtra tells the story of the Bodhisattva ""No Speech,"" a child born mute who is praised by the Buddha. Despite his muteness, No Speech is a great Bodhisattva who demonstrates profound wisdom and understanding of the Dharma, even showing miraculous powers and delivering teachings through silent means. He emphasizes the importance of contemplating the true meaning of the Dharma beyond words and the interconnectedness of all things, inspiring many to seek enlightenment."
899,異出菩薩本起經,T 188,,"This text narrates the story of how Śākyamuni Buddha became enlightened in a previous life. As a bodhisattva named Maṇava, he purchased lotus flowers to offer to the Buddha Dīpankara, receiving a prophecy that he would become the Buddha Śākyamuni after ninety kalpas. The text describes his subsequent rebirths and eventual birth as Prince Siddhartha, detailing the events leading to his renunciation of worldly life and his eventual enlightenment under a tree after enduring hardships and meditation. Finally, it tells about the dragon king who became his first devotee and his returning to teach his 5 former companions, leading to many conversions and miracles."
903,大方廣菩薩十地經,T 308,,"This sutra, translated by Jīkajia, describes the ten stages of a Bodhisattva's path to enlightenment, as explained by the Buddha in response to questions from the Bodhisattva Endless Wisdom. It details the characteristics, virtues, and samadhis associated with each stage, including the perfection of the ten paramitas (perfections) and the preliminary signs experienced by Bodhisattvas. The sutra also emphasizes the importance of remembering and reciting this teaching, as it leads to the attainment of various dharanis and ultimately, the realization of Buddhahood. The audience, including Bodhisattvas, monks, deities, and humans, rejoices upon hearing this teaching."
908,菩薩生地經,T 533,,"The text is a sutra called the ""Sutra of the Land Where Bodhisattvas are Born,"" translated by Zhi Qian. It recounts a conversation between the Buddha and a lay disciple named Chamoja regarding the practices that allow a Bodhisattva to quickly attain enlightenment. The Buddha emphasizes the importance of patience, moral conduct, loving the Dharma, avoiding women, and practicing generosity for achieving Buddhahood, and speaks against engaging in evil deeds, anger, and disrespect. The sutra concludes with assurances of great merit for those who believe and uphold this teaching and a warning to not dismiss it."
921,優婆塞五戒經,T 1503,$nti/t1503_01.txt,"This text is a sutra about the rules and conduct for lay Buddhist practitioners (Upasakas) who have taken the five precepts, specifically concerning the Bodhisattva precepts. It outlines many actions that constitute offenses and non-offenses. In general, a practitioner should avoid arrogance, anger, greed, harming others, and neglecting the needs of others or the dharma, with considerations for the circumstances and motivations behind the actions. The text also covers practices of devotion, ethical conduct, and the benefits of upholding the precepts for spiritual progress."
923,弟子學有三輩經,T 767,$nti/t0767_01.txt,"This sutra, translated by Zhi Qian, describes the three types of lay disciples (Upasakas and Upasikas) based on their adherence to the five precepts and their practice of the Bodhisattva path. The highest level diligently upholds the precepts, actively guides others towards enlightenment with a Bodhisattva mind, and selflessly teaches the Mahayana path without seeking personal gain. The middle level also upholds the precepts but lacks deep understanding and proficient guidance, while the lowest level violates the precepts, criticizes wise teachers, and selfishly uses their position to gain offerings, leading to negative consequences. The Buddha emphasizes the importance of gathering to discuss the Dharma and avoiding association with such misguided individuals to prevent harm to the teachings."
924,弟子死復生經,T 862,$nti/t0826_01.txt,"This text, ""Sutra of the Disciple Who Died and Was Reborn,"" tells the story of a devout follower of Buddhism who dies and is taken to the underworld. There, the king of the underworld interrogates him about his life and the practices of Buddhist monks, before learning that he was not meant to die yet due to his remaining years and eventual return to the Buddhist teachings. The disciple is then returned to life and shares his experience with the Buddha, who elaborates on the importance of upholding the Buddhist precepts and the consequences of both good and evil actions in the cycle of rebirth. The sutra emphasizes the power of the Buddha's teachings to protect and guide followers away from suffering."
967,頂生王故事經,T 39,$nti/t0039_01.txt,"The text tells the story of King Top-Born (頂生王), a powerful ruler who conquered the four corners of the world and eventually ascended to the heavens to rule alongside Indra. Driven by insatiable desire, he plotted to usurp Indra's throne, but his ambition led to his downfall and a painful return to the human realm. The Buddha uses this story to illustrate that worldly desires are never truly fulfilling and only lead to suffering. True satisfaction comes from attaining enlightenment and transcending these desires."
968,頻毘婆王詣佛供養經,T 133,$nti/t0133_01.txt,"This text recounts the story of King Bimbisara of Magadha visiting and making offerings to the Buddha. Initially, the Buddha was residing in Sravasti, where he was revered and provided for by many. King Bimbisara, after hearing of the Buddha's virtues, traveled to meet him, and after listening to the Buddha's teachings, the king became a devoted follower. He invited the Buddha and his monastic community to his kingdom for three months, where he provided them with all their needs, leading to the conversion of many and further spreading the Buddha's teachings."
969,阿闍世王問五逆經,T 508,$nti/t0508_01.txt,"This text, translated by Dharma Master Fa Ju of the Western Jin Dynasty, recounts a conversation between King Ajatasattu and the Buddha regarding the consequences of the five rebellious acts, particularly the king's own patricide. Devadatta attempts to reassure the king that he won't suffer for his actions, but the Buddha clarifies that Ajatasattu will initially fall into hell but will eventually progress through realms and ultimately become a Pratyekabuddha. The Buddha emphasizes the importance of intent and its impact on one's karmic journey. Finally, Jivaka, a prince, confirms the Buddha's words, but the king remains skeptical about visiting the Buddha until he is sure that the Buddha is truly all-knowing."
971,阿闍世王受決經,T 509,$nti/t0509_01.txt,"This text tells the story of King Ajatasatru seeking a prophecy from the Buddha. Initially, his grand offerings didn't earn him one, but a poor woman's sincere offering of a single lamp and a humble gardener's scattering of flowers did. The King, learning the importance of sincere intention, prepared a jeweled offering with his family, only to learn the Buddha had passed. Despite this, he offered it where Buddha had sat, and due to his sincerity, finally received a prophecy of becoming a Buddha in a future eon."
981,優填王經,T 332,$nti/t0332_01.txt,"This text tells the story of King Udyana (優填王) who, after being offered a beautiful woman by her father, is taught by the Buddha about the impure and undesirable nature of the body, particularly that of women. The king then takes the woman as his queen, but is misled by her to persecute his virtuous first queen, who is a follower of the Buddha. Eventually, the king realizes his error after witnessing her"
988,鏡面王經,T 152 (89),taisho/t0152_n89.txt,"The Buddha recounts a story of King Mirror-Face who, witnessing blind men arguing over their understanding of an elephant based on touch, realized they were like those who ignore the breadth of Buddhist scripture and cling to narrow views. He then taught his kingdom the importance of the full Buddhist teachings. The Buddha explains that the king was himself in a past life, and the arguing scholars are like the blind men, foolishly arguing from limited perspectives. He urges his disciples to understand and spread his teachings for future enlightenment and lasting Dharma."
989,察微王經,T 152 (90),taisho/t0152_n90.txt,"King Chawi, a former king who deeply studied Buddhist scriptures, believed that the elements of earth, water, fire, and wind combine to create life and that beings are reborn according to their actions. To illustrate the difficulty of understanding past lives, he staged an elaborate prank, placing a cobbler in his royal robes and then returning him to his former state after getting him drunk. The cobbler, having experienced both royal life and its subsequent ""punishment,"" realized that even a brief dream of kingship was difficult, let alone understanding the complexities of reincarnation. The Buddha reveals that King Chawi was actually himself in a past life, demonstrating the bodhisattva's wisdom and generosity."
991,桀貪王經,T 198 (1),taisho/t0198_n01.txt,"The Buddha recounts two stories to illustrate the nature of suffering and the insatiability of desire. First, he comforts a grieving Brahmin who lost his crops and daughter by explaining that loss, sickness, old age, and death are unavoidable for all beings. Then, the Buddha tells the story of King Jetta who, driven by insatiable greed, conquered several kingdoms, yet remained unhappy and sought to conquer another country until a young boy reminded him of the endless nature of desire. Ultimately, the Buddha teaches that true freedom comes from understanding and relinquishing attachment to worldly desires."
993,薩羅王經,T 520,$nti/t0520_01.txt,"The Sutra of the Sāro Kingdom describes a prosperous and pleasure-seeking kingdom called Sāro. Buddha, seeing their attachment to worldly desires, uses his divine powers and radiant light to visit the kingdom, causing miraculous events and drawing the attention of the king and his people. The king, confronted by the Buddha's wisdom, seeks a way to escape suffering, and the Buddha teaches him the importance of giving, controlling desires, following the Buddha's teachings, and respecting teachers of the Dharma. The King and his people are converted, embrace the Buddha's teachings, and the Buddha prophesizes the King's future enlightenment as the ""Light of Wisdom"" Buddha, leading the people of Sāro to future Buddhahood as well."
998,國王五人經,T 152 (24),taisho/t0154_n24.txt,"The Buddha tells a story about five brothers, each excelling in wisdom, craftsmanship, beauty, diligence, and fortune respectively, who each claimed to be the best. They travel to other countries to prove their worth, each demonstrating their unique abilities and acquiring great rewards. The brother with fortune eventually becomes king, and the others serve him, demonstrating that fortune surpasses the other qualities. The Buddha reveals that in this past life, the brothers were the present-day disciples Shariputra, Aniruddha, Ananda, Suna, and the Buddha himself, emphasizing that even then, he was superior and they are now his followers."
999,太子刷護經,T 343,$nti/t0343_01.txt,"The Sutra tells of Prince Suhu, son of King Ajatasatru, who, with 500 others, visits the Buddha to ask about the causes of various attainments for Bodhisattvas, such as physical beauty, wisdom, and rebirth in pure lands. The Buddha explains these qualities arise from cultivating virtues like patience, non-attachment, generosity, and respect for the Dharma. The Buddha then reveals that Prince Suhu and his companions are past disciples who will become Buddhas in the future in a land similar to Amitabha's, and those who believe in this sutra will also be reborn there."
1001,舍頭諫太子二十八宿經,T 1301,$nti/t1301_01.txt,"This text recounts a story where the Buddha helps his disciple Ananda overcome a spell cast by a woman named 波機提 who desires him. She enlists her mother's help in using a powerful spell to enchant Ananda, leading him to leave the monastery and go to her home. The Buddha, aware of Ananda's plight, intervenes with his own incantation to break the spell and lead Ananda back to the monastery. Ultimately, the woman is converted, becoming a Buddhist nun and achieving enlightenment."
1006,誨子經,T 154 (38),taisho/t0154_n38.txt,"This passage tells the story of a son who, after his father's death, became wayward and indulged in vices, causing his mother great concern. His mother then wisely taught him the virtues of gentleness, good companionship, encouragement, and righteousness, explaining the benefits of each. The son, realizing his past mistakes, embraced her teachings, becoming a virtuous man who eventually served as a respected minister and successfully reconciled two warring kingdoms, demonstrating the transformative power of his mother's guidance. Finally, the Buddha warns of a future where such teachings may be disregarded by a depraved generation."
1012,五百幼童經,T 154 (33),taisho/t0154_n33.txt,"The Buddha, while in the country of Bārāṇasī, learns of 500 children who drowned in a flood while playing together building sand pagodas. The Buddha reveals that this was their karma from 500 previous lives, and that they have been reborn in the Tuṣita Heaven. He then calls the children down, who pay homage to the Buddha and ask their parents not to grieve, but to practice the Dharma. The children then return to Tuṣita Heaven, and the parents, comforted, take refuge in the Buddha's teachings."
1015,逝童子經,T 527,$nti/t0527_01.txt,"The text describes how the Buddha, while begging for alms, was seen by a sixteen-year-old boy named Shi (逝) who was immediately filled with reverence. Shi offered his food and clothing to the Buddha, expressing his desire to attain the same wisdom as the Buddha, rather than worldly riches. The god Indra initially tried to dissuade him, but Shi remained steadfast, impressing even Indra with his resolve. The Buddha then prophesied that after countless lifetimes of virtuous deeds, Shi would ultimately become a Buddha named Sumi Jie (須彌劫)."
1024,長者詣佛說子婦不恭經,T 143,$nti/t0143_01.txt,"The Jade Maiden Sutra tells the story of a woman named Jade Maiden, wife of the son of Anāthapiṇḍika, who was arrogant and disrespectful towards her elders. Buddha uses his powers and teachings to humble Jade Maiden, revealing the ten evils of women and describing the duties and virtues of a good wife, as well as the different types of wives that exist. Jade Maiden is repentant and vows to become a virtuous wife, following the Buddha's teachings and taking vows as a lay follower (Upasika). The Buddha then blesses her and instructs her to follow the precepts, ensuring her a better future life."
1025,長者子制經,T 526,$nti/t0526_01.txt,"This text tells the story of a wealthy young man named Zhi (制), who encounters the Buddha while he is begging for food. Impressed by the Buddha's appearance, Zhi offers his own meal and clothes, expressing his desire to become a Buddha himself. Despite the doubts voiced by the god Śakra, Zhi insists on his aspiration with unwavering determination, vowing to endure any hardship to achieve enlightenment. Buddha then prophesizes that after countless eons, Zhi will become a Buddha named Sumerukara and will save countless beings."
1026,長者子懊惱三處經,T 525,$nti/t0525_01.txt,"A wealthy, childless couple prays for a son who is eventually born, but tragically dies after falling from a tree. Overcome with grief, they are visited by the Buddha who explains that their son's soul had previously resided in the Heaven of the Thirty-three and will be reborn as a dragon, only to be devoured by a golden-winged bird, thus experiencing sorrow in three places. The Buddha consoles the parents, explaining that their son's early death was the result of past actions of hunting and harming other living beings, while his wealth was a result of generosity in a past life, emphasizing the concept of karma."
1039,十支居士八城人經,T 92,$nti/t0092_01.txt,"This text describes a meeting between the Venerable Ananda and a group of lay Buddhists from eight cities. The laymen, pleased with their successful business in the city, seek out Ananda to ask about how to achieve liberation. Ananda explains that through various practices like detachment, cultivating loving-kindness, and meditation, one can attain freedom from suffering and reach enlightenment. The laymen are deeply impressed and offer a generous donation to Ananda, who then shares it with the monastic community."
1050,婆羅門子命終愛念不離經,T 91,$nti/t0091_01.txt,"The sutra recounts a story where a grieving Brahmin, distraught over the death of his son, is told by the Buddha that love inevitably leads to sorrow. The Brahmin initially disagrees, finding support for his view among some entertainers, leading to a debate that reaches King Pasenadi. The King initially doubts the Buddha's teaching, but Queen Mallika uses examples of the King's attachments to demonstrate that loss or change of those loved invariably leads to sorrow. King Pasenadi is eventually convinced and declares the Buddha as his teacher, taking refuge in the Buddha, Dharma and Sangha."
1052,婆羅門避死經,T 131,$nti/t0131_01.txt,"The Buddha recounts a story of four Brahmin hermits who, fearing death, sought refuge in different places using their advanced spiritual powers (five supernatural powers): one in the sky, one in the ocean, one in a mountain cave, and one underground. However, death found them in each of these places. The Buddha, observing this, teaches that there is no place in the sky, sea, mountain, or earth that can escape death."
1061,佛為黃竹園老婆羅門說學經,T 75,$nti/t0075_01.txt,"In this Buddhist scripture, the Buddha is in the Yellow Bamboo Grove when an elderly Brahmin approaches him and criticizes him for not showing proper respect. The Buddha responds by stating that he does not show respect because he has overcome the causes of such behavior. He describes his path to enlightenment, including the attainment of the four levels of meditation and the three insights (knowledge of past lives, the ability to see the destiny of beings, and the extinction of outflows) which led him to liberation from suffering. Impressed by the Buddha's profound understanding, the Brahmin expresses his faith, takes refuge in the Buddha, Dharma, and Sangha, and vows to abstain from killing."
1069,審裸形子經,T 154 (27),taisho/t0154_n27.txt,"The Buddha recounts a story where a naked ascetic, born from a Brahmin woman and a king, sends his four sisters to test the Buddha's teachings. However, the sisters are converted and praise the Buddha, angering the ascetic who accuses them of being deceived. The Buddha then relates a past life story where a king named Kalin sent four women to test another king named Aji, but Aji prevailed due to his wisdom and the support of his minister, Shariputra, just as the Buddha now prevails with the help of his disciples. The Buddha identifies the characters from the past life as the present-day ascetic, himself, Shariputra, and Ananda, emphasizing the continuity of their roles and relationships."
1077,仙人撥劫經,T 154 (52),taisho/t0154_n52.txt,"The Buddha recounts a story about a former life of Sariputta, named the ascetic Bōjié (撥劫), who had supernatural powers granted by ascetic practices, and was highly respected by a king. While the king was away, the ascetic succumbed to lust upon touching the king's daughter, losing his powers. The king, upon returning, confronted him, and the ascetic, filled with shame, regained his powers through diligent effort. The Buddha concludes that the king in the story was himself, and the ascetic was Sariputta, illustrating that even those who have achieved much can still be susceptible to temptation."
1078,五仙人經,T 154 (11),taisho/t0154_n11.txt,"The Buddha recounts a past life where he was a servant to four ascetics. Due to a mistake, they cursed him, leading to his rebirth as a king after death. A brahmin, previously respected by the king, became arrogant, prompting the king to initially exile him. Later, the brahmin found a jeweled shoe from the king's past life, which was offered back to the king."
1082,光華梵志經,T 154 (14),taisho/t0154_n40.txt,"The Buddha, residing at Jetavana Monastery, was surrounded by a large assembly of monks, bodhisattvas, and other beings. Ananda inquired about the past deeds of these monks, who had renounced worldly life, developed supernatural powers, and attained enlightenment. The Buddha explained that in a previous era, during the time of the Buddha Vipassi, a Brahmin named Guanghua, along with a king and a wealthy man, led their followers to renounce their lives and become monks; through their devotion and good deeds over 91 kalpas, they were reborn in heaven and as humans, and eventually joined the Buddha's sangha, achieving enlightenment."
1095,梵志計水淨經,T 510,$nti/t0051_01.txt,"The Buddha, after achieving enlightenment, encounters a Brahman who believes in purification through water rituals. The Buddha explains that true purification comes from abandoning 21 defilements that lead to suffering and cultivating virtues like loving-kindness, compassion, joy, and equanimity. He emphasizes that external cleansing is ineffective against inner impurities, and that virtuous conduct is the path to true liberation. The Brahman, convinced by the Buddha's teachings, takes refuge in the Buddha, Dharma, and Sangha, vowing to abstain from killing."
1105,前世諍女經,T 154 (7),taisho/t0154_n07.txt,"The Buddha recounts a story from a past life to explain Devadatta's animosity towards him. Long ago, a wealthy Brahmin offered his beautiful daughter to the most knowledgeable scholar among 500. Although an older scholar was initially chosen, a younger, wiser scholar ultimately won her hand, enraging the older man who vowed revenge in future lives. The Buddha reveals that the older scholar was Devadatta, the younger was himself, and the woman was his disciple Goyi, thus explaining the origin of Devadatta's lifelong hatred."
1106,三摩竭經,T 129,$nti/t0129_01.txt,"This text recounts the story of Samagga, a wise woman from a Buddhist kingdom, who marries the king of a heretical nation. The king, proud of his own wisdom and devoted to naked ascetics, is challenged by Samagga's superior knowledge of Buddhism. She eventually invites the Buddha and his disciples to her husband's kingdom, leading to the conversion of many to Buddhism after they are convinced by the Buddha's miraculous display of power and teachings."
1112,釋家畢罪經,T 152 (54),taisho/t0152_n54.txt,"The text describes the downfall of the Shakya clan due to past karma and the resulting suffering of King Virudhaka. The king, influenced by advisors and seeking revenge for past slights, massacres the Shakya people. Despite the Buddha's efforts and interventions, he cannot prevent the inevitable consequences of their accumulated misdeeds. The story emphasizes the importance of ethical conduct, the inescapable nature of karma, and the compassion of the Buddha."
1115,殺身濟賈人經,T 152 (67),taisho/t0152_n67.txt,"In a past life, the Bodhisattva sailed with 500 merchants, but their ship was threatened by a storm and an angry sea god. Realizing the sea god detested corpses, the Bodhisattva sacrificed himself by bleeding into the sea, appeasing the god and saving the merchants. Moved by his sacrifice, the god Indra revived the Bodhisattva with divine medicine and filled the ship with treasure, leading to prosperity and the spread of Buddhist teachings. The Buddha then reveals that he was that Bodhisattva and Maitreya was Indra in the story."
1116,殺龍濟一國人經,T 152 (70),taisho/t0152_n70.txt,"In a past life, two Bodhisattva brothers vowed to save a kingdom plagued by a dragon and its harmful influence, leading the people to abandon the Buddha's teachings. Recognizing the immense suffering the dragon caused, the elder brother convinced the younger that killing the dragon to save the nation, although seemingly against Buddhist principles, was necessary to prevent greater sin. The brothers transformed into a lion and an elephant and sacrificed their lives to defeat the dragon. Deeply moved by their sacrifice, the kingdom embraced Buddhism, leading to peace and prosperity, and the brothers were reborn in a higher realm. The Buddha reveals that he was the elder brother, Maitreya was the younger brother, and Devadatta was the dragon in that lifetime, emphasizing the importance of striving for boundless compassion."
1118,懈怠耕者經,T 827,$nti/t0827_01.txt,"While traveling to a new destination with his disciples and celestial beings, the Buddha noticed a farmer delaying his visit to the Buddha due to his unfinished work. Knowing the farmer's heart, the Buddha emitted light and explained to Ananda that this farmer had repeatedly missed opportunities to be liberated by previous Buddhas because of his laziness and attachment to worldly tasks. Hearing this, the farmer abandoned his work, approached the Buddha with remorse, and received teachings on the importance of diligence, ultimately attaining enlightenment."
1122,善生子經,T 17,$nti/t0017_01.txt,"The Śālistamba Sūtra tells the story of a young man named Shan Sheng, who, following his father's deathbed instructions, ritually worships the six directions. Buddha encounters him and explains the true meaning of honoring the six directions, which involves avoiding vices like killing, stealing, and associating with bad friends. Buddha then elaborates on proper conduct and relationships, offering advice on how to treat parents, teachers, spouses, friends, and servants, as well as how to interact with religious figures, all of which leads to prosperity and a good life."
1123,尸迦羅越六向拜經,T 16,$nti/t0016_01.txt,"In the Śrāvakabhūmi Sūtra, the Buddha encounters a man named Śrāvakabhūmi who is performing a six-directional bowing ritual taught by his late father. The Buddha explains that the true meaning of this practice lies not in the physical act but in cultivating ethical conduct and fulfilling one's responsibilities towards parents, teachers, spouses, friends, servants, and religious figures, each direction representing these relationships. He details specific duties and virtues relevant to each of these relationships, emphasizing moral behavior and mutual respect. The sutra concludes with verses urging diligence, ethical conduct, and devotion to the Buddha's teachings for a better life and liberation."
1129,貧窮老公經,T 797,$nti/t0797a_01.txt,"This text, the ""Buddha Speaks of the Poor Old Man Sutra,"" tells the story of an incredibly old and impoverished man who seeks to see the Buddha. After initial resistance, the Buddha allows him entry and reveals the man's past life as a wealthy prince who denied a humble monk (now the future Buddha Maitreya) basic necessities, leading to his current suffering. The Buddha emphasizes the karmic consequences of greed and the merit of saving lives, then grants the old man ordination and spiritual insight. Finally, the Buddha extols the virtues of reciting and practicing this sutra."
1130,老母經,T 561,$nti/t0561_01.txt,"While in a kingdom, the Buddha was approached by a poor old woman who questioned him about the origins and destinations of life, the senses, and the elements. The Buddha explained that all things arise and cease due to causes and conditions, lacking inherent origin or destination, using analogies like fire from wood and sound from a drum. The woman, enlightened by the Buddha's teachings, rejoiced and later, at the end of her life, will be reborn in Amitabha Buddha's realm, eventually becoming a Buddha herself."
1132,負為牛者經,T 154 (39),taisho/t0154_n39.txt,"The Buddha encounters a distressed bull being led to slaughter, who recognizes him from a past life. The bull approaches the Buddha seeking help, revealing that it is repaying a debt from a past life where the Buddha, as a king, failed to fully compensate the bull, who was then a creditor. The Buddha then intervenes, offering to repay the bull's value in gold, but ultimately, the gods provide the payment. After experiencing the glory of the Buddha and his teachings, the bull dies, is reborn in heaven, and returns to earth to honor the Buddha, ultimately attaining enlightenment."
1135,阿遬達經,T 141,$nti/t0141_01.txt,"The Buddha teaches about the immense debt children owe their parents, emphasizing that material gifts cannot repay their kindness. Instead, children should guide their parents away from harmful actions and towards virtue, lest they fall into lower realms after death. The Buddha then visits the home of a wealthy man named Sudatta, whose daughter-in-law, Yuye, is disrespectful. The Buddha instructs Yuye on the proper duties of a wife, outlining three evils and four virtues in serving her husband, leading her to become a respectful and dutiful wife."
1136,樹提伽經,T 540,$nti/t0540a_01.txt,"The Buddha recounts the story of a wealthy man named Shutijia, whose possessions far exceeded even the king's. Intrigued and envious, the king visited Shutijia's home with a large entourage, experiencing incredible luxury and splendor. The king, tempted to seize Shutijia's wealth, attempted to attack his home, but was thwarted by a powerful guardian. Ultimately, Shutijia and the king went to the Buddha, who revealed that Shutijia's great fortune was the result of past charitable deeds."
