bib_id,abbreviation,authors,title,type,ref,file,num_pages
vira_chandra1959,"Vira and Chandra, Gilgit Buddhist Manuscripts,",Vira and Chandra,Gilgit Buddhist Manuscripts,book,"Vira, Raghu, and Lokesh Chandra. *Gilgit Buddhist Manuscripts*. 3 vols. New Delhi: International Academy of Indian Culture, 1959.
",,
schopen1989,"Schopen, “Manuscript of the Vajracchedika,”",Schopen,The Manuscript of the Vajracchedika Found at Gilgit,chapter,"Schopen, Gregory. “The Manuscript of the Vajracchedika Found at Gilgit.” In *Studies in the Literature of the Great Vehicle: Three Mahāyāna Buddhist Texts*, edited by Jonathan Silk and Luis Gómez, 89–140. Ann Arbor: Collegiate Institute for the Study of Buddhist Literature and Center for South and Southeast Asian Studies, University of Michigan, 1989.
",Studies in the Literature of the Great Vehicle.pdf,237
dutt1939,"Dutt, Gilgit Manuscripts,",Dutt,Gilgit Manuscripts,book,"Dutt, Nalinaksha. *Gilgit Manuscripts*. 3 vols. Kashmir: Srinagar, 1939. https://archive.org/details/DuttGilgitManuscripts/GilgitManuscriptsVol2/mode/2up.
",,
saloman2006,"Salomon, “New Manuscript Sources,”",Salomon,New Manuscript Sources for the Study of Gandhāran Buddhism,chapter,"Salomon, Richard. “New Manuscript Sources for the Study of Gandhāran Buddhism.” In *Gandhāran Buddhism: Archaeology, Art, Texts*, edited by Pia Brancaccio and Kurt Behrendt, 135–50. Vancouver: UBC Press, 2006.
",Gandharan Buddhism_Archaeology_Art_Texts_Brancaccio-Behrendt_Asian Religions and Society Series IV.pdf,
falk_karashima2012,"Falk and Karashima, Prajñāpāramitā Manuscript,",Falk and Karashima,A First-Century Prajñāpāramitā Manuscript from Gandhāra – Parivarta 5 (Texts from the Split Collection 2),chapter,"Falk, Harry, and Seishi Karashima. *A First-Century Prajñāpāramitā Manuscript from Gandhāra – Parivarta 5 (Texts from the Split Collection 2)*. Annual Report of The International Research Institute for Advanced Buddhology at Soka University for the Academic Year 2012. Tokyo: The International Research Institute for Advanced Buddhology, Soka University, 2013.
",Falk-Karashima2013-Parivarta 5.pdf,76
saloman2018,"Salomon, Buddhist Literature,",Salomon,The Buddhist Literature of Ancient Gandhara: An Introduction with Selected Translations,book,"Salomon, Richard. *The Buddhist Literature of Ancient Gandhara: An Introduction with Selected Translations*. Google Play ebook. Classics of Indian Buddhism. Somerville, MA: Wisdom Publications, 2018.
",,
saloman1999,"Salomon, Allchin, and Barnard, Scrolls from Gandhāra.",Salomon,Ancient Buddhist Scrolls from Gandhāra: The British Library Kharoṣṭhī Fragments,book,"Salomon, Richard, F. Raymond Allchin, and Mark Barnard. *Ancient Buddhist Scrolls from Gandhāra: The British Library Kharoṣṭhī Fragments. Gandhāran Buddhist Texts*. London: The British Library, 1999. https://archive.org/details/ancientbuddhists0000salo/page/n5/mode/2up.
",,
neelis2012,"Neelis, “Overland Shortcuts,”",Neelis,Overland Shortcuts for the Transmission of Buddhism,chapter,"Neelis, Jason. “Overland Shortcuts for the Transmission of Buddhism.” In *Highways, Byways, and Road Systems in the Pre-Modern World*, edited by John Bodel, Richard J. A Talbert, and Susan E. Alcock, 12–32. The Ancient World. Chichester, West Sussex New York: Wiley-Blackwell, 2012. https://www.google.com/books/edition/Highways_Byways_and_Road_Systems_in_the/CSr2zO0gGCsC.
",Overland_Shortcuts_for_the_Transmission.pdf,20
li2011,"Li, Zao Qi,",Li,Zao Qi Han Yi Fo Jing de Laiyuan Yu Fanyi Fangfa Chu Tan,book,"Li, Wei. *Zao Qi Han Yi Fo Jing de Laiyuan Yu Fanyi Fangfa Chu Tan* 早期汉译佛经的来源与翻译方法初探. Beijing: Zhonghua Shu Ju 中华书局, 2011.
",,
neelis2011,"Neelis, Trade Networks,",Neelis,Early Buddhist Transmission and Trade Networks: Mobility and Exchange within and beyond the Northwestern Borderlands of South Asia. Dynamics in the History of Religion,book,"Neelis, Jason Emmanuel. *Early Buddhist Transmission and Trade Networks: Mobility and Exchange within and beyond the Northwestern Borderlands of South Asia*. Dynamics in the History of Religion, v. 2. Leiden ; Boston: Brill, 2011. https://brill.com/display/title/18172 .",neelis2011.pdf,319
muhammad1905,"Muhammad, Folklore,",Muhammad,Festivals and Folklore of Gilgit,article,"Muhammad, Ghulam. “Festivals and Folklore of Gilgit.” *Memoirs of the Asiatic Society of Bengal*. 1, no. 7 (1905): 93–127. https://www.google.com/books/edition/Festivals_and_Folklore_of_Gilgit/vjg9AAAAMAAJ .
",Festivals_and_Folklore_of_Gilgit.pdf,88
schopen1997,"Schopen, Bones,",Schopen,"Bones, Stones, and Buddhist Monks: Collected Papers on the Archaeology, Epigraphy, and Texts of Monastic Buddhism in India. Studies in the Buddhist Traditions",paper,"Schopen, Gregory. *Bones, Stones, and Buddhist Monks: Collected Papers on the Archaeology, Epigraphy, and Texts of Monastic Buddhism in India*. Studies in the Buddhist Traditions. Honolulu: University of Hawai’i Press, 1997.
",,
li1993,"Li, King Asoka",Li Rongxi,"The Biographical Scripture of King Asoka: Translated from the Chinese of Samghapala (Taishö, Volume 50, Number 2043)",book,"Li, Rongxi. *The Biographical Scripture of King Asoka: Translated from the Chinese of Samghapala (Taishö, Volume 50, Number 2043)*. BDK English Tripitaka 76-11. Berkeley, California: Numata Center for Buddhist Translation and Research, 1993.",dBET_Alpha_T2043_BiographicalScriptureofKingAsoka_1993.pdf,195
lamotte1988,"Lamotte, History of Indian Buddhism,",Lamotte,History of Indian Buddhism: From the Origins to the Saka Era,book,"Lamotte, Etienne. *History of Indian Buddhism: From the Origins to the Saka Era*. Publications de l’Institut Orientaliste de Louvain 36. Louvain-la-Neuve: Université catholique de Louvain, Institut orientaliste, 1988.
",History of Indian Buddhism_Lamotte.pdf,873
skinner2017,"Skinner, Marks of Empire",Skinner,Marks of Empire : Extracting a Narrative from the Corpus of Kuṣāṇa Inscriptions,dissertation,"Skinner, Michael C. “Marks of Empire : Extracting a Narrative from the Corpus of Kuṣāṇa Inscriptions.” University of Washington Libraries, 2017. http://hdl.handle.net/1773/39790.
",Marks of Empire - Skinner_washington_0250E_17008.pdf,372
stein1907,"Stein, Ancient Khotan,",Stein,Detailed Report of Archaeological Explorations in Chinese Turkestan,book,"Stein, Aurel. Ancient Khotan, *Detailed Report of Archaeological Explorations in Chinese Turkestan*. 2 vols. Oxford: Clarendon Press, 1907. https://www.google.com/books/edition/Ancient_Khotan_Detailed_Report_of_Archae/FaMMAQAAMAAJ.
",Ancient_Khotan_Detailed_Report_of_Archae.pdf,
baily1969,"Baily, Khotanese Texts",Baily,Khotanese Texts,book,"Baily, Harold Walter. *Khotanese Texts*. Vol. I. Cambridge: Cambridge University Press, 1969. https://archive.org/details/khotanesetexts0103bail/page/n7/mode/2up.
",,
schlosser2022,"Schlosser, Three Early Mahāyāna Treatises",Schlosser,"Three Early Mahāyāna Treatises from Gandhara: Bajaur Kharoṣṭhīfragments 4, 6, and 11",dissertation,"Schlosser, Andrea. “On the Bodhisattva Path in Gandhāra: Edition of Fragment 4 and 11 from the Bajaur Collection of Kharoṣṭhī Manuscripts.” PhD Thesis, University of Berlin, 2016. https://refubium.fu-berlin.de/bitstream/handle/fub188/4734/Diss_Schlosser_2016.pdf.
",Three Early Mahāyāna Treatises from Gandhāra.pdf,289
zurcher2007conquest,"Zürcher, Buddhist Conquest",Zürcher,The Buddhist Conquest of China: The Spread and Adaptation of Buddhism in Early Medieval China,book,"Zürcher, Erik *The Buddhist Conquest of China: The Spread and Adaptation of Buddhism in Early Medieval China*. 3rd ed. Sinica Leidensia, v. 11. Leiden: Brill, 2007. https://archive.org/details/bwb_24P8-BNX-571/page/n7/mode/2up .
",,
luders1961,"Lüders, Mathura Inscriptions",Lüders,Mathura Inscriptions 1961,book,"Lüders, Heinrich. *Mathura Inscriptions*. Gottingen, Germany: Vandenhoeck & Ruprecht, 1961. https://archive.org/details/in.ernet.dli.2015.201093.
",Mathura-Inscriptions_text.pdf,259
shrava1993,"Shrava, Kushāṇa Inscriptions,",Shrava,The Dated Kushāṇa Inscriptions,book,"Shrava, Satya. *The Dated Kushāṇa Inscriptions*. India: Pranava Prakashan, 1993.
",,
damsteegt1978,"Damsteegt, Epigraphical Hybrid Sanskrit",Damsteegt,"Epigraphical Hybrid Sanskrit: Its Rise, Spread, Characteristics and Relationship to Buddhist Hybrid Sanskrit",book,"Damsteegt, Theo. *Epigraphical Hybrid Sanskrit: Its Rise, Spread, Characteristics and Relationship to Buddhist Hybrid Sanskrit*. Orientalia Rheno-Traiectina, v. 23. Leiden: Brill, 1978.
",,
strauch2018,"Strauch, “Early Mahāyāna in Gandhāra,” ",Strauch,Early Mahāyāna in Gandhāra: New Evidence from the Bajaur Mahāyāna Sūtra,chapter,"Strauch, Ingo. “Early Mahāyāna in Gandhāra: New Evidence from the Bajaur Mahāyāna Sūtra.” In *Setting out on the Great Way: Essays on Early Mahāyāna Buddhism*, edited by Paul M. Harrison, 207–42. Bristol, CT: Equinox Publishing Ltd, 2018.
",,
baums2009,"Baums, Gāndhārī Commentary",Baums,"A Gāndhārī Commentary on Early Buddhist Verses: British Library Kharoṣṭhī Fragments 7, 9, 13 and 18",dissertation,"Baums, Stefan. “A Gāndhārī Commentary on Early Buddhist Verses: British Library Kharoṣṭhī Fragments 7, 9, 13 and 18.” University of Washington, 2009. https://stefanbaums.com/publications/baums_2009.pdf.
",baums_Gāndhārī_Commentary2009.pdf,708
huifeng2018,"Huifeng,“Xiaopin”",Huifeng,Annotated English Translation of Kumārajīva’s Xiaŏpĭn Prajñāpāramitā Sūtra,article,"Shi Huifeng. “Annotated English Translation of Kumārajīva’s Xiaŏpĭn Prajñāpāramitā Sūtra.” *Asian Literature and Translation: A Journal of Religion and Culture* 4, no. 1 (2018): 187–238.
",asta-hui-feng.pdf,49
baums2016,"Baums, “Bodhisattvapiṭakasūtra,”",Baums,The Bodhisattvapiṭakasūtra in Gāndhārī,book,"Baums, Stefan, Jens Braarvig, Timothy J Lenz, Fredrik Liland, Kazunobu Matsuda, and Richard Salomon. *The Bodhisattvapiṭakasūtra in Gāndhārī.* Braarvig 2016 (2016): 267–82.
",baums_braarvig_lenz_liland_matsuda_salomon_2016.pdf,15
"Boucher, Daniel. “Gāndhārī and the Early Chinese Buddhist Translations Reconsidered: The Case of the Saddharmapuṇḍarīkasūtra.” *Journal of the American Oriental Society*, 1998, 471–506. https://www.jstor.org/stable/604783 .
","Boucher, “Saddharmapuṇḍarīkasūtra.”",Boucher,Gāndhārī and the Early Chinese Buddhist Translations Reconsidered: The Case of the Saddharmapuṇḍarīkasūtra,article,"Boucher, Daniel. “Gāndhārī and the Early Chinese Buddhist Translations Reconsidered: The Case of the Saddharmapuṇḍarīkasūtra.” *Journal of the American Oriental Society*, 1998, 471–506. https://www.jstor.org/stable/604783 .",Boucher-GndhrEarlyChinese-1998.pdf,36
bronkhorst2018,"Bronkhorst, “Abhidharma in Early Mahayana,”",Bronkhorst,Abhidharma in Early Mahayana,chapter,"Bronkhorst, Johannes. “Abhidharma in Early Mahayana.” In *Setting out on the Great Way: Essays on Early Mahāyāna Buddhism*, edited by Paul M. Harrison, 119–40. Bristol, CT: Equinox Publishing Ltd, 2018.
",bronkhorst-abhidharma.pdf,22
harrison2006,"Harrison,“Vajracchedikā,”",Harrison,Vajracchedikā Prajñāpāramitā: A New English Translation of the Sanskrit Text Based on Two Manuscripts from Greater Gandhāra,chapter,"Harrison, Paul. “Vajracchedikā Prajñāpāramitā: A New English Translation of the Sanskrit Text Based on Two Manuscripts from Greater Gandhāra.” *Buddhist Manuscripts* 3 (2006): 133–59.
",Diamond+Sutra-Paul+Harrison+tr.pdf,29
bongard_levin1996,"Bongard-Levin, “Fragment of the Larger Prajñāpāramitā,”",Bongard-Levin,A Fragment of the Larger Prajñāpāramitā from Central Asia,article,"Bongard-Levin, Grigory Maksimovich and others. “A Fragment of the Larger Prajñāpāramitā from Central Asia.” Journal of the International Association of Buddhist Studies, 1996, 19–60.
",Fragment of the Larger Prajñāpāramitā.pdf,41
sadhar,"Sadhar, “Swat Valley,”",Sadhar,Analytical Review on Palaeographic Research in the Swat Valley of Pakistan,paper,"Sadhar, Badshah. “Analytical Review on Palaeographic Research in the Swat Valley of Pakistan.” Accessed May 12, 2024. https://ph.hu.edu.pk/public/uploads/vol-14/7.%20BADSHA%20SARDAR.pdf.
",Palaeographic Research in the Swat Valley.pdf,14
lancaster1975,"Lancaster, “Oldest Mahāyāna Sūtra”",Lancaster,The Oldest Mahāyāna Sūtra: Its Significance for the Study of Buddhist Development,article,"Lancaster, Lewis R. “The Oldest Mahāyāna Sūtra: Its Significance for the Study of Buddhist Development.” *The Eastern Buddhist* 8, no. 1 (1975): 30–41.
",The_Oldest_Mahayana_Sutra_Its_Significance_ocr.pdf,13
ganguli,"Ganguli, Mahabharata",Ganguli,Mahabharata of Krishna-Dwaipayana Vyasa,book,"Ganguli, Kisari Mohan, trans. *Mahabharata of Krishna-Dwaipayana Vyasa*. Internet Sacred Text Archive, 1883. https://sacred-texts.com/hin/maha/index.htm.
",,
brockington1998,"Brockington, Sanskrit epics",Brockington,The Sanskrit Epics,book,"Brockington, J. L. *The Sanskrit Epics*. Handbuch Der Orientalistik. Zweite Abteilung, Indien, Handbook of Oriental Studies. India, 12. Bd. =. Leiden ; Boston: Brill, 1998.
",,
brockington2010,"Brockington, “Spitzer Manuscript”",Brockington,The Spitzer Manuscript and the Mahābhārata,article,"Brockington, John. “The Spitzer Manuscript and the Mahābhārata.” From Turfan to Ajanta: Festschrift for Dieter Schlingloff, 2010, 75–87.
",The_Spitzer_Manuscript_and_the_Mahabhar.pdf,12
lancaster2012,"Lancaster, “Movement”",Lancaster,The Movement of Buddhist Texts from India to China and the Construction of the Chinese Buddhist Canon,chapter,"Lancaster, Lewis. “The Movement of Buddhist Texts from India to China and the Construction of the Chinese Buddhist Canon.” In *Buddhism Across Boundaries--Chinese Buddhism and the Western Regions*, edited by John R McRae and Jan Nattier, 226–260. Sino-Platonic Papers 222. Philadelphia, PA: Department of East Asian Languages and Civilizations, University of Pennsylvania, 2012.
",lancaster2012.pdf,34
silk2002,"Silk, “What, If Anything”",Silk,"What, If Anything Is Mahāyāna Buddhism?",paper,"Silk, Jonathan A. “What, If Anything Is Mahāyāna Buddhism?” *Buddhism: The Origins and Nature of Mahāyāna Buddhism; Some Mahāyāna Religious Topics* 3 (2002): 355–68.
",Silk-WhatAnythingMahyna-2002.pdf,50
conze1978,"Conze, Prajnaparamita Literature.",Conze,The Prajnaparamita Literature,book,"Conze, Edward. *The Prajnaparamita Literature*. Second edition. Tokyo: The Reiyukai, 1978.
",conze_praj_literature_1978_ocr.pdf,127
gombrich1988,"Gombrich, “How Mahayana Began.”",Gombrich,How the Mahayana Began,article,"Gombrich, Richard. “How the Mahayana Began.” *Journal of Pali and Buddhist Studies* 1 (1988): 29–46.
",gombrich_how_mahayana_began_ocr.pdf,17
hirakawa1963,"Hirakawa, “Worship of Stupas.”",Hirakawa,The Rise of Mahayana Buddhism and Its Relationship to the Worship of Stupas,paper,"Hirakawa, Akira. “The Rise of Mahayana Buddhism and Its Relationship to the Worship of Stupas.” *Memoirs of the Research Department of the Toyo Bunko* (The Oriental Library) 22 (1963): 57–106.
",hirakawa_stupas_ocr.pdf,51
falk_strauch2014,"Falk and Strauch, “Bajaur and Split.”",Falk and Strauch,The Bajaur and Split Collections of Kharoṣṭhī Manuscripts within the Context of Buddhist Gāndhārī Literature,paper,"Falk, Harry, and Ingo Strauch. “The Bajaur and Split Collections of Kharoṣṭhī Manuscripts within the Context of Buddhist Gāndhārī Literature.” In *From Birch Bark to Digital Data: Recent Advances in Buddhist Manuscript Research*. Papers Presented at the Conference Indic Buddhist Manuscripts: The State of the Field, Stanford, June 15-19 2009, 51–78. Verl der Österreichische Akademie der Wissenschaften, 2014.
",falk_bajaur_split_collections.pdf,30
salomon_glass2000,"Salomon and Glass, Rhinoceros Sūtra",Salomon and Glass,A Gāndhārī Version of the Rhinoceros Sūtra: British Library Kharoṣṭhī Fragment 5B. Gandhāran Buddhist Texts,book,"Salomon, Richard and Andrew Glass. *A Gāndhārī Version of the Rhinoceros Sūtra: British Library Kharoṣṭhī Fragment 5B*. Gandhāran Buddhist Texts, v. 1. Seattle, WA: University of Washington Press, 2000.
",Rhinoceros-Sutra.pdf,41
suzuki1914,"Suzuki, “Development of Mahayana.”",Suzuki,The Development of Mahayana Buddhism,article,"Suzuki, Daisetz Teitaro. “The Development of Mahayana Buddhism.” *The Monist*, 1914, 565–81.
",Suzuki-DEVELOPMENTMAHAYANABUDDHISM-1914_ocr.pdf,16
kudo2019,"Kudo, “Gilgit Manuscripts.”",Kudo,On and around the Gilgit Manuscripts in the National Archives of India,article,"Kudo, Noriyuki. “On and around the Gilgit Manuscripts in the National Archives of India.” *The Journal of Oriental Studies*, 2019, 168–81.
",Kudo2019-On and around Gilgit Mss.pdf,13
brough1962,"Brough, Gāndhārī Dharmapada.",Brough,The Gāndhārī Dharmapada,book,"Brough, John, ed. *The Gāndhārī Dharmapada*. London: Oxford University Press, 1962.",Gandhari-Dharmapada.pdf,318
simswilliams2012,"Sims-Williams, “Bactrian Historical Inscriptions.”",Sims-Williams,Bactrian Historical Inscriptions of the Kushan Period,article,"Sims-Williams, Nicholas. “Bactrian Historical Inscriptions of the Kushan Period.” *The Silk Road* 10 (2012): 76–80.
",Bactiran_Inscriptions_SilkRoad_10_2012_simswilliams.pdf,5
bivar1963,"Bivar, “Kaniṣka Dating.”",Bivar,The Kaniṣka Dating from Surkh Kotal,article,"Bivar, Adrian David Hugh. “The Kaniṣka Dating from Surkh Kotal.” *Bulletin of the School of Oriental and African Studies* 26, no. 3 (1963): 498–502. https://www.jstor.org/stable/611561 .
",Bivar-KaniskaDatingSurkh-1963.pdf,4
cribb2018,"Cribb,“Numismatic Evidence”",Cribb,“Numismatic Evidence and the Date of Kaniṣka I”,chapter,"Cribb, Joe. “Numismatic Evidence and the Date of Kaniṣka I.” In *Problems of Chronology in Gandhāran Art*, 7–34. Oxford: Archaeopress Oxford, 2018.
",Problems_of_Chronology_in_Gandharan_Art.pdf,150
strauch2012,"Strauch, Ingo. “The Character of the Indian Kharoṣṭhī Script and the ‘Sanskrit Revolution’: A Writing System Between Identity and Assimilation.”",Strauch,The Character of the Indian Kharoṣṭhī Script and the ‘Sanskrit Revolution’: A Writing System Between Identity and Assimilation”,chapter,"Strauch, Ingo. “The Character of the Indian Kharoṣṭhī Script and the ‘Sanskrit Revolution’: A Writing System Between Identity and Assimilation.” In *The Idea of Writing: Writing across Borders, edited by Alex de Voogt and Joachim Friedrich Quack*, 131–68. Leiden and Boston: Brill, 2012.
",strauch_kharosthi.pdf,35
cunningham1871,"Cunningham, Ancient Geography",Cunningham,The Ancient Geography of India,book,"Cunningham, Alexander. *The Ancient Geography of India*. London: Trübner & Co, 1871. https://archive.org/details/cu31924023029485/page/X/mode/2up.
",ancient_geography_of_india.pdf,527
baums2012,"Baums, “Gandharan Reliquary Inscriptions”",Baums,Catalog and Revised Texts and Translations of Gandharan Reliquary Inscriptions,chapter,"Baums, Stefan. “Catalog and Revised Texts and Translations of Gandharan Reliquary Inscriptions.” In *Gandharan Buddhist Reliquaries*, edited by David Jongeward, Elizabeth Errington, and Richard Salomon, 1:200–251. Early Buddhist Manuscripts Project, 2012.
",baums_2012.pdf,51
rienjang2013,"Rienjang, “Bodily Relics”",Rienjang,Bodily Relics in Gandharan Stupas,book,"Rienjang, Wannaporn. “Bodily Relics in Gandharan Stupas.” Gandhāran Studies 7 (2013): 1–12.
",Bodily_relics_in_Gandharan_stupas.pdf,12
albery2017,"Albery, “Buddhism and Society”",Albery,Buddhism and Society in the Indic North and Northwest,dissertation,"Albery, Henry. “Buddhism and Society in the Indic North and Northwest.” PhD Thesis, University of Munuch, 2017. https://edoc.ub.uni-muenchen.de/26560/1/Albery_Henry.pdf.
",Albery_Henry.pdf,817
shimada2016,"Shimada, “Amaravati Stūpa.”",Shimada,Discovery of the Amaravati Stūpa: Early Excavations and Interpretations,chapter,"Shimada, Akira. “Discovery of the Amaravati Stūpa: Early Excavations and Interpretations.” In *Amaravati: The Art of an Early Buddhist Monument in Context*, edited by Akira Shimada and Michael D. Willis, 1–11. Research Publication 207. London: The British Museum, 2016. https://britishmuseum.iro.bl.uk/concern/books/0b587bfa-84dc-4bf2-8049-41471853e2fe.
",Discovery_of_the_Amaravati_Stupa_Early_E.pdf,11
conze1968,"Conze, *Thirty Years.*",Conze,Thirty Years of Buddhist Studies: Selected Essays,book,"Conze, Edward. *Thirty Years of Buddhist Studies: Selected Essays*. Columbia: University of South Carolina Press, 1968. https://archive.org/details/thirtyyearsofbud0000conz/mode/2up.
",thirty-years-of-buddhist-studies-selected-essays_compress.pdf,274
brown1955,"Brown, “The Reliability of Megasthenes.”",Brown,The Reliability of Megasthenes,article,"Brown, Truesdell S. “The Reliability of Megasthenes.” *The American Journal of Philology* 76, no. 1 (1955): 18–33.
",Brown-ReliabilityMegasthenes-1955.pdf,15
harrison_luczanits2011,Harrison and Luczanits. “Muhammad Nari Stele.”,Harrison and Luczanits,New Light on (and from) the Muhammad Nari Stele,paper,"Harrison, Paul, and Christian Luczanits. “New Light on (and from) the Muhammad Nari Stele.” In Special International Symposium on Pure Land Buddhism, 69–127. Japan: Otani University, Research Center for Buddhist Cultures in Asia, 2011.
",Harrison-Luczanits 2012 English.pdf,59
nattier1992,"Nattier, “The Heart Sūtra.”",Nattier,The Heart Sūtra: A Chinese Apocryphal Text?,article,"Nattier, Jan. “The Heart Sūtra: A Chinese Apocryphal Text?” *Journal of the International Association of Buddhist Studies* 15, no. 2 (1992): 153–223.
",nattier1992.pdf,71
bhikkhu_bodhi2013,"Bhikkhu Bodhi. “Arahants, Buddhas, and Bodhisattvas.”",Bhikkhu Bodhi,"Arahants, Buddhas, and Bodhisattvas",chapter,"Bhikkhu Bodhi. “Arahants, Buddhas, and Bodhisattvas.” In *The Bodhisattva Ideal: Essays on the Emergence of Mahāyāna*, edited by Bhikkhu Nyanatusita, First edition., 1–30. Kandy, Sri Lanka: Buddhist Publication Society, 2013. https://www.google.com/books/edition/The_Bodhisattva_Ideal/hFTqBQAAQBAJ.
",Arahants_Bstvas_Buddhas.pdf,30
werner1981,Werner. “Bodhi and Arahattaphala.”,Werner,Bodhi and Arahattaphala: From Early Buddhism to Early Mahāyāna,article,"Werner, Karel. “Bodhi and Arahattaphala: From Early Buddhism to Early Mahāyāna.” *Journal of the International Association of Buddhist Studies*, 1981, 70–84.
",werner1981.pdf,14
anālayo2013,Anālayo. “Evolution of the Bodhisattva Concept.”,Anālayo,The Evolution of the Bodhisattva Concept in Early Buddhist Canonical Literature,chapter,"Anālayo, Bhikkhu. “The Evolution of the Bodhisattva Concept in Early Buddhist Canonical Literature.” In *The Bodhisattva Ideal: Essays on the Emergence of Mahāyāna*, edited by Bhikkhu Nyanatusita, First edition., 165–208. Kandy, Sri Lanka: Buddhist Publication Society, 2013. https://www.google.com/books/edition/The_Bodhisattva_Ideal/hFTqBQAAQBAJ.
",The_Evolution_of_the_Bodhisattva_Concept.pdf,43
mcmahan1998,"McMahan. “Orality, Writing, and Authority.”",McMahan,"Orality, Writing, and Authority in South Asian Buddhism: Visionary Literature and the Struggle for Legitimacy in the Mahāyāna",article,"McMahan, David. “Orality, Writing, and Authority in South Asian Buddhism: Visionary Literature and the Struggle for Legitimacy in the Mahāyāna.” *History of Religions* 37, no. 3 (1998): 249–74.
",mcmahan1998.pdf,25
allon2022,Allon. “Early Buddhist Texts.”,Allon,Early Buddhist Texts: Their Composition and Transmission,article,"Allon, Mark. “Early Buddhist Texts: Their Composition and Transmission.” *Journal of Indian Philosophy* 50, no. 4 (2022): 523–56.
",Early Buddhist Texts.pdf,33
