CSZJJ,Taisho_No,verse_or_prose,syllables_per_line,vernacular_or_literary,literal_or_fluent,ornate_or_plain_language,terse_or_verbose,idioms_used,factual_or_spiritual,indigenous_chinese,interpolations,interlinear_commentary,oral_transmission,explicit_sentence_subject,plural_zhu,tense,abbreviations,do_not_use1,do_not_use2,notes,error
九橫經,T 150B,prose,0,literary,literal,plain,verbose,False,factual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is written in prose, so the concept of syllables per line does not strictly apply; hence, 0 is used for this field. An Shigao's translation style is characteristic of early Chinese Buddhist translations, being very literal and direct, sometimes resulting in somewhat less fluid Chinese phrasing (e.g., '不應飯為飯'). The language is plain, didactic, and focuses on practical advice for avoiding untimely death rather than deep spiritual teachings. The repetitive structure and clear explanations suggest an influence or characteristic of oral transmission. While many sentences have implicit subjects, new points and definitions often introduce explicit subjects. The text uses 諸 (zhū) to indicate plural form for 'bhikshus' (諸比丘). Tense is generally left unspecified, as is common in classical Chinese.",
八正道經,T 112,prose,0,literary,literal,plain,verbose,False,factual,True,True,False,True,implicit,True,unspecified,False,False,False,"An Shigao's translation style represents an early stage of ""Buddhist Sinitic."" While ""literary"" in the sense it's written, it's distinct from classical literary Chinese, characterized by directness and functional clarity. The use of ""定"" (dìng) rather than a transliteration like ""三昧"" (sānmèi) for samādhi indicates an early attempt to ground spiritual concepts in more conceptually 'factual' Chinese terms. The repeated and expanded explanations for the eightfold path (especially the second set of interpretations) suggest interpolations for the benefit of Chinese readers. The text is verbose due to these extensive and somewhat repetitive explanations aimed at comprehensive clarification.",
五十校計經,T 397 (13),prose,0,vernacular,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The translation style is heavily influenced by the Indic source text, resulting in a literal, verbose, and highly repetitive presentation of Buddhist doctrines. The extensive systematic enumeration of 108 categories applied to each of the six senses, mind, intention, and consciousness, along with the frequent question-and-answer format, are hallmarks of the source text's pedagogical approach, likely designed for oral transmission and memorization. The Chinese translation itself employs a plain and vernacular language, prioritizing direct conveyance of meaning over literary elegance, characteristic of early Chinese Buddhist translations. No indigenous Chinese philosophical concepts are used for interpretation. The concluding meta-commentary about textual variants (referencing '丹藏', '宋、鄉二本', and '明度經') highlights early philological efforts in preserving and standardizing Buddhist texts, rather than indicating interpolations within the provided main text.",
大安般經,T 602,prose,4,literary,literal,plain,terse,False,spiritual,False,True,False,True,implicit,True,unspecified,False,False,False,"The translation is predominantly prose. Although prose, the text frequently employs a rhythmic cadence, with many conceptual units and definitions structured in four-character phrases. The language is literary, utilizing classical grammar and particles. The translation style is notably literal, prioritizing direct rendering of Indic terms and concepts, often resulting in repetitive definitions and somewhat less fluid Chinese phrasing to capture nuances. The text is terse, with concise, definitional statements. Traditional Chinese idioms are absent. The tone is spiritual, focusing on Buddhist practices for liberation. The main body of the translated text focuses on defining Buddhist concepts on their own terms, rather than systematically reinterpreting them through indigenous Chinese philosophical frameworks. The text includes interpolations, evidenced by frequent explanatory phrases like '謂之' (called/means) and '是為' (this is), and an extensive question-and-answer format, suggesting embedded clarifications. The pervasive Q&A structure is a strong indicator of a didactic style suited for oral transmission. Abbreviations are not used. Sentence subjects are frequently implicit. The plural indicator 諸 (zhu) is used. Tense is generally unspecified, relying on context.",
五陰喻經,T 105,mixed,5,literary,literal,plain,verbose,False,spiritual,False,False,False,True,implicit,True,unspecified,False,False,False,"The text is a representative example of early Chinese Buddhist translation by An Shigao. It features a lengthy prose section that meticulously explains the five skandhas using repetitive similes, followed by a summary in 5-character gāthā (verse). The language, while leaning towards a formal style for a Buddhist sūtra, is plain and direct rather than ornate. The translation style is notably literal, evidenced by the highly repetitive and verbose phrasing for each skandha, which likely mirrors the structure of the Indic original. Grammatically, it frequently employs implicit sentence subjects and relies on context for tense indication, characteristic of classical Chinese. The plural marker 諸 is consistently used (e.g., 諸比丘, 諸佛). The content directly addresses core Buddhist spiritual concepts of impermanence and non-self.",
轉法輪經,T 109,prose,0,literary,literal,plain,terse,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is in prose format. 'Syllables per line' is not applicable in a poetic sense for prose, hence the value 0. The language is formal and written, placing it in the 'literary' category, but it exhibits characteristics of 'translationese' from an Indic language, which can make it feel somewhat less natural or polished than purely indigenous classical Chinese prose. While classical Chinese often allows for implicit subjects, this translation frequently states the subject, especially when introducing a new actor or topic, making it lean towards 'explicit' compared to highly elliptical classical texts.",
流攝經,T 31,prose,0,vernacular,literal,plain,verbose,False,spiritual,False,False,False,True,implicit,True,unspecified,False,False,False,"The translation style is characteristic of An Shigao's early work, often highly literal and somewhat rough in its Chinese expression, leading to a verbose and repetitive quality. While many sentence subjects are implicitly understood within clauses, the main actors (Buddha, Bhikkhus) are frequently and explicitly mentioned when introducing dialogue or new sections. The text shows signs of oral transmission through its 'Thus have I heard' opening, direct address, and question-and-answer format. Tense is largely unspecified, relying on context. The language is plain and direct, focusing on conveying the Indic concepts without much literary embellishment or use of Chinese idioms. The text is primarily prose.",
是法非法經,T 48,prose,0,vernacular,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is written in prose, typical of early sutra translations. The language is quite literal and direct, a hallmark of An Shigao's translation style, which often prioritized fidelity over fluency in early Chinese Buddhist texts, resulting in a less polished, more 'vernacular' feel compared to later, more sinified translations. The language is plain, not ornate, and while individual statements are direct, the frequent repetition of phrases like '自譽欺餘' and '能斷貪婬、能斷瞋恚、能斷愚癡' across various scenarios makes the overall presentation verbose. No Chinese idioms are evident. The tone is spiritual, focusing on Buddhist ethical conduct and cultivation (e.g., '斷貪婬、瞋恚、愚癡,' '禪德'). There's no significant evidence of indigenous Chinese philosophical interpretation. No interlinear commentary or clear interpolations are present. However, the presence of '聞如是' and the repetitive, formulaic structure of the teaching (e.g., '或時一者比丘...') strongly suggest a style adapted for oral transmission and memorization. Sentence subjects are often explicitly stated (e.g., '佛告諸比丘,' '比丘唯然,' '賢者復不爾'). The plural marker '諸' (諸比丘) is consistently used. Tense is generally unspecified, inferred from context rather than explicit grammatical markers. No abbreviations were observed.",
法受塵經,T 792,prose,0,literary,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is an early Chinese translation by An Shigao. His style is characteristically literal, sometimes resulting in somewhat repetitive or less naturally flowing Chinese compared to later, more sinicized translations. The structure '聞如是' is a direct translation of the standard sutra opening. Repetition of phrases like '為染、為醉...' and parallel structures for men and women contribute to a verbose style. The language adheres to classical Chinese forms, indicating a literary style, but remains relatively plain in its descriptive content. Tense is inferred from context rather than explicitly marked. The use of '諸比丘' explicitly marks plurality.",
本相猗致經,T 36,prose,0,literary,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,False,unspecified,False,False,False,"The text is written in prose. The language style is formal and archaic, characteristic of early Chinese Buddhist 'translationese' by An Shigao. This style is more literary than vernacular but distinct from polished classical Chinese, often directly rendering Indic syntax, which contributes to its literalness and sometimes awkward phrasing. The language is plain, focusing directly on doctrinal exposition rather than ornate expression. The repetitive structure, particularly the question-and-answer format for each causal link (e.g., '何等為，比丘！...謂為癡'), makes the text verbose, though it effectively clarifies each point and strongly suggests an origin in oral teaching for memorization. The content explains the spiritual chains of suffering and liberation according to Buddhist doctrine, without apparent interpretation through indigenous Chinese philosophical concepts. Subjects are generally made clear, either through direct address ('比丘') or explicit naming of the causal link being discussed. The plural marker '諸' is not used. Tense is largely unspecified, relying on context, which is typical for Classical Chinese and Buddhist texts outlining timeless principles.",
阿鋡口解,T 1508,prose,0,vernacular,literal,plain,verbose,False,factual,False,True,False,True,implicit,True,unspecified,False,False,False,"The text is written in prose, explaining the Twelve Nidanas and related Buddhist concepts in a direct and explanatory manner. Its language style is closer to early vernacular Chinese than highly literary Classical Chinese, using simple vocabulary and sentence structures, often in a list format. The translation leans towards a literal rendering, maintaining a somewhat direct correspondence with the likely Indic source structure, which can sometimes result in less fluid Chinese. The language is consistently plain, devoid of ornate descriptions or complex rhetorical flourishes. While individual sentences can be concise, the overall explanation is verbose due to extensive listing and detailed breakdowns of concepts, characteristic of an 'oral explanation' style. No Chinese idioms (chengyu) are explicitly used. The tone is factual in its presentation and definition of spiritual concepts, focusing on the mechanics of cause and effect rather than evocative spiritual language. Buddhist teachings are presented without significant reinterpretation through indigenous Chinese philosophical concepts. The title '口解' (oral explanation) and the text's explanatory nature strongly suggest it includes interpolations or extensive commentary integrated into the translation. There is no separate interlinear commentary. Evidence of oral transmission is strong, indicated by the title, repetitive explanations, and question-and-answer segments. No discernible abbreviations are used. Sentence subjects are frequently implicit, typical of Classical Chinese, rather than explicitly stated. The adverb 諸 (zhū) is used to indicate plural forms (e.g., 諸愛欲). Tense is largely unspecified, inferred from context as is common in Classical Chinese.",
禪行法想經,T 605,prose,0,literary,literal,plain,verbose,False,spiritual,False,False,False,False,implicit,True,unspecified,False,False,False,"The text is primarily prose, outlining various meditative 'thoughts' (想). The language is characteristic of early Chinese Buddhist translations (An Shigao's era), often adhering closely to the Indic source structure, which can make it appear less fluent than later, more Sinicized translations. The extensive enumeration of 'thoughts' (想) contributes to a verbose rather than terse style, though individual phrases are concise. The use of '諸比丘' demonstrates explicit plural marking. Tense is generally not specified, a common feature of classical Chinese. There are no obvious signs of indigenous Chinese philosophical reinterpretation within this short excerpt, nor interlinear commentary, abbreviations, or common Chinese idioms. The spiritual nature of the meditative practices is clear.",
般若道行品經,T 224 (1),prose,0,vernacular,literal,plain,verbose,False,spiritual,True,True,False,True,explicit,True,explicit,True,False,False,"The text is primarily prose with highly variable sentence lengths, thus 'syllables_per_line' is marked as 0. The translation style, characteristic of early Chinese Buddhist translations (e.g., by Zhi Loujiachen), is often referred to as 'translationese' or 'hybrid Sinitic'. It deviates from refined classical Chinese, favoring direct, sometimes awkward, renderings influenced by Sanskrit syntax, hence 'vernacular'. The preface by Dao'an explicitly mentions '譯人口傳' (translated through oral transmission) and states that the translation was '了不加飾' (not embellished), supporting 'plain' language and a 'literal' approach. The preface also discusses the text's history as a '抄撮' (excerpted/compiled) version and alludes to a tendency for early Buddhist teachings to be understood through indigenous Chinese philosophical concepts, even if the translation itself is literal. Abbreviations like '痛痒思想生死識' for the five aggregates (form, feeling, perception, mental formations, consciousness) are used. Tense is indicated explicitly through particles (e.g., 當, 已) and temporal phrases (e.g., 過去時).",
般若道行品經,T 224 (2),prose,0,literary,literal,plain,verbose,False,spiritual,False,False,False,True,implicit,True,unspecified,False,False,False,"The text is an early Chinese Buddhist translation by Lokakṣema, known for its literal rendering of Sanskrit. This results in a somewhat stilted, verbose, and repetitive style that is characteristic of proto-vernacular Chinese in early translations. Many Sanskrit terms are transliterated rather than conceptually translated (e.g., 怛薩阿竭, 薩芸若, 般若波羅蜜). The dialogue format, repetitive phrases, and formulaic expressions like ""如是，如是！"" suggest an influence from oral transmission. The language is plain and direct, focusing on doctrine without ornate flourishes or indigenous Chinese philosophical interpretations. Tense and sentence subjects are largely implicit, relying on context.",
般若道行品經,T 224 (3),prose,0,vernacular,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is in prose, so a fixed syllable count per line is not applicable. The sentences vary in length. The style is direct, repetitive, and uses simple sentence structures, avoiding classical literary parallelism or complex allusions. This reflects an early, somewhat unrefined translation style attempting to directly render the Indic original, rather than polished literary Chinese. The translation is characterized by direct word-for-word renderings, including numerous transliterations of Sanskrit terms (e.g., 般若波羅蜜, 阿耨多羅三耶三菩, 薩芸若), and a syntax that often mimics the source language, leading to a somewhat stiff Chinese style. Frequent use of connecting particles and repetitive phrasing also contributes to a literal feel. The text is quite verbose, often repeating phrases and ideas for emphasis or clarity, and elaborating on points at length within dialogues. This can be seen in the frequent reiteration of similar statements in question-and-answer formats. The text primarily deals with spiritual concepts like prajñāpāramitā, enlightenment (薩芸若, 阿耨多羅三耶三菩), and non-attachment. While some practical terms like '持戒' (moral discipline) and '禪' (dhyāna) are mentioned, the overall discourse is heavily spiritual. There is no discernible attempt to interpret Buddhist concepts using indigenous Chinese philosophical frameworks (e.g., Daoist or Confucian 'Geyi'). The focus is on translating Buddhist terms directly or through transliteration. The highly repetitive dialogues, direct statements, and frequent reiteration of concepts are indicative of a text possibly meant for oral transmission or recitation, aiding comprehension and memorization. While classical Chinese often allows for implicit subjects, this translation frequently includes explicit subjects, possibly reflecting the grammatical structure of the Indic source language. Tense is generally left unspecified in Chinese verbs, relying on context or temporal adverbs. When specific timeframes (past, present, future) are crucial, they are explicitly stated using terms like ""過去、當來、今現在"".",
般若道行品經,T 224 (4),prose,0,vernacular,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is written in prose. As such, the concept of 'syllables per line' in a metrical sense does not apply; hence, 0 is used as a placeholder. The translation style is characterized by a direct, somewhat stiff rendering of the Indic original, often preserving original sentence structures and employing numerous transliterations of Sanskrit terms (e.g., 般若波羅蜜 for Prajñāpāramitā, 阿耨多羅三耶三菩 for Anuttara-samyak-sambodhi, 薩芸若 for Sarvajñā, 阿惟三佛 for Abhisambuddha), which is typical of early Chinese Buddhist translations by figures like Zhi Loujiachen. This makes the language lean towards a 'vernacular' or 'translationese' style rather than highly refined literary Chinese. The language is plain, lacking ornate descriptions or complex rhetorical flourishes, but it is verbose due to frequent repetition of phrases and sentence structures. The tone is spiritual, focusing on profound Buddhist concepts. There is no evidence of the Buddhist teachings being reinterpreted through indigenous Chinese philosophical concepts; rather, they are presented directly with transliterated terms. No interpolations or interlinear commentary are present. The repeated question-and-answer format, direct addresses (e.g., '天中天!'), and reiteration of points suggest a style suitable for oral transmission. Abbreviations are not used. Sentence subjects are frequently explicit. The plural marker 諸 (zhū) is used, as seen in '諸佛' and '諸天子'. Tense is generally left unspecified, as is common in classical Chinese.",
般若道行品經,T 224 (5),prose,0,literary,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is prose, hence 'syllables_per_line' is not applicable in a metrical sense; value set to 0. The translation style is characteristic of early Chinese Buddhist translations (Lokakṣema), often described as 'translation-ese' or a hybrid Sinitic. It exhibits a literal approach, often maintaining the repetitive structure of the Indic source and employing numerous transliterations for key Buddhist terms, making it somewhat verbose. While not modern vernacular, its directness and functional language, as opposed to highly ornate classical literary styles, makes it a distinct 'literary' form for its time, but with a unique flavor. The frequent use of direct address, rhetorical questions, and repetition are suggestive of an oral tradition. Determining interpolations is difficult without a comparative critical edition of the source text.",
般若道行品經,T 224 (6),prose,0,vernacular,literal,plain,verbose,False,spiritual,True,False,False,True,implicit,True,unspecified,False,False,False,"The translation by Lokakṣema is characteristic of early Chinese Buddhist texts, known for its literal rendering from Sanskrit. This results in a direct, often plain, and sometimes verbose style with noticeable repetitions, suggesting influence from oral transmission. The language, while not strictly vernacular in a modern sense, eschews the highly refined elegance of classical literary Chinese, forming its own distinct 'Buddhist Sinitic' that leans towards simpler sentence structures. A notable feature is the use of '本無' (benwu) to translate 'śūnyatā' (emptiness), indicating an early attempt to interpret Buddhist concepts through indigenous Chinese philosophical concepts. Tense is generally unspecified, inferred from context or temporal adverbs. The text primarily uses implicit sentence subjects, though explicit subjects appear for clarity, especially when introducing new speakers in dialogue. No traditional Chinese idioms or abbreviations are observed. While interpolations are a known characteristic of some early translations, specific instances are not identifiable within the provided text without comparative analysis.",
般若道行品經,T 224 (7),prose,0,vernacular,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is primarily prose, characterized by a direct, somewhat literal translation style typical of early Chinese Buddhist translations by Lokakṣema. The language tends towards a less polished, more direct classical Chinese, often described as 'vernacular' in contrast to later, more literary translations. It frequently uses repetition and a question-and-answer format, suggesting an influence from oral transmission of the source text. The language is plain, with minimal use of Chinese idioms, and leans towards verbose explanations reflecting the original Indic style. Buddhist concepts are generally translated directly (e.g., '三昧' for samādhi), without overt interpretation through indigenous Chinese philosophical concepts. Sentence subjects are often explicit, and the character '諸' (zhū) is frequently used to indicate plural forms. Tense is largely unspecified, relying on context.",
般若道行品經,T 224 (8),prose,0,vernacular,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The text is prose. The language is an early form of Buddhist Chinese, often called 'translation-ese,' which leans towards vernacular in its directness and lack of classical adornment, but is not fully modern vernacular. Its literal approach to translation often results in repetitive phrasing, direct transliteration of many Sanskrit terms (e.g., '薩芸若' for Sarvajñā, '怛薩阿竭' for Tathāgata, '漚惒拘舍羅' for Upāya-kauśalya, '般泥洹' for Nirvāṇa, '阿惟越致' for Avaivartika), and sentence structures that mirror the Indic source, making it verbose. The tone is heavily spiritual, emphasizing the profound merits and practices of Prajñāpāramitā. There are no signs of systematic reinterpretation through indigenous Chinese philosophical concepts. The repetitive dialogue and enumerations suggest an influence from oral transmission traditions. Sentence subjects are frequently stated or reiterated, making them more explicit than might be typical in refined classical Chinese. Tense is indicated implicitly through context, as is common in Chinese.",
般若道行品經,T 224 (9),prose,0,vernacular,literal,plain,verbose,False,spiritual,False,False,False,True,explicit,True,unspecified,False,False,False,"The translation style is characteristic of early Chinese Buddhist translations by Zhi Loujiachen. It leans towards a literal rendering of the Indic source, often resulting in verbose and somewhat repetitive phrasing, such as repeated narrative frames (e.g., ""佛語阿難"") and descriptive clauses. The language is plain and vernacular, reflecting an early stage of Buddhist translation in China, lacking ornate literary devices or distinctively Chinese idioms. Explicit sentence subjects are frequently used, which often mirrors the grammatical structures of the Indic source. The text contains numerous repetitions, direct addresses, and formulaic phrases, strongly suggesting an influence from oral transmission. Buddhist technical terms are predominantly transliterated (e.g., 般若波羅蜜, 薩芸若, 三昧), conveying a spiritual rather than purely factual tone. The character 諸 (zhū) is extensively used to indicate plural forms. While specific timeframes like ""過去、當來、今現在佛"" are explicitly mentioned, the general verbal tense is often left unspecified, relying on context, which is common in Classical Chinese.",
般若道行品經,T 224 (10),prose,7,literary,literal,plain,verbose,False,spiritual,True,False,False,True,explicit,True,explicit,False,False,False,"The text is written in prose. The 'syllables_per_line' is an estimation of a typical shorter phrase or clause length, as it is not verse. The language is an early form of Buddhist Chinese, distinct from highly polished classical literary Chinese but still a formal written style, hence categorized as 'literary' rather than 'vernacular' in its strict sense. The translation style is notably literal, often reflecting Indic syntax directly and using multiple Chinese characters or terms to render a single Sanskrit concept, contributing to its verbose nature. The frequent use of terms like '慈孝' (filial piety/compassion and filial devotion) demonstrates an interpretation of Buddhist virtues through indigenous Chinese cultural values. The text exhibits characteristics of oral transmission, such as direct address to specific individuals (e.g., Ananda, Sathapala Bodhisattva), rhetorical questions, and exclamations ('善哉，善哉!'). Sentence subjects are often explicitly stated, a trait influenced by the Indic source language. Temporal markers like '已' (completed action), '當' (future/should), and '今' (now, present) are used to indicate tense explicitly.",
