CSZJJ,Taisho No.,terminology,error,notes
放光經,T 221 (11),"三藏,摩訶般若波羅蜜,佛,須菩提,般若波羅蜜,法師,魔事,供養,少欲知足,守戒,精進,禪定,阿練寂晏,十二法,犯律,貪悋愛惜,無礙,經道,十二部經,六波羅蜜,漚惒拘舍羅,陀隣尼,五陰,蓋,魔波旬,三惡趣,阿耨多羅三耶三菩,欲天,色天,無色天,四王天,無有思想無有思想慧天,三界,無常,苦,空,無我,羅漢,辟支佛,菩薩,沙門,被服,受記莂,狐疑,比丘,善男子,善女人,真際之證,須陀洹,薩云若,內空,外空,有無空,三十七品,三脫門,如來,金色光相,比丘眾,菩薩摩訶薩,佛法,弟子眾,諸法,閻浮提,世尊,愚癡,功德,善本,真知識,無所著,等正覺,佛事,阿惟越致菩薩摩訶薩,佛眼,薩云若慧,五波羅蜜,十力,十八法,斯陀含,阿那含,三耶三佛道,阿耨多羅三耶三菩阿惟三佛,菩薩之母,世間之大明,五陰示現,無相,無願,有為,無為,眾生,欲界,形界,無形界,十方眾生,六情,法,脫,寂,盡,婬怒癡,五眼,五陰窟,出息入息,如,無作如,無相如,無進如,無戲如,無我如,無猗如,諸法之如,六波羅蜜如,三十七品如,十八空如,八惟無禪,九次第禪,四無礙慧,四等心,四無所畏,大慈大悲,薩云若慧如,善法,惡法,道法,俗法,有漏,無漏,過去當來今現在,須陀洹之如,斯陀含之如,阿那含之如,羅漢之如,辟支佛之如,阿耨多羅三耶三菩之如,道如,如來之如,無盡之如,三千大千剎土,欲天子,色天子,龍,鬼神,相,無行之相,無生滅相,無著無斷相,無所有之空相,無所依相,虛空之相,世俗,藏,色,所更者覺之相,所受者想之相,善惡者行之相,所知者識之相,檀波羅蜜,尸波羅蜜,羼波羅蜜,惟逮波羅蜜,禪波羅蜜,四禪,四等,四空定,苦相,無願脫門,寂相,淨相,無所共相,露現相,無礙慧,知恩,報恩,無作者,無諍法,大明導,十二衰,十八性,十惡之法,癡,愛,十二因緣,吾我根本,六十二見,不可思議,不可稱量,不可限,無有與等,虛空,阿須倫,比丘尼,優婆塞,優婆夷,遠塵離垢,法眼生,無所從生法忍,賢劫,轉輪聖王,弟子法,辟支佛法,菩薩法,佛地,三乘,聲聞,兜術天上,彌勒菩薩,六通,二地,羅漢、辟支佛道,淨佛國土,泥洹,一劫,吾我意想,貢高,此岸,彼岸,中道",,
放光經,T 221 (12),"放光般若經,三藏,摩訶般若波羅蜜,品,須菩提,世尊,菩薩,六波羅蜜,真知識,般若波羅蜜,阿耨多羅三耶三菩,五陰,內外空,有無空,三十七品,佛十八法,薩云若,想著之意,須陀洹,斯陀含,阿那含,阿羅漢,辟支佛,菩薩乘,諸法,空,菩薩摩訶薩,謙苦,無相,法,發阿耨多羅三耶三菩,阿惟三佛,愍念世間,安隱世間,一切眾生,世間歸,世間作護,世間作燈明,世間作將,世間導,世間舍,世間趣,五道,無畏岸坦然泥洹,泥洹,苦惱憂悲,無憂之岸,生死,眾苦,以法救化,三乘,老病死法,無餘泥洹,諸法無礙,三界冥中,色,痛,想,行,識,渚,愛盡無猗,無餘無塵,清淨法化,真諦法化,不生不滅,不著不斷,趣空,不來不去,相,願,如夢,如幻,如響,如影,如化,如焰,無我,無命,無壽,無常,苦,無淨,非我,婬怒癡見,身見,如如住,如法性住,如真際住,如普住,如不思議性住,如不動移住,聲聞,辟支佛道,深般若波羅蜜,過去佛,功德,供養,婬怒癡斷者,解深品,作導,念般若波羅蜜,無所念,無端緒,吾我,阿惟越致,不入六波羅蜜,不入薩云若,不隨他人語,不信餘道,不持作要,不雜婬怒癡,不恐懼,不厭倦,終不轉還,諷誦守行,應般若波羅蜜教,空,無相,無願,虛空,無所生,無所滅,不依於著,依於斷,依於如,依於法性,依於不思議,依等無作,不依五陰,不依薩云若,無作者,無來,無去,無所止,無所依,無所出,無所入,無有數,無有限,逮覺者,薩云若慧,如俱等無異,十八法,歎深品,諸欲天子,諸色天子,天名花,頭面作禮,叉手白佛言,不可思議,智者之所知,如來,無所著,等正覺,道徑,一教,坦然無為,法性,真際,無涯底,無來無往,無著無斷,不生不滅,眾生,我人,壽命,不受五陰,不受薩云然,不受持,受持,世間受持,不堪任行,不逆於諸法,無所礙,空無縛之法,佛之真子,佛從如生,一切諸法之如,如者亦復非如,無作無為,無所有,無所罣礙,無作之如常爾,無不不爾,無所壞,不可見,不可破壞,無他如,不過去當來今現在,等一無二,吾我,壽命,眾生之如,內外空如,有無空如,三十七品如,薩云然如,三千大千剎土,六反震動,天花,名香,栴檀,甚奇甚特,從如來如生,無有為無為如生,無法可著樂者,舍利弗,道法,比丘僧,漏盡意解,比丘尼,遠塵離垢,法眼生,法忍,菩薩,天,人,無所從生法忍,漚惒拘舍羅,學五波羅蜜,離般若波羅蜜,行施,行戒,行忍,行精進,行禪,菩薩之道,羅漢,弟子乘,戒性,忍辱,精進,一心,智慧,三昧,解脫,見解脫慧,菩薩所住處,佛所住處,聲聞辟支佛所住處,不以相著,不以相行,狐疑,相,無猗,諸法常淨故,隨如法不增不減,五陰自空,薩云然慧事自空,不有念言,不動還,恒邊沙,法性法,住道法,無是義,如來所記,三乘之行,一乘,分耨曼陀尼子,羅漢乘,辟支佛乘,菩薩佛乘,無為無所有法,如出生諸法,佛事,等意於眾生,大慈普念,無有偏黨,營護念安隱,與語和順,無得中傷,視眾生等,慈勸人,十善,邪見,四諦,四禪,四等行,四空定,八惟無,佛十種力,大慈大悲,逆順十二因緣,神通,淨佛國土,教化眾生,滅習緒,壽命成就,受法住,真際學,菩薩住品,摩訶般若波羅蜜阿惟越致品,凡人地,弟子地,辟支佛地,如來地,一如而不分別,一無有二入,自身如等,直過無狐疑,無增減,不視他人長短,諸法無形,無貌像,無相,轉還,十二衰,十八性,外道,沙門,婆羅門,邪見直見,不犯戒,狡戲,香花繒蓋幢幡,奉諸天神,下賤之家,八劇之處,不受女人身,十二部經,滿眾生願,深經中亦不狐疑平相,身口意行,慈柔軟,身口意業,五蓋,無戀慕於恩愛意,安詳,不卒暴,淨潔自喜,無有塵垢,少於疾病,八萬種蟲,功德過出世間,諸天,鬼神,阿須倫,善本,瑕穢即除,不貪利養,不貪衣服,十二沙門法,無嫉妬意,無愚癡貪利之意,無不等意,無懈怠意,無惡戒意,志常安隱,意常深入,一意聽受所聞法教,與般若波羅蜜俱等意奉行,不入法性者,魔波旬,大小泥犁,授記莂,墮泥犁中,沙門被服,深經要法,異道人所撰集,未正定住阿惟越致地,面自見法,異學語,比丘被服形像,像道法教,世事像道教,尸解,斷生死勤苦根本,欲天,色天,遍知三乘之事,檀波羅蜜,十二衰相還,十八性相還,婬怒癡相還,見相還,佛相還,空像色貌法相,上菩薩位,不生法,無所從生法忍",,
放光經,T 221 (13),"HTTP error occurred: 500 Server Error: Internal Server Error for url: https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent?key=AIzaSyAtsMSj9zZu2zmMWvGRvIyQcx1O58WL-ss - Response: {
  ""error"": {
    ""code"": 500,
    ""message"": ""An internal error has occurred. Please retry or report in https://developers.generativeai.google/guide/troubleshooting"",
    ""status"": ""INTERNAL""
  }
}
",,
放光經,T 221 (1),"般若經,三藏,佛,大比丘眾,阿羅漢,諸漏,比丘尼,優婆塞,優婆夷,菩薩摩訶薩,陀隣尼,空行三昧,無相,無願,五通,深法忍,精進力,魔行,阿僧祇劫,慧,持忍,三昧,補處,世尊,結跏趺坐,天眼,千輻相輪,肉髻,三千大千國土,佛國土,無上正真道意,如來,無所著,等正覺,廣長舌,六度無極,師子座,師子遊戲,神足,地獄,餓鬼,八難處,宿命,稽首受法,三惡趣,十善,梵事,比丘,第三禪,須彌,首陀會天,梵天,第六天王,釋天,四王天,閻浮提,沙訶國土,釋迦文佛,般若波羅蜜,總持,律行,忍界,文殊師利,魔梵,諸龍鬼神,沙門,婆羅門,新發意者,舍利弗,檀波羅蜜,尸波羅蜜,羼提波羅蜜,惟逮波羅蜜,六情,禪波羅蜜,四意止,四意斷,四神足,五根,五力,七覺意,賢聖八品道,空三昧,無相三昧,無願三昧,四禪,四等,四無形三昧,八解禪,九次第禪,九相,念佛,志法,志比丘僧,施戒,安般守意,無常,苦,空,無我人想,無所樂想,無生滅想,無道想,無盡想,無所起想,善想,法想,覺意三昧,無畏三昧,八患,十二衰,佛十力,十八法,四無所畏,四無礙慧,大慈大悲,薩云若,生死習緒,菩薩位,聲聞,辟支佛,阿惟越致地,六通,陀隣尼三昧門,眾智門,功德,智慧,解脫,見解脫慧,大士三十二相,八十種好,菩薩種姓,鳩摩羅浮,佛世尊,六波羅蜜,淨佛國土,內空,外空,大空,最空,空空,有為空,無為空,至竟空,無限空,所有空,自性空,一切諸法空,無所猗空,無所有空,諸法如,諸法性,諸法真際,果報,泥洹,梵志大姓家,迦羅越家,四天王天上,空無形禪,須陀洹,斯陀含,阿那含,阿羅漢,辟支佛,慧方便,有為法,無為法,法相,覺滅際,阿惟三佛,五眼,肉眼,智眼,法眼,佛眼,阿耨多羅三耶三菩,十二部經,三寶音,正見,道事,俗事,輪跡,阿迦膩吒天,佛樹,轉法輪,遠塵離垢,諸法法眼淨,漏盡意解,阿惟越致,般泥洹,婬怒癡,漚惒拘舍羅,五欲,五陰,色陰,痛陰,想陰,行陰,識陰,十二因緣,癡,所作行,識,名色,六入,栽,痛,愛,受,有,生,死,非色,非識,三世,六情,十八性,受莂,眾生相,空行,嫉慢意,亂怠意,恚恨意,惡智意,法性",,
放光經,T 221 (2),"般若經,摩訶般若波羅蜜,五眼品,菩薩摩訶薩,兜率天上,佛國,人道,陀隣尼,三昧門,眾智門,智慧,深法要,阿惟越致,諸根闇鈍,世尊,漚惒拘舍羅,四禪,六波羅蜜,禪福,長壽天,四等意,四無形禪念,三十七品,大慈大悲,拔陀劫,覺者,無形定,梵志,迦羅越,四王天,忉利天,第六天,梵天,轉法輪,一生補處菩薩,空,無相,無願,三昧,天人,阿惟三佛,六神通,欲界,形界,無形界,佛剎,聲聞,辟支佛,佛法眾,三尊,功德,初發意,四清淨,佛十八法,三界,菩薩位,阿僧祇劫,成佛,惡趣,惠施,檀波羅蜜,尸波羅蜜,三惡趣,十善,遮迦越羅,恭敬啟受,照明法化,攝身口意,嫉恚,邪見,兩舌,惡口,妄言,綺語,殺盜婬,懈慢意,惡智,羅漢,佛道,猗,一切法,五陰,六情,色聲香味細滑法,十八性,佛十種力,四無所畏,不共,阿耨多羅三耶三菩,薩云若,阿須倫,恒沙,得慧菩薩,佛想,我想,人想,貢高,五眼,肉眼,天眼,慧眼,法眼,佛眼,踰旬,閻浮提,四天下,千世界,二千世界,三千世界,阿迦膩吒天,眾生,生死,有為法,無為法,有道法,俗法,堅信,堅住,無相無願之脫,五根,不中止定,解脫慧,三礙,有身礙,狐疑礙,邪信礙,須陀洹,道得念,婬怒癡,斯陀含,阿那含,五愛,色愛,無色愛,癡愛,恨戾愛,亂志愛,空脫,不中止禪,五力,從佛受決,動還者,不動還者,神通,僧,勤苦行,一生補處,道場,魔,金剛三昧,四等心,十八不共,五神通,神足,徹視無礙,履水蹈虛,身出水火,手捫摸日月,天耳,徹聽,有無,空無,天耳慧神通,心中所念,愛欲意,亂意,定意,宿命之證,劫,那術,死此生彼,五道,漏盡之證,淨除薩云若迹,罪福,瞋恚,羼波羅蜜,惟逮波羅蜜,禪波羅蜜,愚癡,不瞋不忍,不進不怠,不定不亂,不智不愚,不施與亦不有貪,不戒不犯,不有為不無為,無所從生法,無有罵者,無有歎者,等意,諸法等,比丘,無上正真道意,阿閦佛國,彌勒佛,沙門,威神,四部眾,沙訶樓陀剎土,莊嚴王如來,無所著,等正覺,尊者,優婆塞,優婆夷,法度,空無相度,諸法空度,有無空度,轉無上法輪,彼岸,龍,鬼神,珠璣,瓔珞,琉璃,摩尼,廣長舌相,舌根,光明,瑞應,釋迦文,四柱臺,堪任,無所從生法忍,覺華如來,辯才,境界,菩薩字,兩間中止,我人,色痛想行識,因緣,六衰,眼耳鼻舌身意,有為性,無為性,無想念,無想法,超越諸法之相,法數,意識覺,不苦不樂,相好,慧度,度神通,度慧,內外空,所有無所有空,化眾生,淨佛國土,阿惟越致地,陀隣尼三昧門,地水火風空識,十二因緣,癡,行,識,名色,六入,栽,覺,愛,受,有,生,死,如,無常,苦,無我,法性,六情性,恐,畏懼,悔,懈怠,吾我,知見事,師子遊步,師子奮迅三昧,首楞嚴三昧,海寶三昧,月幢三昧,諸法普至三昧,觀印三昧,真法性三昧,作無垢幢三昧,諸法所入門三昧,三昧王三昧,王印三昧,力淨三昧,諸法所入真辯才三昧,諸法言所入照十方三昧,諸法陀隣尼門印三昧,不妄諸法三昧,諸法都聚印三昧,虛空所止三昧,淨三昧,處三昧,不起神通三昧,作上幢三昧,羅漢辟支佛地,菩薩頂諍,法愛,空寂,無為證,順法愛,順道,內空,外空,空空,大空,第一空,有為空,無為空,無邊際空,作空,性空,自空,諸法空,無空,有空,無有空,道意,意性,塵勞,六十二見,佛子,法化生,法施,思欲施,三乘,根本,壽,命,安般志,死志,法真際,有漏無漏,無所住,本性,無所受三昧,垢相,異道人,先尼,空性,彼此岸,般泥洹,無婬怒癡,化生",,
放光經,T 221 (1),"放光般若經,三藏,摩訶般若波羅蜜,品,佛,比丘眾,阿羅漢,漏已盡,意解無垢,眾智自在,大龍,三處已盡,正解已解,比丘尼,優婆塞,優婆夷,菩薩摩訶薩,陀隣尼,空行三昧,無相,無願,等忍,無罣礙陀隣尼門,五通,深法忍,精進力,魔行,死地,阿僧祇劫,如幻,如夢,如響,如光,如影,如化,如水中泡,如鏡中像,如熱時炎,如水中月,法忍,菩薩,補處,世尊,結跏趺坐,三昧,三昧王,天眼,千輻相輪光明,肉髻,三千大千國土,無上正真道意,如來,無所著,等正覺,廣長舌,六波羅蜜,師子座,師子遊戲,神足,六反震動,地獄,餓鬼,蠕動之類,八難處,第六天,宿命,稽首,受法,三惡趣,十善,梵事,第三禪,調,須彌,首陀會天,梵天,釋天,四王天,閻浮提,國土,沙訶國土,釋迦文佛,般若波羅蜜,總持,律行,忍界,菩薩足,諸佛,比丘僧,文殊師利,魔,諸龍鬼神,沙門婆羅門,新發意者,舍利弗,檀波羅蜜,尸波羅蜜,恚意,羼提波羅蜜,惟逮波羅蜜,禪波羅蜜,四意止,四意斷,四神足,五根,五力,七覺意,賢聖八品道,空三昧,無相三昧,無願三昧,四禪,四等,四無形三昧,八解禪,九次第禪,九相,念佛,志法,志比丘僧,施戒,安般守意,無常,苦,空,無我人想,無所樂想,無生滅想,無道想,無盡想,無所起想,善想,法想,覺意三昧,無畏三昧,八患,十二衰,佛十力,十八法,四無所畏,四無礙慧,大慈大悲,薩云若,生死習緒者,菩薩位,聲聞,辟支佛地,阿惟越致地,六通,羅漢,陀隣尼三昧門,布施,持戒,功德,智慧,解脫,見解脫慧,大士三十二相,八十種好,菩薩種姓,鳩摩羅浮,諸佛世尊,佛國,佛剎,內空,外空,大空,最空,空空,有為空,無為空,至竟空,無限空,所有空,自性空,一切諸法空,無所猗空,無所有空,真際,弟子眾,沙門四道,無餘泥洹,尊者,梵志,迦羅越,空無形禪,須陀洹,斯陀含,阿那含,報施恩,善法,般若波羅蜜相應,色與空合,痛想行識與空合,眼耳鼻舌身意,色聲香味細滑識法,眼色識,法性識,苦習盡道四諦之法,十二因緣,癡,所作行,識,名色,六入,栽,痛,愛,受,有,生,死,有為法,無為法,本性,七空合,五陰,法,性本空,非色,非識,阿耨多羅三耶三菩,假號品,吾我,眾生,目揵連,嚴治佛道地,福田,道場,五戒,八齋,四等意,三十七品法,王者種,梵志種,長者種,迦羅越種,三十三天,無相施,惡意,恚恨意,懈怠意,亂意,惡智,戒念,五眼,肉眼,智眼,法眼,佛眼,天耳,十二部經,諷誦,佛音,法音,僧音,三寶,正見,罪地三惡趣,人身,戒行,佛威儀,道事俗事,輪跡現,阿迦膩吒天,佛樹,金剛,出家,轉法輪,遠塵離垢,諸法法眼淨,漏盡意解,阿惟越致,阿僧祇人,般泥洹,婬怒癡,四鉢,忉利天王,阿須倫種,梵行,色欲,童男行,漚惒拘舍羅,五欲,幻師,權菩薩,字耳,法立名,泥洹,螢火蟲,日出,空、無相、無願之法,苦樂,有我無我,六情法,十八法不共,無底空,諸法相空,生空,無生空,真空,偽空,如,法性,神通,普慈,法性一體,生眾生相,滅眾生相,空行,嫉慢意,亂怠意,惡智意,受莂",,
放光經,T 221 (2),"摩訶般若波羅蜜,般若波羅蜜,菩薩摩訶薩,兜率天,他方佛國,人道,陀隣尼,三昧門,阿惟越致,漚惒拘舍羅,四禪,六波羅蜜,檀波羅蜜,尸波羅蜜,羼波羅蜜,惟逮波羅蜜,禪波羅蜜,長壽天,四等意,四無形禪,三十七品,大慈大悲,拔陀劫,梵志,迦羅越,四王天,忉利天,第六天,梵天,一生補處菩薩,空,無相,無願,三昧,阿惟三佛,六神通,欲界,形界,無形界,聲聞,辟支佛,三尊,初發意,四清淨,佛十八法,三界,阿惟越致地,般泥洹,劫,解脫禪定,無思想慧禪,蒱佉闍三昧,小道者,道慧,忍,三惡趣,遮迦越羅,十善之行,邪見,兩舌,惡口,妄言,綺語,殺盜婬,懈慢意,惡智,羅漢,薩云若,五陰,色痛想行識,六情,眼耳鼻舌身意,色聲香味細滑法,十八性,佛十種力,四無所畏,五眼,肉眼,天眼,慧眼,法眼,佛眼,閻浮提,四天下,三千大千世界,阿迦膩吒天,有為法,無為法,有道法俗法,不中止定,解脫慧,三礙,有身礙,有狐疑礙,有邪信礙,須陀洹,道得念,婬怒癡,斯陀含,阿那含,五愛,色愛,無色愛,癡愛,恨戾愛,亂志愛,空脫,五力,受決,漏盡之證,罪福,瞋恚,愚癡,阿閦佛國,彌勒佛,沙門,沙訶樓陀剎土,莊嚴王如來,無所著,等正覺,摩訶目揵連,須菩提,摩訶迦葉,優婆塞,優婆夷,彼岸,廣長舌相,恒沙,釋迦文,忍界,無所從生法忍,覺華如來,十二因緣,菩薩位,陀隣尼三昧門,學意三昧,師子遊步三昧,師子奮迅三昧,首楞嚴三昧,海寶三昧,月幢三昧,諸法普至三昧,觀印三昧,真法性三昧,作無垢幢三昧,諸法所入門三昧,三昧王三昧,王印三昧,力淨三昧,諸法所入真辯才三昧,諸法言所入照十方三昧,諸法陀隣尼門印三昧,不妄諸法三昧,諸法都聚印三昧,虛空所止三昧,淨三昧,處三昧,不起神通三昧,作上幢三昧,菩薩頂諍,法愛,空寂,無常,苦,非我,無為證,內空,外空,空空,大空,最第一空,有為空,無為空,無邊際空,作空,性空,自空,諸法空,無空,有空,無有空,塵勞,六十二見,佛子,法化生,樂空寂行,菩薩地,三乘之教,安般志,有漏無漏,法性,真際,無所住,六識,眼識耳識鼻識舌識身識意識,六栽,六覺,地水火風空識,吾我想,性空之法,無所受三昧,異道人先尼,薩云若慧,度空性之慧,彼此岸,佛國,阿僧祇劫",,
放光經,T 221 (3),"般若經,三藏,摩訶般若波羅蜜,須菩提,佛,菩薩摩訶薩,漚惒拘舍羅,五陰,生老病死苦,三十七品,佛十八法,舍利弗,色,六情,十八性,聲聞,辟支佛,地證,阿耨多羅三耶三菩,痛,想,行,識,空,無相,無願,寂靜,六波羅蜜,三昧,首楞嚴菩薩行,寶印三昧,師子遊步三昧,月三昧,作月幢三昧,諸法印三昧,照頂三昧,真法性三昧,必造幢三昧,金剛三昧,諸法所入印三昧,三昧王所入三昧,王印三昧,力進三昧,寶器三昧,必入辯才三昧,授決,空寂行者,吾我,眾生,十二衰,本淨,十二因緣,苦,習,盡,道,欲性,形性,無形性,須陀洹,薩云若,無所得,無所見,幻人,夢,響,影,熱時炎,化,大乘意菩薩,善知識,無常,非我,檀波羅蜜,羅漢,戒,羼提波羅蜜,惟逮波羅蜜,禪波羅蜜,功德,阿惟越致地,婬怒癡,諸見,薩云若慧,幻相,怛薩阿竭,阿羅訶,三耶三佛,有為,無為,法性,真際,不生不滅,四大,比丘僧,天想,安般想,邪見,記法,未記法,俗法,道法,有漏法,無漏法,欲界,形界,無形界,三解脫門,三根,三三昧,解脫攝意,八解脫門,九次第禪,十八空,佛十力,四無所畏,斯陀含,阿那含,金剛意,三乘,般泥洹,泥犁,薜荔,妙意,諷誦,妄見,吾我見,有人見,眾生見,斷見,常見,五陰見,十八性見,十二衰見,諦見,十二因緣見,三十七品見,佛十八法見,育養眾生見,淨佛土見,道見,佛見,轉法輪見,道意,無漏,僧那僧涅,摩訶衍三拔致,發趣大乘,尸波羅蜜,謙苦行,大誓願,慈悲喜護,四等,消諸漏,大乘,佛國,神通,一切智,轉法輪,龍,閱叉,阿須倫,恒邊沙,佛身,三千大千剎土,遮迦越王,工幻師,精進意,彼岸,五眼,菩薩行,邠耨文陀尼子",,
放光經,T 221 (4),"放光般若經,般若經,般若,三藏,摩訶般若波羅蜜,摩訶衍,須菩提,菩薩,摩訶薩,大乘,六波羅蜜,檀,尸,羼,惟逮,禪,布施,薩云若,功德,眾生,阿耨多羅三耶三菩,持戒,十善,忍地,忍辱,五波羅蜜,漚惒拘舍羅,諸禪,諸法,諸法之性,內空,外空,有無空,內法,眼耳鼻舌身意,垢,色聲香味細滑法,內六衰,外六衰,諸法之空,空空,大空,最空,泥洹,有為空,三界,無為空,不生不滅,至竟空,不可得原空,無作空,性空,羅漢,辟支佛,諸佛世尊,五陰,十二衰,十八性,有為法,無為法,自相空,色相,所受相,想,識,無所得空,無空,有空,異以異為空,五陰性,無所成,法性,法寂如,真際,住如,餘事空,百七三昧,三昧,首楞嚴三昧,寶印三昧,師子遊戲三昧,月三昧,月幢三昧,在諸法上三昧,照頂三昧,法性畢三昧,必造幢三昧,金剛三昧,法所入印三昧,安住三昧,放光明三昧,勢進三昧,等步三昧,入辯才教授三昧,過量音聲三昧,照處處三昧,總持印三昧,不忘三昧,一切法所聚海三昧,虛空普三昧,金剛部三昧,寶勝三昧,熾炎三昧,無願三昧,審住三昧,選擇三昧,無垢燈三昧,無限光三昧,作光明三昧,普照明三昧,淨要三昧,無垢光三昧,造樂三昧,電明三昧,無盡三昧,上威三昧,畢盡三昧,不動三昧,不別三昧,日燈三昧,月無垢三昧,淨光明三昧,四無礙慧,作明三昧,造作三昧,諸慧三昧,住意三昧,現明三昧,安立三昧,寶積三昧,法印三昧,等三昧,棄樂三昧,過法定三昧,散結三昧,解諸法句三昧,等文字三昧,畢字三昧,斷因緣三昧,無態三昧,無行三昧,無窟行三昧,畢陰三昧,主行三昧,不起三昧,度境界三昧,聚諸善三昧,止選三昧,清淨華三昧,七覺意,主覺三昧,無限辯三昧,無等等三昧,度諸法三昧,決斷三昧,散諸狐疑三昧,無住三昧,一行三昧,眾生所入三昧,一事三昧,厭該眾事三昧,散諸生死勞怨三昧,眾行音所入三昧,脫諸音響字三昧,然炬三昧,淨相三昧,無准三昧,具足眾事三昧,不願苦樂三昧,事不減三昧,持迹三昧,邪正聚三昧,滅恚諍三昧,無恚三昧,主要三昧,明月滿無垢炎三昧,大莊飾三昧,與世間作光明三昧,三昧等,無忿三昧,無倚無窟無樂三昧,最如三昧,身骸,斷口行與空合三昧,虛空本脫無色三昧,陀隣尼,四意止,癡,痛意行法,地水火風,不淨,髮毛爪齒筋骨五藏三十六物,覺意法,癡惑意,漸御四意斷,惡意法,善事法,四神足,樂定,精進定,持意定,智之定,五根,信根,精進根,志根,定根,智慧根,五力,信力,精進力,志力,定力,智慧力,志覺意,法覺意,精進覺意,悅喜覺意,信覺意,定覺意,適無以著覺意,賢聖八品道,正見,正念,正言,正行,正業,正習,正志,正定,空三昧,無相三昧,無願三昧,諸慧事,苦慧,習慧,盡慧,道慧,消慧,無所起慧,法慧,明慧,各各知他人所念慧,真慧,如來薩云若智,三根,學士,白衣,須陀洹,斯陀含,阿那含,佛,第一有覺有觀,無覺有觀,無覺無觀,第一禪,二禪,無思想無思想慧禪,十念,佛念,法念,僧念,戒念,施念,天念,滅念,安般念,身苦念,死亡念,四禪,四等,四無形禪,八惟無禪,九次第禪,佛十種力,四無所畏,沙門,婆羅門,魔,天,梵,梵輪,漏,正覺,師子吼,佛十八法,陀隣尼目佉,字門,阿,羅,波,遮,那,陀,茶,沙,和,多,夜,吒,加,娑,摩,伽,他,闍,濕波,大,赦,佉,叉,侈,若,伊陀,繁,車,叵,蹉,峨,咃,破,歌,嵯,嗟,嗏,四諦,十二緣起事,善知識,天耳徹聽,自識宿命,消諸漏,摩訶僧那僧涅,三拔致,第一地,三垢,四等心,出家,佛身,相好,法財,戒,報恩,大慈,佛國土,善本,慚愧,宴坐,少欲,知足,沙門十二法行,欲污穢,起意如泥洹,懈慢,比丘尼,嫉妬,忿諍,鬪訟,高住,蔑人,聲聞意,小意,吾我想,壽有命想,斷,常,念想,種想,入陰,入性,入衰,依佛見,依法見,依僧見,依戒,無相,無願,道,慧,淨身口意,慈哀,等視諸法,導御,無所生忍,一道教化,斷諸分別,轉於想,轉於見,轉於滅垢見,慧地,自調意,無所礙,不染於欲事,神通,幻三昧,無限處廣大之願,天龍閱叉犍陀羅,胞胎,剎利,婆羅門,過去諸菩薩種,黃金為樹七寶為枝葉,如來,十二部經,滅恚怒,下賤之處,二識之處,比丘尼眾,瞋恚,龍戾,顛倒,婬怒癡,平等道,斷截,常見,名色,虛空,佛見,空諍,相,無願智,大悲,二教,垢濁,佛眼,六衰,佛國想,遮迦越羅地,三千大千國土,世尊十力,鬼神,辯才慧,化生,佛樹,七寶,薩云若慧,三十七品,滅淨地,種性地,八地,見地,薄地,除垢地,所作已作地,辟支佛地,菩薩地,佛地,五眼,十住地,等正覺,須陀洹果,斯陀含果,阿那含果,阿羅漢果,辟支佛果,佛果,名相,設法教數,無所生,無所滅,無所著,無所斷,無所有,摩訶般若波羅蜜問摩訶衍品",,
放光經,T 221 (5),"佛,世尊,摩訶衍,菩薩摩訶薩,波羅蜜,空,六波羅蜜,陀羅尼門,三昧門,首楞嚴三昧,虛空際解脫無所著三昧,內外空,無有空,三十七品,佛十八法,欲界,色界,無色界,劫盡燒,痛想行識,眼耳鼻舌身意,色聲香味細滑法,十二因緣,法性,如,真際,不可思議,八輩地法,須陀洹法,斯陀含法,阿那含法,阿羅漢法,辟支佛法,阿惟三佛法,佛法,種性,初發意,佛坐,金剛慧,習緒,薩云若,如來,無所著,等正覺,三十二大士之相,法輪,沙門,婆羅門,鬼神,魔,梵,無餘泥洹界,般泥洹,三界,十住意,須陀洹道,斯陀含道,阿那含道,阿羅漢道,弟子地,辟支佛地,阿惟三佛地,我,非我,不相,不願,寂,阿僧祇,泥洹性,吾我緒,知見緒,真際緒,五陰緒,六情,般若波羅蜜,五陰,識性空,有為,無為,苦習盡道,十二衰,十方,三脫門,四意止,四意斷,四神足,五根,五力,七覺意,賢聖八品道,四無礙慧,大慈大悲,十種力,四無所畏,十八不共,無所望法,漏法,無漏法,十八性,苦習盡道法,不可思議性,一相,不生,空寂不真,緣覺,眼識意識,眼栽至意意栽至因緣法,羅漢法,十住,道法,教法,地水火風空識,身口意行,已記法,未記法,我所,道士,遠離,檀波羅蜜,禪波羅蜜,不二,凡人,凡人法,五趣,三應滅,三垢薄,五應滅,滅上五,勤苦行,父想,母想,子想,身想,世俗,俗檀波羅蜜,布施,阿耨多羅三耶三菩,三礙意,施想,菩薩道,空無相無願三脫門,三乘,不疑不懼,大慈大悲之念,三千大千剎土,阿須倫,天",,
