CSZJJ,Alt Title,Result OK?,Kaiyuan Lu Fascicle,Notes
忍辱經,羅云忍辱經,Y,2,
梵網經,梵網六十二見經,Y,3,
閑居經,悲華經,Y,2,
邪見經,邪見經,Y,,Same
積骨經,七處三觀經,N,,
腹使經,生經,N,,
持齋經,齋經,Y,1,
海八德經,法海經,Y,2,
具善根經,菩薩藏經,N,,
未曾有經,甚希有經,Y,1,
不淨觀經,達摩多羅禪經,Y,3,
無母子經,沙彌羅經,N,,
無母子經,五母子經,N,,
觀世樓炭經,大樓炭經,N,,
多增道章經,長阿含十報法經,Y,1,
相應相可經,雜阿含經,N,,
前世三轉經,銀色女經,N,,
摩訶乘寶嚴經,摩訶衍寶嚴經,Y,,Close synonym but not based on the Kaiyuan Lu
精勤四念處經,雜阿含經,N,,
人受身入陰經,修行道地經,N,,
佛遺日摩尼寶經,大寶積經,Y,1,
佛遺日摩尼寶經,摩訶衍寶嚴經,Y,1,
三劫經,過去莊嚴劫千佛名經,N,,
三劫經,現在賢劫千佛名經,N,,
三劫經,未來星宿劫千佛名經,N,,
十一思惟念如來經,十一想思念如來經,Y,20,
十八不共法經,寶女所問經,N,,
阿練若習禪法經,坐禪三昧經,N,,
恒河譬經,恒水經,N,,
鑄金喻經,雜阿含經,N,,
法句譬喻經,法句經,N,,
陀羅尼偈,陀羅尼集經,N,,
阿彌陀佛偈,後出阿彌陀佛偈,N,,
摩訶般若波羅蜜神呪,般若波羅蜜多心經,N,,
七佛神呪,虛空藏菩薩問七佛陀羅尼呪經,N,,The alt title comes from Fascicle 1 of Summary Catalog of Esoteric Mantras from Numerous Teachers 諸阿闍梨真言密教部類總錄 (T 2176)
七佛神呪,如來方便善巧呪經,N,,
八吉祥神呪,八吉祥經,N,,
持句神呪,東方最勝燈王如來經,Y,7,
阿惟越致轉經,不退轉法輪經,N,,
蜀普耀經,普曜經,N,,
正法華三昧經,法華三昧經,N,,
正法華三昧經,正法華經,N,,
不退轉輪經,不退轉法輪經,Y,,Jus by virtue of being very similar
度無極譬經,摩訶般若波羅蜜經,Y,16,
長阿含經,人本欲生經,N,,
長阿含經,尸迦羅越六方禮經,N,,
長阿含經,長阿含十報法經,N,,
長阿含經,大般涅槃經,N,,
長阿含經,佛般泥洹經,N,,
長阿含經,般泥洹經,N,,
長阿含經,寂志果經,N,,
長阿含經,起世經,N,,
長阿含經,起世因本經,N,,
長阿含經,大樓炭經,N,,
長阿含經,中本起經,N,,
長阿含經,佛開解梵志阿颰經,N,,
長阿含經,梵網六十二見經,N,,
法華光瑞菩薩現壽經,正法華經,N,,Fascicle 2 of the Kaiyuan Lu says that this is an extract
甘露味阿毘曇,阿毘曇甘露味論,Y,20,
彌勒難經,彌勒菩薩所問本願經,Y,2,
菩薩經,虛空藏菩薩經,N,,
菩薩經,菩薩念佛三昧經,N,,
加丁比丘經,迦丁比丘說當來變經,Y,5,
恒水不說戒經,恒水經,,,
大沙門羯磨,大沙門百一羯磨法,,,
在家菩薩戒經,優婆塞戒經,,,
在家律儀經,優婆塞戒經,,,
在家律儀經,優婆塞五戒威儀經,,,
魔試目連經,魔嬈亂經,,,
優填王照逝心女經,優填王經,,,
難國王經,須摩提女經,,,
仙歎經,九色鹿經,,,
養牛經,放牛經,,,
放牛法經,放牛經,,,
餓鬼經,餓鬼報應經,,,
閻羅王經,閻羅王五天使者經,,,
苦慧經,阿毘曇五法行經,,,
古來經,古來世時經,,,
度世經,度世品經,,,
緣本經,緣本致經,,,
緣本經,本相猗致經,,,
法藏經,法海經,,,
釋論,大智度論,,,
六足阿毘曇,阿毘達磨法蘊足論,,,
六足阿毘曇,阿毘達磨集異門足論,,,
六足阿毘曇,阿毘達磨識身足論,,,
六足阿毘曇,阿毘達磨界身足論,,,
六足阿毘曇,阿毘達磨品類足論,,,
五陰經,五陰譬喻經,,,
逮慧三昧經,月燈三昧經,,,
禪行斂意經,阿那律八念經,,,
異出四諦經,四諦經,,,
異出菩薩本經,異出菩薩本起經,,,
