CSZJJ,Taisho No.,length,rushiwowen,wenrushi,wowenrushi,rushiwen,not_in_shanzai,ye2_count,er3_count,ye3_count,ye2_final_count,er3_final_count,ye3_final_count,error,correction
般若道行品經,T 224 (1),11577,False,False,False,False,11,5,11,30,15,5,26,"Got a non-integer output from the model for 耶: 1.  **[0425c10]** 舍利弗心念言：「今使須菩提為諸菩薩說般若波羅蜜，自用力說**耶**？持佛威神說乎？」 - This is a question. (Count: 1)
2.  **[0426c26]** 舍利弗謂須菩提：「何所三昧隨行？菩薩已得阿惟越致字，前過去佛時得作佛，可得見三昧處不**耶**？」 - This is a yes/no question. (Count: 2)
3.  **[0427a16]** 佛言：「我故自問，若隨所報之。於須菩提意云何，幻與色有異無？幻與痛痒思想生死識有異無**耶**？」 - This is a question. (Count: 3)
4.  **[0427a17]** 佛言：「我故自問，若隨所報之。於須菩提意云何，幻與色有異無？幻與痛痒思想生死識有異無**耶**？」 (This appears to be a duplicate of the previous line in the text snippet, but the line number is 0427a17. Checking the text again, the question starts at 0427a17 and the '耶' is at 0427a18. The previous one at 0427a16 ends with '耶'. Let me re-evaluate based on the exact line reference for each '耶'.)

    Let's restart the precise count by searching for ""耶"" and examining context.

    1.  **[0425c10]** 舍利弗心念言：「今使須菩提為諸菩薩說般若波羅蜜，自用力說**耶**？持佛威神說乎？」 - Question. (Count: 1)
    2.  **[0426c26]** 舍利弗謂須菩提：「何所三昧隨行？菩薩已得阿惟越致字，前過去佛時得作佛，可得見三昧處不**耶**？」 - Question. (Count: 2)
    3.  **[0427a16]** 須菩提言：「天中天！若有問者是幻，為學佛得作佛。或作是問，當何以教之**耶**？」 - Question. (Count: 3)
    4.  **[0427a18]** 佛言：「我故自問，若隨所報之。於須菩提意云何，幻與色有異無？幻與痛痒思想生死識有異無**耶**？」 - Question. (Count: 4)
    5.  **[0427c08]** 於須菩提意云何，寧有所中傷死者無**耶**？」 - Question. (Count: 5)
    6.  **[0428a03]** 亦無有甫當來出者。何以故？天中天**耶**？」 - Question. (Count: 6)
    7.  **[0428a14]** 邠祁文陀弗白佛言：「尊者須菩提，佛使說般若波羅蜜，乃至說摩訶衍事為**耶**？」 - Question. (Count: 7)
    8.  **[0428a15]** 須菩提白佛言：「須菩提說般若波羅蜜得無過**耶**？天中天！」 - Question. (Count: 8)
    9.  **[0428a27]** 須菩提白佛言：「若有新學菩薩，聞是語得無恐怖**耶**？」 - Question. (Count: 9)
    10. **[0428b18]** 設用十方天下人故，何能忍是謙苦**耶**？」 - Question. (Count: 10)
    11. **[0429a17]** 釋提桓因白須菩提言：「賢者須菩提！是若干千萬天子大會，欲聽須菩提說般若波羅蜜。云何菩薩於般若波羅蜜中住**耶**？」 - Question. (Count: 11)
    12. **[0430a09]** 諸天子語須菩提：「乃至佛道亦復呼如幻**耶**？」 - Question. (Count: 12)
    13. **[0430a11]** 諸天子問須菩提：「乃至泥洹泥洹及泥洹亦復如幻**耶**？」 - Question. (Count: 13)
    14. **[0430b01]** 須菩提言：「拘翼說言：『是華無所從出生，亦不從心樹出。』為非華**耶**？」 - Question. (Count: 14)
    15. **[0430c09]** 須菩提言：「於拘翼意云何，何所法中作是教人本所生**耶**？」 - Question. (Count: 15)

All 15 instances of '耶' in the provided text appear at the end of questions. There are no instances where '耶' functions as a final particle in a declarative sentence (which is uncommon for '耶' in classical Chinese).

15
",Should be 15
般若道行品經,T 224 (2),13821,False,False,False,False,2,32,9,5,1,7,6,,
般若道行品經,T 224 (3),10966,False,False,False,False,8,35,0,0,0,0,0,"Got a non-integer output from the model for 耶: The character '耶' appears in the provided text multiple times as part of transliterated Buddhist terms like ""阿耨多羅三耶三菩"" (Anuttara-samyak-sambodhi) and ""三耶三佛"" (Samyak-sambuddha). However, in these instances, '耶' is a phonetic component of a multi-character term and does not function as a final particle at the end of a sentence or a question.

After a thorough review of the text, specifically looking for '耶' at the end of sentences (immediately followed by a period, question mark, or exclamation mark) and analyzing its grammatical function, there are no instances where '耶' appears as a final particle at the end of yes or no questions or at the end of declarative sentences.

Therefore, the count is 0.
",Should be 0
般若道行品經,T 224 (4),9874,False,False,False,False,6,20,3,2,1,2,2,,
般若道行品經,T 224 (5),10848,False,False,False,False,1,43,8,23,3,7,23,,
般若道行品經,T 224 (6),8048,False,False,False,False,2,27,12,25,12,6,25,,
般若道行品經,T 224 (7),9414,False,False,False,False,4,53,5,22,0,2,22,,
般若道行品經,T 224 (8),9457,False,False,False,False,0,14,1,22,6,1,21,,
般若道行品經,T 224 (9),10365,False,False,False,False,10,4,6,1,1,3,1,,
般若道行品經,T 224 (10),7528,False,False,False,False,6,10,7,0,2,6,0,,
般舟般三昧經,T 418 (1),9257,False,False,False,False,0,2,11,1,2,7,1,,
般舟般三昧經,T 418 (2),10307,False,False,False,False,0,10,5,1,0,3,1,"Got a non-integer output from the model for 耶: The character '耶' appears in the provided text only as part of proper nouns, specifically ""羼羅耶佛"" and ""賴毘羅耶"". It does not appear at the end of any yes or no questions, nor as a final particle at the end of any declarative sentences.

0
",Should be 0
般舟般三昧經,T 418 (3),8691,False,False,False,False,0,11,2,0,0,2,0,,
方等部古品曰遺日說般若經,T 350,9202,False,False,False,False,0,7,5,77,7,3,47,,
阿闍世王經,T 626 (1),15902,False,True,False,False,2,26,2,0,0,238,0,"Got a non-integer output from the model for 耳: The character 耳 is used 238 times as a final particle at the end of declarative sentences in the provided text.

238
",Should be 238
阿闍世王經,T 626 (2),17796,False,False,False,False,3,18,2,1,0,1,1,,
問署經,T 458,12630,False,True,False,False,18,11,1,1,1,0,1,,
兜沙經,T 280,3008,False,False,False,False,0,5,0,2,0,0,1,"Got a non-integer output from the model for 耶: The character '耶' appears at the end of three sentences in the provided text:

1.  **[0445c27] 諸菩薩大眾會，何甚快耶？**
    *   This translates to ""How wonderful is the great assembly of Bodhisattvas?"" The presence of ""何"" (how/what/why) indicates that this is a ""wh-question"" (特指問句), which seeks specific information or expresses an exclamation, rather than a ""yes or no question"" (是非問句) that can be answered with a simple affirmative or negative.

2.  **[0445c30] 何因耶？**
    *   This translates to ""For what reason?"" or ""Why?"". Again, ""何因"" (what reason/why) marks this as a ""wh-question"".

3.  **[0446a02] 何因耶？**
    *   This is identical to the previous instance, also a ""wh-question"".

In Classical Chinese, '耶' is predominantly used as an interrogative particle. It is generally not used as a final particle for declarative sentences. In this text, it consistently appears in questions.

Based on the strict interpretation of the prompt's conditions:
*   **""at end of yes or no questions""**: None of the instances are ""yes or no questions"" because they are all ""wh-questions"" (introduced by ""何"") and thus cannot be answered with a simple ""yes"" or ""no"".
*   **""as a final particle at the end of declarative sentences""**: '耶' is an interrogative particle and is not used to end declarative sentences in this text or generally in Classical Chinese.

Therefore, the count for '耶' appearing under these specific conditions is 0.

0
",Should be 0
阿閦佛國經,T 313 (1),12491,False,True,False,False,4,2,0,37,1,0,16,,
阿閦佛國經,T 313 (2),11293,False,False,False,False,0,2,12,9,0,8,9,"Got a non-integer output from the model for 耳: The character ""耳"" is used as a final particle at the end of declarative sentences 8 times in the given text.

Here are the occurrences:
1.  `如我於是所說法由為薄少耳` (0758a29)
2.  `但有正道耳` (0759c14)
3.  `是適等耳` (0760a08)
4.  `菩薩生阿閦佛剎者是這等耳。` (0760b02)
5.  `菩薩生阿閦佛剎者是這等耳。` (0760b04)
6.  `是間菩薩摩訶薩受決，菩薩生阿閦佛剎者是這等耳。` (0760b16) - This is within a quoted declarative sentence.
7.  `諸佛剎之善快空耳` (0762b02)
8.  `如我佛剎為下耳` (0762b15)

Note: Instances where ""耳"" ends an interrogative sentence (e.g., `是這等耳？`) are not counted. Instances where ""耳"" is part of a compound word like ""爾時"" are also not counted as it's not a final particle in those cases.

8
",Should be 8
內藏百品經,T 807,4953,False,False,False,False,0,0,1,0,0,1,0,,
成具光明經,T 630,14312,False,True,False,False,7,1,3,49,1,1,26,,
法鏡經,T 322,13396,False,True,False,False,47,5,6,86,1,5,55,,
中本起經,T 196 (1),15009,False,True,False,False,6,17,10,18,6,8,18,,
中本起經,T 196 (2),14011,False,False,False,False,8,8,9,26,2,6,22,,
法句經,T 210 (1),11933,False,True,False,False,3,0,0,6,0,0,6,,
法句經,T 210 (2),12379,False,False,False,False,3,0,2,0,0,0,0,"Got a non-integer output from the model for 耳: The character ""耳"" is used twice in the provided text, but in neither instance is it functioning as a final particle at the end of a declarative sentence.

1.  **[0571b26] 約利約耳**：Here ""耳"" is part of the phrase ""約耳"" (to restrain one's ears or senses), not a final particle. It appears in the middle of a line within a verse.
2.  **[0571c29] 端目、耳、鼻、口**：Here ""耳"" is a noun meaning ""ear,"" part of a list of body parts, not a final particle. It also appears in the middle of a line.

Therefore, the character ""耳"" is not used as a final particle at the end of declarative sentences in the given text.

0
",Should be 0
維摩詰經,T 474 (1),16634,False,True,False,False,29,24,5,52,3,3,52,,
維摩詰經,T 474 (2),17041,False,False,False,False,11,8,9,45,5,4,40,"Got a non-integer output from the model for 耶: The character '耶' appears 5 times in the provided text. All occurrences are at the end of yes or no questions. There are no instances where '耶' appears as a final particle at the end of declarative sentences in this text.

Here are the specific instances:
1.  0529c13: `能舉夜光寶耶？`
2.  0528c05: `止此久耶？`
3.  0533b13: `彼以佛事作此飯耶？`
4.  0534c18: `化自然相，非諸法耶？`
5.  0534c25: `行冥中為樂冥耶？`

5
",Should be 5
大般泥洹經,T 6,27175,False,True,False,False,22,21,12,61,3,8,60,"Got a non-integer output from the model for 耶: The character '耶' appears 3 times at the end of yes or no questions in the given text:

1.  **[0183c13]** 「時臥耶？」 (Were you sleeping?) - This is a direct yes/no question asked by someone to the monk.
2.  **[0183c26]** 「時臥耶？」 (Were you sleeping?) - This is the Buddha recounting the same question asked by someone to him. Although it's a nested quote, the character '耶' still functions as a final particle for a yes/no question within the text.
3.  **[0185b09]** 「獨是天知佛當滅度耶？」 (Do only the heavens know that the Buddha is about to enter nirvana?) - This is a direct yes/no question asked by Ananda to the Buddha.

There are no instances where '耶' appears as a final particle at the end of a declarative sentence in this text.

Therefore, the total count is 3.
",Should be 3
道地經中要語章,T 608,2245,False,False,False,False,0,1,1,0,1,0,0,,
梵志頗波羅延問尊種經,T 71,4143,False,True,False,False,0,3,8,6,3,7,5,,
颰披陀菩薩經,T 419,7676,False,True,False,False,1,1,9,2,1,6,2,,
魔王入目犍蘭腹經,T 66,4480,False,True,False,False,0,0,0,2,0,0,0,,
河中大聚沫經,T 106,1110,False,True,False,False,0,0,0,1,0,0,1,,
聞城譬經,T 713,2680,False,True,False,False,0,0,0,1,0,0,1,,
自守亦不自守經,T 107,403,False,True,False,False,0,0,1,0,0,0,0,,
聽施比丘經,T 504,1781,False,True,False,False,8,0,1,0,0,0,0,,
善馬有三相經,T 114,409,False,True,False,False,0,0,0,0,0,0,0,,
馬有八弊惡態經,T 115,578,False,True,False,False,0,0,1,0,0,0,0,,
彌連經,T 152(39),1186,False,True,False,False,0,0,3,1,0,2,1,,
阿鳩留經,T 529,2025,False,True,False,False,0,5,3,5,5,2,4,,
栴檀樹經,T 805,1511,False,True,False,False,1,1,1,3,0,1,2,,
修行本起經,T 184,19703,False,True,False,False,6,4,9,39,2,4,32,,
菩薩道樹經,T 532,7081,False,True,False,False,4,0,3,1,0,0,0,,
八念經,T 46,2135,False,True,False,False,0,0,2,0,0,0,0,,
禪行三十七品經,T 604,1365,False,True,False,False,0,0,0,0,0,0,0,,
諸法本經,T 59,445,False,True,False,False,0,0,0,0,0,0,0,,
申日經,T 535,3195,False,True,False,False,0,3,5,1,1,5,1,,
月光童子經,T 534,4714,False,True,False,False,10,0,1,2,0,1,1,,
梵志孫陀耶致經,T 582,1470,False,True,False,False,0,4,2,2,1,2,2,,
枯樹經,T 806,486,False,False,False,False,0,0,0,2,0,0,2,,
法律三昧經,T 631,4859,False,True,False,False,5,1,6,7,1,4,7,,
三十二相經,T 26 (59),2189,False,True,True,False,0,1,1,0,1,0,0,,
演道俗經,T 820,6219,False,True,False,False,1,1,1,2,1,0,1,,
黑氏梵志經,T 583,2147,False,True,False,False,0,1,0,0,1,0,0,,
大愛道般泥洹經,T 144,3879,False,True,False,False,0,48,0,3,2,0,3,"Got a non-integer output from the model for 耶: The character '耶' appears 5 times in the text. Let's analyze each instance:

1.  **[0867b14] 摩訶卑耶和題俱曇彌，持精進種般泥洹耶**
    *   Context: Buddha is asking Ananda: ""Do you think Mahāprajāpatī Gautamī will attain nirvana by means of the vigor (精進種)?"" This is a yes/no question. **Counts.**

2.  **[0867b16] 汝恐摩訶卑耶和題俱曇彌，持是法去耶？**
    *   Context: Buddha continues to ask Ananda: ""Are you afraid that Mahāprajāpatī Gautamī will take these dharmas with her?"" This is a yes/no question. **Counts.**

3.  **[0868a29] 賢者來入國一何早耶？**
    *   Context: Yadha Karava asks Ananda: ""Why (or how early) did the venerable one come to the country so early?"" This is an information-seeking question (asking for the reason/time), not a yes/no question. Does not count.

4.  **[0869a01] 誰當復教誡我人者耶？**
    *   Context: Six Samaneras ask: ""Who will discipline us again?"" This is an information-seeking question (asking ""who""), not a yes/no question. Does not count.

5.  **[0869a02] 當持衣鉢隨誰後耶？**
    *   Context: Six Samaneras ask: ""Whose instruction should we follow, holding our robes and bowls?"" This is an information-seeking question (asking ""whose""), not a yes/no question. Does not count.

There are no instances where '耶' appears as a final particle at the end of declarative sentences.

Therefore, the character '耶' appears 2 times at the end of yes or no questions.

2
", Should be 2
頗多和多耆經,T 740,773,False,True,False,False,0,1,0,1,0,0,1,,
五母子經,T 555,1226,False,False,False,False,1,0,7,1,0,5,1,,
無垢賢經,T 562,1866,False,True,False,False,2,1,3,3,0,1,2,,
八關齋經,T 89,818,False,True,False,False,0,1,0,0,0,0,0,,
逝經,T 528,2199,False,False,False,False,0,0,3,4,0,3,4,,
生死變化經,T 796,4886,False,True,False,False,0,0,1,31,0,1,30,,
文陀竭王經,T 40,1714,False,True,False,False,0,7,3,4,2,3,4,,
耶祇經,T 542,1162,False,True,False,False,0,16,0,0,0,0,0,,
五福德經,T 777,648,False,True,False,False,0,0,0,1,0,0,1,,
末羅王經,T 517,998,False,True,False,False,0,0,0,1,0,0,1,,
長者音悅經,T 531,3002,False,True,False,False,3,1,0,0,0,0,0,,
梵皇經,T 152 (91),594,False,True,False,False,0,0,0,0,0,0,0,,
僧大經,T 541,4127,False,False,False,False,2,0,7,13,0,7,7,,
法常住經,T 819,756,False,True,False,False,0,0,1,0,0,0,0,,
大小諫王經,T 514,1982,True,False,False,False,1,0,3,1,0,1,1,,
波耶匿王經,T 122,1569,False,True,False,False,0,0,1,0,0,1,0,,
旃陀越國王經,T 518,1755,False,True,False,False,0,2,2,7,0,2,6,,
迦葉戒經,T 1469,1574,False,True,False,False,0,1,0,0,1,0,0,,
摩達王經,T 519,737,False,True,False,False,0,1,1,1,0,1,1,,
五恐怖世經,T 1481,752,False,True,False,False,0,0,0,0,0,0,0,,
進學經,T 798,493,False,True,False,False,0,0,0,0,0,0,0,,
四飯法經,T 521,752,False,True,False,False,0,0,1,0,0,1,0,,
十二死經,T 753,529,False,True,False,False,0,0,0,12,0,0,12,,
五無反復經,T 751a,1646,False,True,False,False,0,1,0,0,0,0,0,,
治身經,T 795,746,False,False,False,False,0,0,0,0,0,0,0,,
治意經,T 96,499,False,False,False,False,0,0,0,0,0,0,0,,
十善十惡經,T 729,11024,False,False,False,False,1,0,2,13,0,1,16,,
兜調經,T 78,2129,False,True,False,False,0,1,2,1,0,1,1,,
十夢經,T 147,1375,False,True,False,False,0,0,13,2,0,13,2,,
長者辯意經,T 544,5624,False,True,False,False,5,0,0,1,0,0,1,,
長者須達經,T 73,1608,False,True,False,False,0,1,0,0,1,0,0,,
孝子報恩經,T 687,1128,False,False,False,False,0,0,2,0,0,1,0,,
孝子睒經,T 174,3659,False,True,False,False,0,2,3,6,0,3,6,,
自愛不自愛經,T 742,2956,False,True,False,False,9,0,0,16,0,0,13,,
長壽王經,T 161,3269,False,True,False,False,0,1,6,18,0,6,10,,
薩和檀王經,T 152 (13),1259,False,False,False,False,1,1,3,1,1,3,1,,
未生怨經,T 507,1971,False,True,False,False,5,0,2,7,0,2,7,,
須摩提女經,T 128a,3418,False,True,False,False,0,0,1,1,0,1,1,,
賢首夫人經,T 570,1760,False,True,False,False,4,0,0,1,0,0,1,,
玉耶女經,T 142,1715,False,True,False,False,1,22,0,1,0,0,1,,
新歲經,T 62,3410,False,True,False,False,0,0,0,0,0,0,0,,
阿難八夢經,T 494,673,False,False,False,False,0,0,0,1,0,0,1,,
九色鹿經,T 181a,1480,False,False,False,False,0,1,2,2,0,1,2,,
五苦章句經,T 741,8071,False,False,False,False,0,0,7,13,0,3,13,,
佛滅度後棺歛葬送經,T 392,1996,False,True,False,False,5,1,1,5,0,1,5,,
婦遇對經,T 571,1027,False,True,False,False,0,0,0,0,0,0,0,,
羅芸忍辱經,T 500,1646,False,True,False,False,0,0,1,5,0,1,5,,
蜜蜂王經,T 152 (64),1077,False,True,False,False,0,0,1,2,0,1,2,,
呵調阿那含經,T 538,1066,False,True,False,False,4,1,2,0,0,2,0,,
戒德香經,T 116,923,False,True,False,False,2,0,0,0,0,0,0,,
鬼子母經,T 1262,5544,False,False,False,False,0,1,0,0,0,0,0,,
內外六波羅蜜經,T 778,1798,False,False,False,False,0,0,4,1,0,0,15,,
弗迦沙王經,T 511,4031,False,True,False,False,0,1,12,1,1,5,1,,
七車經,T 26 (9),3511,False,True,True,False,4,19,0,11,13,0,11,"Got a non-integer output from the model for 耶: The goal is to count occurrences of the character '耶' that meet one of two conditions:
1.  It appears at the end of a yes/no question.
2.  It appears as a final particle at the end of a declarative sentence.

Let's go through the text and identify each instance of '耶' and evaluate it against these conditions. We will consider a ""sentence"" as a complete thought unit, even if modern punctuation is not present in the original text, and ""at the end of"" means '耶' is the final character of that unit.

1.  **[0430b10] 時，尊者舍梨子問餘比丘：「諸賢！何者是賢者滿慈子耶？」**
    *   This is a question, but not a yes/no question (""何者"" means ""who""). It asks for specific information, not a ""yes"" or ""no"" answer.
    *   *Does not count.*

2.  **[0430b26] 則問尊者滿慈子曰：「賢者！從沙門瞿曇修梵行耶？」**
    *   This is a direct question asking for a yes/no answer: ""Do you cultivate pure conduct with 沙門瞿曇?"" (The answer given is ""如是"" - Yes).
    *   *Counts (1).*

3.  **[0430b27] 答曰：「如是。」「云何？賢者！以戒淨故，從沙門瞿曇修梵行耶？」**
    *   This is a direct question asking for a yes/no answer: ""Is it because of pure precepts that you cultivate pure conduct with 沙門瞿曇?"" (The answer given is ""不也"" - No).
    *   *Counts (2).*

4.  **[0430b29] 「以心淨故、以見淨故、以疑蓋淨故、以道非道知見淨故、以道跡知見淨故、以道跡斷智淨故，從沙門瞿曇修梵行耶？」**
    *   This is a direct question asking for a yes/no answer: ""Is it because of pure mind... that you cultivate pure conduct with 沙門瞿曇?"" (The answer given is ""不也"" - No).
    *   *Counts (3).*

5.  **[0430c03] 又復問曰：「我向問賢者從沙門瞿曇修梵行耶？則言如是。**
    *   Here, '耶' is at the end of ""我向問賢者從沙門瞿曇修梵行耶"". This phrase, in itself, is a yes/no question (""Did I previously ask if you cultivate pure conduct with 沙門瞿曇?""). The entire quoted statement is the speaker reflecting on a past question and its answer. While it's part of a larger declarative context (""又復問曰...則言如是""), the segment ending in '耶' functions as a yes/no question.
    *   *Counts (4).*

6.  **[0430c04] 今問賢者以戒淨故從沙門瞿曇修梵行耶？便言不也。**
    *   This is a direct question asking for a yes/no answer: ""Now I ask if it's because of pure precepts that you cultivate pure conduct with 沙門瞿曇?"" (The answer given is ""不也"" - No).
    *   *Counts (5).*

7.  **[0430c06] 以心淨故、以見淨故、以疑蓋淨故、以道非道知見淨故、以道跡知見淨故、以道跡斷智淨故，從沙門瞿曇修梵行耶？便言不也。**
    *   This is a direct question asking for a yes/no answer: ""Is it because of pure mind... that you cultivate pure conduct with 沙門瞿曇?"" (The answer given is ""不也"" - No).
    *   *Counts (6).*

8.  **[0430c10] 又復問曰：「云何？賢者！以戒淨故，沙門瞿曇施設無餘涅槃耶？」**
    *   This is a direct question asking for a yes/no answer: ""Is it because of pure precepts that 沙門瞿曇 establishes complete Nirvāna?"" (The answer given is ""不也"" - No).
    *   *Counts (7).*

9.  **[0430c12] 「以心淨故、以見淨故、以疑蓋淨故、以道非道知見淨故、以道跡知見淨故、以道跡斷智淨故，沙門瞿曇施設無餘涅槃耶？」**
    *   This is a direct question asking for a yes/no answer: ""Is it because of pure mind... that 沙門瞿曇 establishes complete Nirvāna?"" (The answer given is ""不也"" - No).
    *   *Counts (8).*

10. **[0430c15] 又復問曰：「我向問仁，云何賢者以戒淨故，沙門瞿曇施設無餘涅槃耶？賢者言不。**
    *   Similar to instance 5, '耶' is at the end of ""云何賢者以戒淨故，沙門瞿曇施設無餘涅槃耶"". This phrase is a yes/no question (""Did I previously ask if it's because of pure precepts that 沙門瞿曇 establishes complete Nirvāna?""). It is part of a larger declarative context describing a past exchange.
    *   *Counts (9).*

11. **[0430c18] 以心淨故、以見淨故、以疑蓋淨故、以道非道知見淨故、以道跡知見淨故、以道跡斷智淨故，沙門瞿曇施設無餘涅槃耶？賢者言不。**
    *   Similar to instance 5 and 10, '耶' is at the end of ""以心淨故...沙門瞿曇施設無餘涅槃耶"". This phrase is a yes/no question, part of a larger declarative context.
    *   *Counts (10).*

12. **[0431a16] 「云何，天王！以一日行從舍衛國至婆雞帝耶？」**
    *   This is a direct question asking for a yes/no answer: ""Did you travel from Sāvatthī to Bhadrakā in one day?"" (The answer given is ""如是"" - Yes).
    *   *Counts (11).*

13. **[0431a17] 「云何天王，乘第一車一日從舍衛國至婆雞帝耶？」**
    *   This is a direct question asking for a yes/no answer: ""Did you travel... by the first chariot...?"" (The answer given is ""不也"" - No).
    *   *Counts (12).*

14. **[0431a18] 「乘第二車乘第三車至第七車，從舍衛國至婆雞帝耶？」**
    *   This is a direct question asking for a yes/no answer: ""Did you travel... by the second, third, until the seventh chariot...?"" (The answer given is ""不也"" - No).
    *   *Counts (13).*

15. **[0431b10] 於是，尊者舍梨子問尊者滿慈子：「賢者名何等？諸梵行人云何稱賢者耶？」**
    *   This is a question, but not a yes/no question (""云何稱"" means ""how do they call""). It asks for specific information.
    *   *Does not count.*

No instances were found where '耶' acts as a final particle at the end of a declarative sentence. All counted instances are at the end of yes/no questions.

Total count: 13

13
", Should be 13
阿拔經,T 20,8554,False,True,False,False,1,8,11,15,5,6,11,"Got a non-integer output from the model for 也: The character ""也"" is used as a final particle at the end of declarative sentences 11 times in the provided text.
", Should be 11
堅心經,T 733,963,False,True,False,False,0,0,1,1,0,0,1,,
太子和休經,T 344,1938,False,False,False,False,0,4,2,0,0,0,0,"Got a non-integer output from the model for 耶: The character '耶' appears 3 times in the provided text:

1.  `[0155b06] 佛所語皆使人聞者皆歡喜耶？`
2.  `[0155b25] 何因緣得尊者豪貴耶？`
3.  `[0155c02] 何因緣得知世間生死所趣善惡耶？`

All three occurrences are at the end of questions that begin with `何因緣` (what cause/reason, why).

Let's evaluate these occurrences against the given criteria:

1.  **""at end of yes or no questions""**: A yes or no question is one that can be answered simply with ""yes"" or ""no"". Questions asking ""why"" (何因緣) require an explanation, not a simple yes or no. Therefore, these are not yes or no questions.

2.  **""or as a final particle at the end of declarative sentences""**: A declarative sentence makes a statement or expresses a fact. All instances of '耶' in this text are in interrogative sentences (questions), not declarative sentences.

Since none of the occurrences of '耶' meet either of the specified conditions, the count is 0.

0
", Should be 0
分陀利經,T 265,2129,False,True,False,False,2,1,0,1,0,0,1,"Got a non-integer output from the model for 也: The character ""也"" is used as a final particle at the end of declarative sentences. Let's examine the text for occurrences of ""也"" and its function:

1.  **[0197b13] 佛言：「是時，王者，我身是也；**
    *   Here, ""也"" appears at the end of the clause ""我身是"". This clause is a declarative statement meaning ""it was my body"" or ""it was me"". The ""也"" functions as a final particle, confirming the statement. Although it's followed by a semicolon, in Classical Chinese, ""也"" frequently marks the end of a declarative clause or complete thought unit, even if that unit is part of a larger sentence structure separated by a semicolon or comma. Thus, this instance fits the criteria.

I have carefully scanned the entire text, and this is the only instance of the character ""也"" being used.

Therefore, the character ""也"" is used 1 time as a final particle at the end of declarative sentences.

1
", Should be 1
無悕望經,T 813,13023,False,True,False,False,16,5,1,11,0,1,5,"Got a non-integer output from the model for 也: The character ""也"" used as a final particle at the end of declarative sentences appears 5 times in the given text.

Here are the instances:
1.  [0776b05] 亦復不歸多願妄想菩薩之手**也**。」
2.  [0778b26] 舍利弗白佛：「無**也**。
3.  [0778c01] 誠如所云在世眾祐**也**。
4.  [0778c17] 具虛無慧**也**。」
5.  [0779a13] 不想出家為沙門**也**。」
", Should be 5
胎中女經,T 563,13143,True,True,False,False,0,1,0,7,1,0,1,,
普達王經,T 522,2194,False,True,False,False,0,0,0,0,0,0,0,,
長者威勢經,T 330,3934,False,True,False,False,5,4,0,2,2,0,2,,
鹹水喻經,T 29,950,False,True,False,False,0,0,0,0,0,0,0,,
彌勒當來生經,T 457,1442,False,False,False,False,0,1,0,0,1,0,0,,
