CSZJJ,Taisho No.,prefix_a,prefix_lao,suffix_er,reduplicated_nouns,pronoun_qu,personal_pronoun_ta,personal_pronoun_yi,verb_dao,pronoun_zhe,notes,error
九橫經,T 150B,False,False,False,False,False,False,False,False,False,,
八正道經,T 112,False,False,False,False,False,False,False,False,False,"This early translation from the Later Han Dynasty by An Shigao exhibits very few vernacular elements. The prefix 阿 ā, prefix 老 lǎo, suffix 兒 ér, reduplicated nouns, pronoun 渠 qú, personal pronoun 伊 yī, verb 道 dào (meaning 'to say'), and pronoun 這 zhè are all absent. While the character 他 tā appears in '他人' (other people), it is not used as a singular third-person personal pronoun 'he/she' in a vernacular sense.",
五十校計經,T 397 (13),False,False,False,False,False,False,False,False,False,,
大安般經,T 602,False,False,False,False,False,False,False,True,False,,
五陰喻經,T 105,False,False,False,False,False,False,False,False,False,"The text does not contain the prefix 阿 (ā) used as a personal prefix, the prefix 老 (lǎo), the suffix 兒 (ér), reduplicated nouns, the pronoun 渠 (qú), the personal pronoun 他 (tā), the personal pronoun 伊 (yī), the verb 道 (dào) meaning 'to say', or the pronoun 這 (zhè). This suggests a highly classical and archaic Chinese style, consistent with early Buddhist translations from the Later Han dynasty.",
轉法輪經,T 109,False,False,False,False,False,False,False,False,False,,
流攝經,T 31,False,False,False,True,False,False,False,False,False,"The text does not use the prefix 阿 ā, the prefix 老 lǎo, the suffix 兒 ér, the second-person pronoun 渠 qú, the personal pronoun 他 tā, the personal pronoun 伊 yī, or the pronoun 這 zhè. The verb ‘to say’ is consistently expressed using 說 (shuō) or 告 (gào), not 道 (dào). The only identified vernacular element is the use of a reduplicated noun in the phrase ""彼彼處處"" (bǐ bǐ chù chù) meaning ""everywhere"" or ""here and there.""",
是法非法經,T 48,False,False,False,False,False,False,False,False,False,"The text does not exhibit the requested vernacular elements. It consistently uses '說' for 'to say' and '是' for 'this' or 'these', rather than '道' and '這' respectively. The prefixes 阿 and 老, the suffix 兒, reduplicated nouns, and the personal pronouns 渠, 他, 伊 are also absent.",
法受塵經,T 792,False,False,False,False,False,False,False,False,False,"The text, ""佛說法受塵經,"" translated by An Shigao in the Later Han dynasty, exhibits a classical and formal style. It does not contain any of the specified vernacular elements such as the prefixes 阿 (ā) or 老 (lǎo), the suffix 兒 (ér), reduplicated nouns, the pronouns 渠 (qú), 他 (tā), or 伊 (yī), the verb 道 (dào) meaning 'to say,' or the demonstrative pronoun 這 (zhè). Instead, it employs classical structures and vocabulary like '吾' for 'I' and '是' as a demonstrative pronoun, as seen in ""當覺知是"". This aligns with its early translation period in Chinese Buddhism, predating the widespread integration of more colloquial elements into Buddhist scripture translations.",
本相猗致經,T 36,False,False,False,False,False,False,False,False,False,,
阿鋡口解,T 1508,False,False,False,False,False,False,False,False,False,,
禪行法想經,T 605,False,False,False,False,False,False,False,False,False,"The text is an early Chinese Buddhist translation from the Later Han dynasty by An Shigao. This specific passage demonstrates a highly classical style and does not contain any of the requested vernacular elements such as the prefix 阿 (ā), prefix 老 (lǎo), suffix 兒 (ér), reduplicated nouns, the pronoun 渠 (qú), the personal pronoun 他 (tā), the personal pronoun 伊 (yī), the verb 道 (dào) meaning 'to say', or the pronoun 這 (zhè).",
般若道行品經,T 224 (1),False,False,True,True,False,False,False,False,False,"Prefix 阿 ā: Not found as a non-transliteration prefix. Words like 阿羅漢, 阿惟越致, and 阿僧祇 are transliterations of Sanskrit/Prakrit terms. Prefix 老 lǎo: Not found. Suffix 兒 ér: Found in ""小兒學"" (xiǎo'ér xué), where 兒 functions as a diminutive suffix in a common vernacular term. Reduplicated nouns: Found ""人復人所"" (rén fù rén suǒ), which indicates reduplication of the noun ""人"" (rén, person/people). Pronoun 渠 qú: Not found. Personal pronoun 他 tā: Not found. The text uses ""其"" (qí) for third-person possessive or object. Personal pronoun 伊 yī: Not found. Verb ‘to say’ 道 dào: Not found as a verb meaning 'to say'. The character 道 is consistently used to mean 'path' or 'way' (e.g., 佛道, 菩薩道). Other verbs like 謂, 語, 白, and 言 are used for 'to say'. Pronoun ‘this’ 這 zhè: Not found. The demonstrative pronoun ""是"" (shì) is used instead (e.g., ""是語"", ""是時"").",
般若道行品經,T 224 (2),False,False,False,True,False,False,False,False,False,"The character 阿 (ā) appears, but exclusively as part of transliterated Buddhist terms or names (e.g., 阿羅呵, 阿難, 阿須倫, 阿惟越致, 阿僧祇劫, 阿那含, 阿羅漢, 阿迦貳吒天, 阿陀波天). It is not used as a vernacular prefix. The prefix 老 (lǎo) is not found in the text. The suffix 兒 (ér) is not found in the text. Reduplicated nouns are present, such as ""葉葉"" (yèyè), ""華華"" (huāhuā), ""實實"" (shíshí) (0436b12), and ""人人"" (rénrén) (0433a07). The second-person pronoun 渠 (qú) is not found in the text. The personal pronoun 他 (tā) is not used as a standalone third-person pronoun 'he/she'. It appears only as part of the compound ""他人"" (tārén, other people). The personal pronoun 伊 (yī) is not found in the text. The verb 道 (dào) meaning 'to say' is not found. The text predominantly uses 言 (yán), 語 (yǔ), and 白 (bái) for reporting speech. The pronoun 這 (zhè) is not found in the text. The demonstrative pronoun 是 (shì) is used instead, which is more classical.",
般若道行品經,T 224 (3),False,False,False,True,False,False,False,False,False,"The text, an early translation (Later Han Dynasty), exhibits very few vernacular elements. The prefix 阿 is exclusively used in transliterated Sanskrit terms (e.g., 阿僧祇, 阿耨多羅). Neither prefix 老 nor suffix 兒 is present. Reduplicated nouns are present in the form of ""一一剎土"". Vernacular pronouns like 渠, 他, and 伊 are absent. The verb 'to say' is consistently rendered with '謂', '語', '言', '白佛言', or '問佛', but never '道'. The pronoun 'this' 這 is also absent. This suggests a relatively early and formal translation style, preceding the widespread adoption of many later vernacular features in Buddhist texts.",
般若道行品經,T 224 (4),False,False,False,True,False,False,False,False,False,"The text uses the reduplicated noun ""心心"" (xīn xīn) in ""心心展轉相明"". However, it does not use the prefix 阿 (ā) other than in transliterated terms like ""阿耨多羅三耶三菩"" and ""阿羅漢"", nor does it use the prefix 老 (lǎo), the suffix 兒 (ér), the second-person pronoun 渠 (qú), the personal pronouns 他 (tā) or 伊 (yī), the verb 道 (dào) to mean 'to say' (instead using 語 yǔ or 言 yán), or the pronoun 這 (zhè).",
般若道行品經,T 224 (5),False,False,False,False,False,False,False,False,False,"The text, an early Buddhist translation by Lokakṣema, exhibits a highly classical style and largely lacks the specified vernacular elements. The prefix 阿 (ā) is used exclusively in transliterations (e.g., 阿羅漢, 阿耨多羅三耶三菩). The prefix 老 (lǎo) appears as an adjective describing age ('老極身體不安' - extremely old) but not as a personal prefix. The suffix 兒 (ér) is not present. Reduplicated nouns are absent; phrases like '一一生子' and '數數轉' use reduplicated numerals or adverbs, not nouns. The second-person pronoun 渠 (qú) and the personal pronoun 伊 (yī) are not found. The personal pronoun 他 (tā) is used with the meaning 'other' (e.g., '他方佛剎', '他人語') and not as 'he/she'. The verb 'to say' is consistently rendered with 言 (yán), 語 (yǔ), 白 (bái), or 說 (shuō), and not with 道 (dào). The pronoun 這 (zhè) is absent; the text uses 是 (shì) for 'this/that'.",
般若道行品經,T 224 (6),False,False,False,False,False,False,False,False,False,,
般若道行品經,T 224 (7),False,False,False,False,False,False,False,True,False,"The text does not use the prefix 阿 (ā) other than in transliterated terms (e.g., 阿羅漢, 阿耨多羅三耶三菩). The prefixes 老 (lǎo) and the suffix 兒 (ér) are absent. No clear instances of reduplicated nouns were found; however, adverbial/distributive reduplications like 各各 (gè gè) and 稍稍 (shāo shāo) are present. The second-person pronoun 渠 (qú) and the personal pronouns 他 (tā) and 伊 (yī) are not used. The verb 道 (dào) meaning 'to say' appears in phrases such as '魔語言道' (0461a20) and '我所道' (0461b13). The pronoun 這 (zhè) is absent, with 是 (shì) serving as the demonstrative pronoun instead.",
般若道行品經,T 224 (8),False,False,False,True,False,False,False,False,False,"The text, an early Chinese Buddhist translation, exhibits few vernacular elements. It consistently uses classical forms for expressing dialogue, such as '白佛言' and '佛語X言', rather than the vernacular verb '道 dào'. Vernacular personal pronouns like 他 (tā) and 伊 (yī) are absent, as is the demonstrative pronoun 這 (zhè) and the prefixes 阿 (ā) (阿 only appears as part of transliterated terms like '阿難' and '阿羅漢') and 老 (lǎo). However, it does contain reduplicated words such as '各各' and '世世', which are a recognized feature of early vernacular Chinese.",
般若道行品經,T 224 (9),False,False,False,True,False,False,False,False,False,"The text exhibits few overt vernacular elements from the provided list. The prefix 阿 (ā) is used exclusively in transliterations (e.g., 阿難, 阿閦佛). The prefixes 老 (lǎo) and suffixes 兒 (ér) are absent. The pronoun 渠 (qú) and personal pronoun 伊 (yī) are not found. The personal pronoun 他 (tā) is used only in the sense of 'other' (他方, 他所), not as 'he/she'. The verb 道 (dào) meaning 'to say' is not present; instead, '語' (yǔ) and '言' (yán) are used for reporting speech. The pronoun 這 (zhè) is also absent. The only identified vernacular element is the reduplicated noun 日日 (rìrì), used adverbially (daily/every day), which is characteristic of early vernacular Chinese.",
般若道行品經,T 224 (10),False,False,False,True,False,False,False,False,False,"The text does not use the prefix 阿 (ā) outside of transliterated Buddhist terms, nor does it employ the prefix 老 (lǎo) or the suffix 兒 (ér). The pronouns 渠 (qú), 他 (tā) as 'he/she', and 伊 (yī) are not present. The verb 'to say' is consistently rendered as 言 (yán) or 語 (yǔ), not 道 (dào), and the pronoun 'this' is rendered as 是 (shì) rather than 這 (zhè). However, the text does feature a reduplicated noun, 處處 (chùchù), meaning 'in various places' (0474c05).",
般舟般三昧經,T 418 (1),False,False,False,False,False,False,False,False,False,"The text, an early Han dynasty translation, exhibits very few vernacular elements. The prefix 阿 ā is used exclusively as part of transliterated Buddhist terms or proper names (e.g., 阿羅漢, 阿難, 阿彌陀佛). The prefixes 老 lǎo and the suffix 兒 ér are not found. Reduplicated nouns are absent, though reduplicated adverbs like '各各' and '數數' appear. The second-person pronoun 渠 qú, and the personal pronouns 他 tā and 伊 yī, are not used; the text relies on implicit subjects or uses 若 ruò for 'you/your'. The verb ‘to say’ 道 dào is not used; instead, 言 yán and 告 gào are consistently employed. The pronoun ‘this’ 這 zhè is not used, with 是 shì serving this function. Overall, the translation retains a classical, formal style typical of early Chinese Buddhist literature.",
般舟般三昧經,T 418 (2),False,False,False,False,False,False,False,False,False,,
般舟般三昧經,T 418 (3),False,False,False,False,False,False,False,False,False,,
伅真陀羅經,T 624 (1),False,False,False,False,False,False,False,False,False,,
伅真陀羅經,T 624 (2),False,False,False,True,False,False,False,False,False,"The text uses the reduplicated noun ""世世"" (generation after generation, for instance at 0356b27, 0356b28, 0357c31). It does not use the prefix 阿 (ā) as a common vernacular prefix (only in transliterations like 阿耨多羅, 阿須倫), the prefix 老 (lǎo), the suffix 兒 (ér), the second-person pronoun 渠 (qú), the personal pronoun 他 (tā) (only '他人' as 'other people'), the personal pronoun 伊 (yī), the verb 道 (dào) to mean 'to say' (instead using 說, 言, 告, 語), or the pronoun 這 (zhè).",
伅真陀羅經,T 624 (3),False,False,False,True,False,False,False,False,False,"The prefix 阿 (ā) is used, but exclusively as part of transliterated Buddhist terms (e.g., 阿耨多羅, 阿難), not as a vernacular prefix. The prefix 老 (lǎo) appears as a noun meaning 'old' or 'elderly' in a simile, not as a vernacular prefix. The suffix 兒 (ér) is absent. Reduplicated nouns are present, for example, '中間中間' (occasionally, from time to time). The second-person pronoun 渠 (qú), the personal pronoun 他 (tā), and the personal pronoun 伊 (yī) are all absent. The verb 'to say' 道 (dào) is not used; instead, 言, 說, 語, 謂, and 白 are employed. The pronoun 'this' 這 (zhè) is also absent, with 是 (shì) being used in its place.",
方等部古品曰遺日說般若經,T 350,False,False,False,True,False,False,False,False,False,"The text is an early Chinese Buddhist translation from the Later Han dynasty (Lokakṣema), showing a style that leans heavily towards classical Chinese. The prefix 阿 (ā) is present, but only as part of transliterated Buddhist terms like 阿難 (Ānán) and 阿羅漢 (Āluóhàn), not as a general vernacular prefix. Neither the prefix 老 (lǎo) nor the suffix 兒 (ér) are found. Reduplicated nouns are present, specifically '世世' (shìshì), meaning 'generation after generation' or 'life after life', which, while having classical precedents, is also a feature that became more common in vernacular Chinese. The second-person pronoun 渠 (qú) is not used. The personal pronoun 他 (tā) is not used as a standalone 'he/she', appearing only in the compound '他人' (tārén, other people). The personal pronoun 伊 (yī) is absent. The verb 'to say' 道 (dào) is not used; instead, the text consistently uses verbs such as 言 (yán), 語 (yǔ), 報言 (bàoyán), and 說曰 (shuō yuē). The pronoun 'this' 這 (zhè) is not found.",
阿闍世王經,T 626 (1),False,False,False,True,False,False,False,True,False,"The text displays some vernacular elements. The reduplicated noun '事事' (each and every matter/thing) is found, and the verb '道' is used in the sense of 'to say' (e.g., '聲道'). However, other common vernacular features such as the prefix '阿' (outside of transliterations), the prefix '老', the suffix '兒' (only appears as the noun 'child'), the personal pronoun '他' (only appears in '他人'), the pronoun '伊', and the demonstrative pronoun '這' are not present in their vernacular forms. This indicates a limited integration of contemporary colloquialisms within an otherwise classical Buddhist translation style.",
阿闍世王經,T 626 (2),False,False,False,False,False,False,False,False,False,,
問署經,T 458,False,False,False,False,False,True,False,False,True,"The prefix 阿 (ā) is not used in a vernacular sense; all occurrences are within transliterated Buddhist terms or names. The prefix 老 (lǎo) is not present in the text. The suffix 兒 (ér) is not present in the text. There are no instances of reduplicated nouns in the provided text. Reduplicated adverbs/adjectives like '少少' and '數數' or repeated exclamations/verbs like '善哉！善哉！' and '諦聽！諦聽！' are present, but these are not nouns. The pronoun 渠 (qú) is not present in the text. The character 他 (tā) appears in the compound '他人' (tārén, other people), which is a vernacular element, even if not a standalone singular pronoun for 'he/she'. The personal pronoun 伊 (yī) is not present in the text. The verb 道 (dào) meaning 'to say' is not used in the text. The text primarily uses 言 (yán) and 語 (yǔ) for 'to say'. The pronoun 這 (zhè) is used in the phrases '這有是念' and '這作是念', serving as a demonstrative pronoun.",
兜沙經,T 280,True,False,False,False,False,False,False,False,False,"The text exhibits very few vernacular elements typically found in later Chinese Buddhist translations. The particle '阿' appears as an interjection (e.g., '阿。彼聞所有' at 0445a22), distinct from its use in transliterated names. No instances of the prefixes '老', suffix '兒', reduplicated nouns, the second-person pronoun '渠', personal pronouns '他' or '伊', the verb '道' meaning 'to say', or the pronoun '這' were found. The language style is largely formal and classical, characteristic of early translation efforts by figures like Zhi Loujiachen, relying on classical Chinese vocabulary and structures rather than contemporary spoken forms.",
阿閦佛國經,T 313 (1),False,False,False,True,False,False,False,False,True,"The text does not use the prefix 阿 ā (outside of transliterated names like 阿閦 or 阿難), nor the prefix 老 lǎo, nor the suffix 兒 ér. It also does not use the pronouns 渠 qú, 他 tā, or 伊 yī, nor the verb 道 dào in the sense of 'to say'. However, it does feature reduplicated nouns/adverbs like '世世', '善哉善哉', '佛佛剎', and '家家', and uses the pronoun 這 zhè (e.g., '這舉足', '這舉頭'). These are clear indicators of vernacular influence.",
阿閦佛國經,T 313 (2),False,False,False,False,False,False,False,False,True,"The text, an early Chinese Buddhist translation, exhibits archaic language typical of its period. The prefix 阿 (ā) is used only in transliterations (e.g., 阿閦佛, 阿難). The prefixes 老 (lǎo) and suffixes 兒 (ér) are absent. Reduplicated nouns are not present; while '一一' (yīyī) is a reduplicated numeral used adverbially, it does not fit the category of reduplicated nouns. Neither the second-person pronoun 渠 (qú) nor the personal pronouns 他 (tā) or 伊 (yī) are found. The verb 道 (dào) is consistently used to mean ""path,"" ""way,"" or ""doctrine,"" and not ""to say."" However, the demonstrative pronoun 這 (zhè) appears, notably in phrases such as '是這等耳', indicating a vernacular element.",
內藏百品經,T 807,False,False,False,True,False,False,False,False,False,"The text does not use the prefix 阿 (ā) outside of transliterations, the prefix 老 (lǎo), the suffix 兒 (ér), the second-person pronoun 渠 (qú), the personal pronouns 他 (tā) or 伊 (yī), the verb 道 (dào) to mean 'to say', or the pronoun 這 (zhè). It does, however, use reduplicated nouns, specifically '世世'.",
成具光明經,T 630,False,False,False,True,False,False,False,False,False,"The text, ""佛說成具光明定意經"", is an early Chinese Buddhist translation from the Later Han Dynasty. As expected for texts of this period, it generally adheres to a more classical and formal style of Chinese. The prefix 阿 (ā) is present, but exclusively as part of the transliterated name ""阿難"" (Ānanda), not as a vernacular prefix to common nouns or adjectives. The prefix 老 (lǎo) and the suffix 兒 (ér) are not found. Reduplicated nouns are used, specifically ""人人"" (rénrén, meaning 'everyone' or 'each person'), which is a common vernacular feature. The pronoun 渠 (qú) is absent. The personal pronoun 他 (tā) is not used as a standalone third-person pronoun 'he/she'; it appears in ""他人"" (tārén, 'others') and ""他法"" (tāfǎ, 'other teachings'), where '他' functions as an adjective meaning 'other'. The personal pronoun 伊 (yī) is absent. The verb 'to say' is expressed through various classical forms such as 曰 (yuē), 言 (yán), 語 (yǔ), 告 (gào), 說 (shuō), 白 (bái), 啟 (qǐ), and 謂 (wèi), but not the vernacular verb 道 (dào). The pronoun 'this' 這 (zhè) is not used; instead, the text consistently employs 是 (shì) in constructions like ""是時"" (shì shí, 'at this time') and ""是為"" (shì wèi, 'this is').",
法鏡經,T 322,False,False,False,False,False,False,False,False,False,"The text does not use the prefix 阿 (ā) other than in transliterated names (e.g., 阿難). It does not contain the prefix 老 (lǎo), the suffix 兒 (ér), or reduplicated nouns. Vernacular pronouns such as 渠 (qú), 他 (tā), and 伊 (yī) are absent. The verb 'to say' is expressed using 言 (yán) or 曰 (yuē) rather than 道 (dào). The pronoun 'this' is consistently rendered as 此 (cǐ) instead of 這 (zhè).",
中本起經,T 196 (1),True,False,False,False,False,False,False,False,False,"The text uses the prefix 阿 (ā) in ""阿夷相言"" (0155c13), where 阿夷 refers to a person, indicating a vernacular form of address. The prefix 老 (lǎo) is not used in a vernacular sense; ""長老"" is a formal title. The suffix 兒 (ér) is not found; while 兒 appears in ""此兒"", it functions as a noun for ""child,"" not a suffix. No colloquial reduplicated nouns are present. The second-person pronoun 渠 (qú) is not found. The personal pronoun 他 (tā) is not found. The personal pronoun 伊 (yī) is not found. The verb 道 (dào) meaning ""to say"" is not used; the text primarily employs 曰, 言, 告, 問, 答, 白, 勅, 說, and 陳. The pronoun 這 (zhè) is not found; the text uses 此 or 是 for ""this.""",
中本起經,T 196 (2),False,True,False,True,False,False,False,False,False,"The text does not use the prefix 阿 (ā) outside of transliterated names (e.g., 阿難, 阿耆達). The prefix 老 (lǎo) is used in the term '老母' (lǎomǔ), a colloquial way to refer to an old mother or woman, fitting the vernacular prefix usage for kinship terms. The suffix 兒 (ér) is not used as a diminutive suffix (e.g., 花兒); '兒子' (érzi) is a compound word for 'son'. Reduplicated nouns are present, specifically '事事' (shìshì) in '事事分別' (to explain item by item). The second-person pronoun 渠 (qú) is not found. The personal pronoun 他 (tā) is not used; '他王' (tā wáng) means 'other kings'. The personal pronoun 伊 (yī) is not found. The verb 道 (dào) meaning 'to say' is not found; the text consistently uses 曰, 言, 告, 白, and 說. The pronoun 這 (zhè) is not found; the text consistently uses 此 (cǐ) for 'this'.",
法句經,T 210 (1),False,False,False,False,False,False,False,False,False,,
法句經,T 210 (2),False,False,False,False,False,False,False,True,False,"The text shows minimal vernacular elements.The prefix 阿 (ā) was not found in a vernacular sense; '阿' in '阿抂' (biased) is part of a compound.The prefix 老 (lǎo) was not found as a vernacular prefix; '老' appears in compounds like '老死' (old age and death) and '老安' (peace in old age), and as a noun in '老者' (elderly person).The suffix 兒 (ér) was not found.No reduplicated nouns (e.g., 人人, 處處) were found in the text; '轉轉' was used as an adverbial reduplication, not a noun.The second-person pronoun 渠 (qú) was not found.The personal pronoun 他 (tā) was not found as a singular 'he/she'; '他' was used in '他人' or '他行' meaning 'other people/things'.The personal pronoun 伊 (yī) was not found.The verb 道 (dào) meaning 'to say' or 'to expound' was found in phrases like '道佛神德' (expound the Buddha's divine virtues) and '說經道快' (preach sutras and speak well).The pronoun 這 (zhè) was not found.",
維摩詰經,T 474 (1),False,False,False,False,False,False,False,False,False,"The text, an early translation by Zhi Qian, exhibits a classical style with no clear instances of the prefix 阿 used non-transliteratively, the prefix 老, the suffix 兒, reduplicated nouns, the pronoun 渠, the personal pronouns 他 (as 'he/she') or 伊, the verb 道 meaning 'to say', or the pronoun 這. It consistently uses more classical equivalents like 此 for 'this' and 言 for 'to say', reflecting its early date and adherence to classical Chinese literary norms.",
維摩詰經,T 474 (2),False,False,False,True,False,False,False,False,False,"The text does not use the prefix 阿 ā as a general prefix, only in transliterated proper nouns like 阿難 and 阿閦佛. The prefix 老 lǎo is not used; elders are referred to with 耆 qí (e.g., 耆年). The suffix 兒 ér is not present; 子 zǐ is used for child/son. Reduplicated nouns are found, such as 人人 (every person), 各各 (each), and 處處 (everywhere). The second-person pronoun 渠 qú is not used. The personal pronoun 他 tā is not used as 'he/she', but rather as 'other' (e.g., 他香, 他佛土). The personal pronoun 伊 yī is not used. The verb 道 dào meaning 'to say' is not used; the text consistently employs 曰 yuē, 言 yán, and 說 shuō. The pronoun 這 zhè is not found in the text.",
大般泥洹經,T 6,False,False,False,False,False,False,False,False,False,"The text, dating from the Eastern Jin period, maintains a classical Chinese style typical of early Chinese Buddhist translations. There are no instances of the vernacular prefix 阿 ā (except as transliteration), prefix 老 lǎo, or suffix 兒 ér. Reduplicated nouns are absent; adverbial reduplications like '時時' and '處處' are not considered vernacular noun reduplication. Neither the second-person pronoun 渠 qú nor the personal pronoun 他 tā (in the sense of 'he/she') or 伊 yī are used. The verb ‘to say’ is expressed through classical alternatives like 言 (yán), 曰 (yuē), 謂 (wèi), 報 (bào), 告 (gào), or 語 (yǔ), but not 道 dào. The pronoun ‘this’ is expressed with 是 (shì) or 此 (cǐ), not 這 zhè. The language adheres closely to classical norms, lacking the specific vernacular elements that would become more common in later periods of Chinese Buddhist literature.",
瑞應本起經,T 185 (1),False,False,False,True,False,False,False,False,False,"The text generally maintains a classical style, utilizing ""曰"" and ""言"" for speech, and lacking common vernacular pronouns like ""他"", ""伊"", ""渠"", and ""這"". The prefix ""阿"" appears only in transliterated names like ""阿夷"" and ""阿若拘隣"". The word ""老"" is used descriptively in compounds like ""老人"" and ""老病死苦"" (old person, old age, sickness, death, and suffering), not as a vernacular prefix to names. The suffix ""兒"" is not present. The only detected vernacular feature is the reduplication of the noun ""世"" as ""世世"" (life after life, generation after generation) at 0472c12, functioning adverbially to denote repetition or extensiveness.",
瑞應本起經,T 185 (2),False,False,False,False,False,False,False,False,False,,
慧印經,T 632,False,False,False,True,False,True,False,True,False,"The text exhibits some vernacular elements, including the use of reduplicated nouns (e.g., 人人, 色色, 國國, 世世), the personal pronoun 他 tā, and the verb 道 dào (to say). However, it does not use the prefix 阿 ā in a vernacular sense (only in transliterations), the prefix 老 lǎo, the suffix 兒 ér, the pronoun 渠 qú, or the pronoun 這 zhè (it uses 是 shì for 'this'). This suggests a translation style that incorporates some vernacular elements while largely adhering to features of older or more formal written Chinese.",
