Prompt,Type,Model,Input,Result,Result ok?,Problems / Notes
,,gemini-2.5-flash,"河中大聚沫經, t2154.txt","Yes, the title 河中大聚沫經 (River Middle Great Foam Sutra) is a synonym for other titles listed in the text.

According to the provided text:

Synonyms: It is listed as being synonymous with 水沫所漂經 (Water Foam Floating Sutra) and 聚沫譬經 (Foam Analogy Sutra). The text states: ""(或云水沫所漂經或云聚沫譬經...""
Fascicle: It is listed in 開元釋教錄卷第一 (Kaiyuan Shijiao Lu, Fascicle 1). It appears on line [0485b13], and the preceding fascicle header is ""開元釋教錄卷第一"" on line [0477a06].",Y,
,,gemini-2.0-flash,"河中大聚沫經, t2154.txt","Is the title 河中大聚沫經 a synonym for any other title listed in the given text (Kaiyuan Lu)?

Yes, the text indicates 河中大聚沫經 is also known as 水沫所漂經或者云聚沫譬經. See the below text from 「總括群經錄上之一」

<br> 佛本行經一卷 * 河中大聚沫經一卷 (或云水沫所漂經或云聚沫譬經眾經錄云出雜阿含今以安錄 先集雜含後譯是別譯本非從彼出) * 便賢者坑經一卷 (坑字或作旃) * 所非汝所經一卷 * 兩比丘得割經一卷
Which fascicle is it listed in?

The title 河中大聚沫經 is listed in:

開元釋教錄卷第一　總錄之一
In summary, 河中大聚沫經 has synonyms, and its primary listing is in Fascicle 1 of the Kaiyuan Lu.",Y,Contained the expected synonym 水沫所漂經 (T 106) in the correct fascicle.
"Is the title  { title }  a synonym for any other tiles listed in the given text (Kaiyuan Lu)? Return only the alternative titles in Chinese in the form [Title 1, Title 2, …]. Do not return any other output.",,gemini-2.5-flash,"施色力經, t2154.txt","[""食施獲五福報經"", ""福德經""]",Y,
,,gemini-2.5-flash,"河中大聚沫經, t2154.txt","[""水沫所漂經"", ""聚沫譬經""]",Y,
Is the character “耳” used as a final particle at the end of declarative sentences in the given text [text uploaded]?,,gemini-2.5-flash,taisho/t0013.txt,"Based on a thorough review of the provided text, the character ""耳"" is not used as a final particle at the end of declarative sentences.

In all instances where ""耳"" appears, it functions as a noun referring to the ear (part of the sense organs) or as part of a compound noun related to the ear:

[0235c20] ""眼見色亦不喜亦不惡，但觀行意正知。耳鼻口身意法觀..."" (Ear, nose, mouth, body, mind observation)
[0235c23] ""六內入，眼內入，耳鼻口身意內入。"" (Six internal sense bases: eye sense base, ear, nose, mouth, body, mind sense bases)
[0235c24] ""六愛，眼更愛，耳鼻口身意更愛。"" (Six defilements: eye contact defilement, ear, nose, mouth, body, mind contact defilement)
[0240c23] ""三為耳入、四為聲入..."" (Third is ear sense base, fourth is sound sense base...)
Therefore, in this text, ""耳"" consistently denotes the biological organ or the corresponding sense base, and does not serve as a grammatical final particle.",Y,This is the correct response. There are four occurrences of 耳 in the text and they all refer to ‘ear’.
How many times does the character “耳” used as a final particle at the end of declarative sentences in the given text [text uploaded]? Return only the integer number and no other output.,,gemini-2.5-flash,taisho/t0013.txt,,,
"According to the Kaiyuan Lu (uploaded file), who translated the text {name_of_text}
 and when was it translated? Give fascicle number.",Attribution,gemini-2.0-flash-001,"T 2154, 大比丘威儀經, also known as 大比丘三千威儀
",Attribution table,Y,The model gave the wrong fascicle but right answer for the Kaiyuan Lu. This quote is from Fascicle 1.
,,gemini-2.0-flash-001,觀無量壽經,Attribution table,Y,
,,gemini-2.0-flash-001,"採華違王上佛授記妙華經, also known as 採花違王上佛授決號妙花經","Based on the provided text, here's the information you requested regarding the 採華違王上佛授記妙華經 (Cai Hua Wei Wang Shang Fo Shou Ji Miao Hua Jing), also known as 採花違王上佛授決號妙花經:

Translator: The text indicates that 嚴佛調 (Yan Fotiao) translated it with the name 舍利弗摩目揵連遊四衢經.
Time of Translation: From 0477c09-c10, ""以獻帝興平元年甲戌至建安四年己卯"" suggests a period from 194 to 199 CE during the reign of Emperor Xian of the Eastern Han Dynasty.
Fascicle Number: This information is not present.
It's important to note that the text mentions that there are different names and spellings found for this particular Buddhist text.",N,
,,gpt-4.1,,,,
What is Mahayana Buddhism?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
How did Mahayana Buddhism arise?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the inscriptional evidence for Mahayana Buddhism in the Kushan empire?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What are some examples of Buddhist inscriptions from the Kushan empire?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,
Give some examples of Buddhist inscriptions from that Mathura region during the Kushan Empire.,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,
Describe the Mathura lion capital inscriptions.,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,
Tell me about the oral transmission of Mahayana sutras,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Tell me about the stupa theory of the orgin of Mahayana Buddhism,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Tell me about the forest dwelling theory of the orgin of Mahayana Buddhism,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,N,"""The book does not discuss the forest dwelling theory ..."""
Tell me about the Gandhari version of the Dharmapada,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,
Tell me about Buddhist stupas in Northwest India and Pakistan,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,
Tell me about royal sponsorship of Buddhism in the Kushan Empire,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,
Tell me about the stupas of King Asoka,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,
Tell me about Buddhism in the kingdom of Magadha,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,
What were the most common scripts used in early Buddhist Sanskrit manuscripts?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Tell me about the movement of Buddhist texts from India to China,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the oldest Mahayana text?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Got a corrupted name
Who was Nagarjuna?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What was role of the Kushans in the transmission of Buddhist texts to China?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Corrupted characters (skinner2017_chapter6b.pdf).
Tell me about Amaravati Stūpa,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,Corrupted characters
How did the Prajnaparamita literature arise?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,Some corrupted names
What was the capital of the Kushan Empire?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,"No answer, corrupted characters"
Where did Mahayana Buddhism emerge?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Tell me about the iconography of Mahayana Buddhism,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,N,"Poor match between best search result and question, limited references on this subject, need to filter to Marshal"
What was the reason for the split between the Mahāsāṃghikas and the Sthaviras?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the connection between the Mahāsāṃghikas and Mahayana Buddhism?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What was the role of the bodhisattva ideal in the transition from Early Buddhism to Mahayana?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,N,Poor match between best search result and question
How did the bodhisattva concept evolve in Buddhist literature?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What are the differences in literary styles between Pali and Mahayana Buddhist literature?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What changes did did Buddhist literature undergo when it was committed to writing from the oral tradition?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the earliest Mahayana art?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,N,Poor match between best search result and question
What is the earliest Gandharan Buddhist art?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the role of Greek influence in Buddhist art?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Where was the oldest manuscript of the Lotus Sutra found?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Who was responsible for the split between the Mahāsāṃghikas and the Sthaviras?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,N,"Should be Mahadeva, as discussed by Lamotte but with Lamotte got an empty response."
How did the Abhidharma begin?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the signifigance of the Buddha's footprint?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
How did the bodhisattva ideal begin?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the signifigance of the of the Thirty-two Marks of the Buddha?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Tell me about expansion and contraction of texts in oral transmission of Buddhist texts,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the significance of the the Khotan Dharmapada?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Result from Saloman is better than the top result from Baums.
What is the importance of Buddhist texts written in Gandhari?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is menat by Sanskritization of Buddhist texts?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Are there Iranian loan words in Chinese and in Buddhist texts?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the importance of Khotanese in the transmission of Buddhist texts to China?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What was the influence of trade along the Silk Road to transmission of Buddhism into China?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the origin of Brahmi?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What was the role of the Kushan Empire in the transmission of Buddhism to China?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the difference between classical Sanskrit and Buddhist Sanskrit?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Who were the Indosythians?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is a satrap?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What are the words related to the Sanskrit term 'bija' in other languages?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
When did Kaṇaiska live?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Who were the Saka people?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What Buddhist manuscripts do we have in Saka script?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Tell me about Buddhist inscriptions in the Swat Valley.,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Tell me about Buddhist inscriptions in Afghanistan.,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Tell me about Buddhist inscriptions discovered in Pakistan.,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Where can I find a dictionary of Khotan Saka?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Who was King Odi?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What publications include Khotanese Buddhist manuscripts?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What are the sources of Gāndhārī manuscripts?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What publications include Brahmi Buddhist manuscripts?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What publications include Kharoṣṭrī Buddhist manuscripts?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
List some examples of Gandharan Buddhist art.,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Did Buddhist exists in Pre-Islamic Iran?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
When and where was Kharoṣṭrī used?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Describe the challenges of encoding Brahmi in digital form?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Describe the process of recovering text from ancient birch bark scrolls.,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What are the major collections of Buddhist manuscripts discovered in the former area of Gandhara?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Describe the Hoernle Collection,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What was the Greek influence of Buddhism in Gandhara?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What manuscripts have been discovered at Niya?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Describe the dating methods that have been used for manuscripts and inscriptions discovered in the Gandhara area.,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What skills do you need to decipher Kharoṣṭrī manuscripts and inscriptions?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the physical material of the early Buddhist manuscripts discovered in Gandhara?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What evidence do Kharoṣṭhī inscriptions on coins provide of Buddhist history?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,N,Need better articles on coins
What is Gāndhārī?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the story presented in the Bhadrakalpikasūtra?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
At which museums in the United States can I view art from Gandhara?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,N,
Was there an Indian Mahayana school?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Who were the preachers of Dharma of early Mahayana?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the date of the oldest image of Amitābha?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
Did Mahayana Buddhism begin with a single movement or multiple?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the forest dwelling theory of the origin of Mahayana Buddhism?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What are the Senior Manuscripts?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What was the process of Sanskritisation of Budhist texts?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,
What is the earliest inscriptional evidence of the word 'mahāyāna'?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Allon and Salomon. “Evidence for Mahayana.”
"What there evidence of Kuṣāṇa rulers, such as King Huveṣka, presented themselves as adherents of Mahayana Buddhism?",Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Allon and Salomon. “Evidence for Mahayana.”
What is the earliest inscriptional reference to Amitābha?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Allon and Salomon. “Evidence for Mahayana.”
What Gāndhārī Mahayana manuscripts have been identified?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Allon and Salomon. “Evidence for Mahayana.”
What was the Cult of Aksobhya?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Sato. “Cult of Aksobhya.”
What was the Chinese perception of early Mahāyāna Buddhism in India?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Schopen. “Chinese Looking-Glass.”
What is the standard textbook on Mahayana Buddhism?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Williams. *Mahayana Buddhism.*
What is the earliest mention of Vajrapani in Buddhist texts?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,N,Not great. Some bibliographical entries are missing keys.
What was the role of Aśvaghoṣa in the Kushan Empire?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,N,No answer. Need better coverage of this question
What kinds of Gandharan Buddhist artifacts have been discovered?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,N,Not great. Need to be able to combine information from multiple sources.
What are the characteristics of Brāhmī-Kharoṣṭhī inscriptions on Indian coins?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Bergny. “Brāhmī-Kharoṣṭhī Inscriptions.”
What is the evidence of Greek kingdoms in Central Asia?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Bernard. “Greek Kingdoms.”
Who where the Indo-Parthians?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Azizipoor. “Indo-Parthian Kingdom.”
What is the problem with the history of the Rāṣṭrapālaparipṛcchā,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,N,Expected Boucher. “History Of the Rāṣṭrapālaparipṛcchā.” but it was low on the list
What was the role of Dharmarakṣa in the transmission of Buddhism to China?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Boucher. “Dharmarakṣa.”
Who were the Bodhisattvas of the Forest?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Boucher. *Forest.*
What are the storytelling strategies used in Buddhist oral traditions?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Brancaccio. “Art and Performance.”
How did the British Library acquire Kharosthi Manuscript Fragments?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Brodie. “Circumstances.”
How did Brahmanism attain its dominant position in Indian society?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expect Bronkhorst. *Shadow.*
What is the Arapacana syllabary?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expected Brough. “Arapacana Syllabary.” got Strauch.
What is the relationship between Sanskrit and European languages?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,Expect Burrow. *Sanskrit Language.*
How was the spread of Buddhism to China related to the missionary ideal?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,Y,Expected Zürcher “Foreign Input” got Neelis “Overland Shortcuts for the Transmission of Buddhism.”
What is the connection between Aśvaghoṣa and Mahayana Buddhism?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,Expect Salomon. “Aśvaghoṣa.”
What was Aśvaghoṣa's sectarian affiliation?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,Expect Salomon. “Aśvaghoṣa.”
When was Buddhism established in Khotan?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,Expect Skjærvø. “Khotan.”
What changes did Buddhist stupas undergo in the transformation from Indian to Chinese architecture?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,Expect Kim. “Stūpa to Pagoda.”
Who was Aśvaghoṣa?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,Expect Li. “Aśvaghoṣa.”
Who was Faxian?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,Expect Li. “Faxian.”
What is Dunhuang Studies?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,Expect Rong. *Dunhuang.* chapter 1.
Who were the Xiongnu?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,Expect Rong. *Dunhuang.* chapter 2.
What was the strategic importance of Dunhuang to the Chinese?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,Expect Rong. *Dunhuang.* chapter 2.
What was the Silk Road?,Secondary literature search,Silk Road Corpus App with gemini-1.5-flash,,,,
