czjj_no,title_zh,taisho_no,attribution,term,term_introduced_by
3,陰持入經,T 603,An Shigao,五根,An Shigao
3,陰持入經,T 603,An Shigao,五力,An Shigao
3,陰持入經,T 603,An Shigao,七覺意,An Shigao
3,陰持入經,T 603,An Shigao,賢者八種道[衛-韋+正],An Shigao
3,陰持入經,T 603,An Shigao,辟支佛,An Shigao
3,陰持入經,T 603,An Shigao,佛弟子,An Shigao
3,陰持入經,T 603,An Shigao,度世無為道,An Shigao
3,陰持入經,T 603,An Shigao,比丘,An Shigao
3,陰持入經,T 603,An Shigao,弊惡意法,An Shigao
3,陰持入經,T 603,An Shigao,清淨法,An Shigao
3,陰持入經,T 603,An Shigao,欲定,An Shigao
3,陰持入經,T 603,An Shigao,精進定,An Shigao
3,陰持入經,T 603,An Shigao,意定,An Shigao
3,陰持入經,T 603,An Shigao,戒定,An Shigao
3,陰持入經,T 603,An Shigao,信根,An Shigao
3,陰持入經,T 603,An Shigao,精進根,An Shigao
3,陰持入經,T 603,An Shigao,念根,An Shigao
3,陰持入經,T 603,An Shigao,定根,An Shigao
3,陰持入經,T 603,An Shigao,慧根,An Shigao
3,陰持入經,T 603,An Shigao,信力,An Shigao
3,陰持入經,T 603,An Shigao,精進力,An Shigao
3,陰持入經,T 603,An Shigao,念力,An Shigao
3,陰持入經,T 603,An Shigao,定力,An Shigao
3,陰持入經,T 603,An Shigao,慧力,An Shigao
3,陰持入經,T 603,An Shigao,念覺意,An Shigao
3,陰持入經,T 603,An Shigao,法分別觀覺意,An Shigao
3,陰持入經,T 603,An Shigao,精進覺意,An Shigao
3,陰持入經,T 603,An Shigao,愛可覺意,An Shigao
3,陰持入經,T 603,An Shigao,猗覺意,An Shigao
3,陰持入經,T 603,An Shigao,定覺意,An Shigao
3,陰持入經,T 603,An Shigao,護覺意,An Shigao
3,陰持入經,T 603,An Shigao,直見,An Shigao
3,陰持入經,T 603,An Shigao,直[衛-韋+正],An Shigao
3,陰持入經,T 603,An Shigao,直語,An Shigao
3,陰持入經,T 603,An Shigao,直治,An Shigao
3,陰持入經,T 603,An Shigao,直利,An Shigao
3,陰持入經,T 603,An Shigao,直方便,An Shigao
3,陰持入經,T 603,An Shigao,直意,An Shigao
3,陰持入經,T 603,An Shigao,直定,An Shigao
3,陰持入經,T 603,An Shigao,戒種,An Shigao
3,陰持入經,T 603,An Shigao,定種,An Shigao
3,陰持入經,T 603,An Shigao,慧種,An Shigao
3,陰持入經,T 603,An Shigao,瞋恚,An Shigao
3,陰持入經,T 603,An Shigao,慳,An Shigao
3,陰持入經,T 603,An Shigao,癡,An Shigao
3,陰持入經,T 603,An Shigao,欲界,An Shigao
3,陰持入經,T 603,An Shigao,色界,An Shigao
3,陰持入經,T 603,An Shigao,無有色界,An Shigao
3,陰持入經,T 603,An Shigao,三種比丘,An Shigao
3,陰持入經,T 603,An Shigao,三[卄/惡]本,An Shigao
3,陰持入經,T 603,An Shigao,三[卄/惡]使,An Shigao
3,陰持入經,T 603,An Shigao,四瘡,An Shigao
3,陰持入經,T 603,An Shigao,三痛,An Shigao
3,陰持入經,T 603,An Shigao,三界,An Shigao
3,陰持入經,T 603,An Shigao,十二種,An Shigao
3,陰持入經,T 603,An Shigao,癡因緣,An Shigao
3,陰持入經,T 603,An Shigao,識因緣,An Shigao
3,陰持入經,T 603,An Shigao,名字,An Shigao
3,陰持入經,T 603,An Shigao,六入,An Shigao
3,陰持入經,T 603,An Shigao,致,An Shigao
3,陰持入經,T 603,An Shigao,痛痒,An Shigao
3,陰持入經,T 603,An Shigao,愛,An Shigao
3,陰持入經,T 603,An Shigao,受,An Shigao
3,陰持入經,T 603,An Shigao,有,An Shigao
3,陰持入經,T 603,An Shigao,生,An Shigao
3,陰持入經,T 603,An Shigao,老死憂悲苦,An Shigao
3,陰持入經,T 603,An Shigao,癡已盡,An Shigao
3,陰持入經,T 603,An Shigao,四不色陰,An Shigao
3,陰持入經,T 603,An Shigao,四大本,An Shigao
3,陰持入經,T 603,An Shigao,身六思望,An Shigao
3,陰持入經,T 603,An Shigao,六身愛,An Shigao
3,陰持入經,T 603,An Shigao,四受,An Shigao
3,陰持入經,T 603,An Shigao,欲受,An Shigao
3,陰持入經,T 603,An Shigao,見結受,An Shigao
3,陰持入經,T 603,An Shigao,戒願受,An Shigao
3,陰持入經,T 603,An Shigao,身結[衛-韋+正]受,An Shigao
3,陰持入經,T 603,An Shigao,三有,An Shigao
3,陰持入經,T 603,An Shigao,命根盡,An Shigao
3,陰持入經,T 603,An Shigao,九絕處,An Shigao
3,陰持入經,T 603,An Shigao,二本,An Shigao
3,陰持入經,T 603,An Shigao,四倒,An Shigao
3,陰持入經,T 603,An Shigao,思想倒,An Shigao
3,陰持入經,T 603,An Shigao,意倒,An Shigao
3,陰持入經,T 603,An Shigao,見倒,An Shigao
3,陰持入經,T 603,An Shigao,貪欲,An Shigao
3,陰持入經,T 603,An Shigao,癡惑,An Shigao
3,陰持入經,T 603,An Shigao,賢者諦,An Shigao
3,陰持入經,T 603,An Shigao,邪見,An Shigao
3,陰持入經,T 603,An Shigao,五樂,An Shigao
3,陰持入經,T 603,An Shigao,不貪,An Shigao
3,陰持入經,T 603,An Shigao,不恚,An Shigao
3,陰持入經,T 603,An Shigao,不癡,An Shigao
3,陰持入經,T 603,An Shigao,不淨,An Shigao
3,陰持入經,T 603,An Shigao,意止,An Shigao
3,陰持入經,T 603,An Shigao,了陰,An Shigao
3,陰持入經,T 603,An Shigao,了持,An Shigao
3,陰持入經,T 603,An Shigao,了入,An Shigao
3,陰持入經,T 603,An Shigao,了名字,An Shigao
3,陰持入經,T 603,An Shigao,了從本生,An Shigao
3,陰持入經,T 603,An Shigao,了苦,An Shigao
3,陰持入經,T 603,An Shigao,了習,An Shigao
3,陰持入經,T 603,An Shigao,了盡,An Shigao
3,陰持入經,T 603,An Shigao,了道[衛-韋+正],An Shigao
3,陰持入經,T 603,An Shigao,善[卄/惡],An Shigao
3,陰持入經,T 603,An Shigao,白黑,An Shigao
3,陰持入經,T 603,An Shigao,覺意,An Shigao
3,陰持入經,T 603,An Shigao,淨觀,An Shigao
3,陰持入經,T 603,An Shigao,不淨觀,An Shigao
3,陰持入經,T 603,An Shigao,黑觀,An Shigao
3,陰持入經,T 603,An Shigao,白觀,An Shigao
3,陰持入經,T 603,An Shigao,可[衛-韋+正]觀,An Shigao
3,陰持入經,T 603,An Shigao,不可[衛-韋+正]觀,An Shigao
3,陰持入經,T 603,An Shigao,罪[衛-韋+正]觀,An Shigao
3,陰持入經,T 603,An Shigao,殃福觀,An Shigao
3,陰持入經,T 603,An Shigao,縛觀,An Shigao
3,陰持入經,T 603,An Shigao,解脫觀,An Shigao
3,陰持入經,T 603,An Shigao,有所益觀,An Shigao
3,陰持入經,T 603,An Shigao,止觀,An Shigao
3,陰持入經,T 603,An Shigao,無所著,An Shigao
3,陰持入經,T 603,An Shigao,無為,An Shigao
3,陰持入經,T 603,An Shigao,苦盡,An Shigao
3,陰持入經,T 603,An Shigao,無餘,An Shigao
3,陰持入經,T 603,An Shigao,不貪清淨本,An Shigao
3,陰持入經,T 603,An Shigao,無恚不犯法本,An Shigao
3,陰持入經,T 603,An Shigao,不惑清淨本,An Shigao
3,陰持入經,T 603,An Shigao,非常想,An Shigao
3,陰持入經,T 603,An Shigao,八法,An Shigao
3,陰持入經,T 603,An Shigao,苦想,An Shigao
3,陰持入經,T 603,An Shigao,非身想,An Shigao
3,陰持入經,T 603,An Shigao,不淨想,An Shigao
3,陰持入經,T 603,An Shigao,禪,An Shigao
3,陰持入經,T 603,An Shigao,止禪,An Shigao
3,陰持入經,T 603,An Shigao,禪定,An Shigao
3,陰持入經,T 603,An Shigao,四溝港種,An Shigao
3,陰持入經,T 603,An Shigao,四禪處,An Shigao
3,陰持入經,T 603,An Shigao,四輪,An Shigao
3,陰持入經,T 603,An Shigao,戒法,An Shigao
3,陰持入經,T 603,An Shigao,無悔,An Shigao
3,陰持入經,T 603,An Shigao,喜意,An Shigao
3,陰持入經,T 603,An Shigao,愛生,An Shigao
3,陰持入經,T 603,An Shigao,身得猗,An Shigao
3,陰持入經,T 603,An Shigao,樂,An Shigao
3,陰持入經,T 603,An Shigao,正止,An Shigao
3,陰持入經,T 603,An Shigao,寂然,An Shigao
3,陰持入經,T 603,An Shigao,離,An Shigao
3,陰持入經,T 603,An Shigao,解脫,An Shigao
3,陰持入經,T 603,An Shigao,慧見,An Shigao
3,陰持入經,T 603,An Shigao,生死已盡,An Shigao
3,陰持入經,T 603,An Shigao,不復還受苦,An Shigao
3,陰持入經,T 603,An Shigao,四道德地,An Shigao
3,陰持入經,T 603,An Shigao,見地,An Shigao
3,陰持入經,T 603,An Shigao,得道迹,An Shigao
3,陰持入經,T 603,An Shigao,道福,An Shigao
3,陰持入經,T 603,An Shigao,薄地,An Shigao
3,陰持入經,T 603,An Shigao,往來福,An Shigao
3,陰持入經,T 603,An Shigao,相離地,An Shigao
3,陰持入經,T 603,An Shigao,不復還福,An Shigao
3,陰持入經,T 603,An Shigao,欲竟地,An Shigao
3,陰持入經,T 603,An Shigao,[衛-韋+正]者福,An Shigao
3,陰持入經,T 603,An Shigao,清淨福,An Shigao
3,陰持入經,T 603,An Shigao,三縛結,An Shigao
3,陰持入經,T 603,An Shigao,知身非身,An Shigao
3,陰持入經,T 603,An Shigao,無疑,An Shigao
3,陰持入經,T 603,An Shigao,不貿易[衛-韋+正]戒,An Shigao
3,陰持入經,T 603,An Shigao,惡道,An Shigao
3,陰持入經,T 603,An Shigao,七更天上,An Shigao
3,陰持入經,T 603,An Shigao,五邪,An Shigao
3,陰持入經,T 603,An Shigao,斷常,An Shigao
3,陰持入經,T 603,An Shigao,如來,An Shigao
3,陰持入經,T 603,An Shigao,正覺,An Shigao
3,陰持入經,T 603,An Shigao,慧行,An Shigao
3,陰持入經,T 603,An Shigao,無過,An Shigao
3,陰持入經,T 603,An Shigao,法馭,An Shigao
3,陰持入經,T 603,An Shigao,同學聚,An Shigao
3,陰持入經,T 603,An Shigao,四人,An Shigao
3,陰持入經,T 603,An Shigao,四雙,An Shigao
3,陰持入經,T 603,An Shigao,八人,An Shigao
3,陰持入經,T 603,An Shigao,業,An Shigao
3,陰持入經,T 603,An Shigao,有疑,An Shigao
3,陰持入經,T 603,An Shigao,法不復生,An Shigao
3,陰持入經,T 603,An Shigao,持[衛-韋+正]戒轉摸貿,An Shigao
3,陰持入經,T 603,An Shigao,渴愛,An Shigao
3,陰持入經,T 603,An Shigao,不解避,An Shigao
3,陰持入經,T 603,An Shigao,天亦天比,An Shigao
3,陰持入經,T 603,An Shigao,摸,An Shigao
3,陰持入經,T 603,An Shigao,無有本已斷,An Shigao
3,陰持入經,T 603,An Shigao,四相應,An Shigao
3,陰持入經,T 603,An Shigao,已解相應,An Shigao
3,陰持入經,T 603,An Shigao,已斷捨相應,An Shigao
3,陰持入經,T 603,An Shigao,自證相應,An Shigao
3,陰持入經,T 603,An Shigao,增滿相應,An Shigao
3,陰持入經,T 603,An Shigao,止觀俱隨行,An Shigao
3,陰持入經,T 603,An Shigao,止要至竟,An Shigao
3,陰持入經,T 603,An Shigao,觀要至竟,An Shigao
3,陰持入經,T 603,An Shigao,惡却離,An Shigao
3,陰持入經,T 603,An Shigao,無所漏,An Shigao
3,陰持入經,T 603,An Shigao,正得解脫,An Shigao
3,陰持入經,T 603,An Shigao,已畢,An Shigao
3,陰持入經,T 603,An Shigao,四禪,An Shigao
3,陰持入經,T 603,An Shigao,無色正四定,An Shigao
3,陰持入經,T 603,An Shigao,已盡畢定,An Shigao
3,陰持入經,T 603,An Shigao,九次第正定,An Shigao
3,陰持入經,T 603,An Shigao,五蓋,An Shigao
3,陰持入經,T 603,An Shigao,愛欲蓋,An Shigao
3,陰持入經,T 603,An Shigao,瞋恚蓋,An Shigao
3,陰持入經,T 603,An Shigao,睡眠,An Shigao
3,陰持入經,T 603,An Shigao,瞑,An Shigao
3,陰持入經,T 603,An Shigao,睡眠蓋,An Shigao
3,陰持入經,T 603,An Shigao,不了悔蓋,An Shigao
3,陰持入經,T 603,An Shigao,疑蓋,An Shigao
3,陰持入經,T 603,An Shigao,五疑,An Shigao
3,陰持入經,T 603,An Shigao,等意,An Shigao
3,陰持入經,T 603,An Shigao,解明,An Shigao
3,陰持入經,T 603,An Shigao,無身,An Shigao
3,陰持入經,T 603,An Shigao,無作,An Shigao
3,陰持入經,T 603,An Shigao,無起,An Shigao
3,陰持入經,T 603,An Shigao,無滅,An Shigao
3,陰持入經,T 603,An Shigao,都清淨,An Shigao
3,陰持入經,T 603,An Shigao,離意,An Shigao
3,陰持入經,T 603,An Shigao,無有,An Shigao
3,陰持入經,T 603,An Shigao,無畏,An Shigao
3,陰持入經,T 603,An Shigao,非明非冥,An Shigao
3,陰持入經,T 603,An Shigao,淨極淨,An Shigao
3,陰持入經,T 603,An Shigao,無相,An Shigao
3,陰持入經,T 603,An Shigao,無著,An Shigao
3,陰持入經,T 603,An Shigao,與空等,An Shigao
3,陰持入經,T 603,An Shigao,寂,An Shigao
3,陰持入經,T 603,An Shigao,散解,An Shigao
3,陰持入經,T 603,An Shigao,報斷,An Shigao
3,陰持入經,T 603,An Shigao,真身,An Shigao
3,陰持入經,T 603,An Shigao,不讚陰,An Shigao
3,陰持入經,T 603,An Shigao,不稱種,An Shigao
3,陰持入經,T 603,An Shigao,不譽入,An Shigao
3,陰持入經,T 603,An Shigao,滅度,An Shigao
3,陰持入經,T 603,An Shigao,滅訖,An Shigao
3,陰持入經,T 603,An Shigao,[病-丙+(止/(止*止))],An Shigao
3,陰持入經,T 603,An Shigao,[病-丙+歲],An Shigao
7,大道地經,T 607,An Shigao,三藏,An Shigao
7,大道地經,T 607,An Shigao,僧伽羅剎,An Shigao
7,大道地經,T 607,An Shigao,安世高,An Shigao
7,大道地經,T 607,An Shigao,佛,An Shigao
7,大道地經,T 607,An Shigao,三界,An Shigao
7,大道地經,T 607,An Shigao,精進,An Shigao
7,大道地經,T 607,An Shigao,度,An Shigao
7,大道地經,T 607,An Shigao,佛法,An Shigao
7,大道地經,T 607,An Shigao,諦法,An Shigao
7,大道地經,T 607,An Shigao,行者,An Shigao
7,大道地經,T 607,An Shigao,道地,An Shigao
7,大道地經,T 607,An Shigao,生老病死,An Shigao
7,大道地經,T 607,An Shigao,憂慼,An Shigao
7,大道地經,T 607,An Shigao,苦本,An Shigao
7,大道地經,T 607,An Shigao,得道,An Shigao
7,大道地經,T 607,An Shigao,無為,An Shigao
7,大道地經,T 607,An Shigao,念欲,An Shigao
7,大道地經,T 607,An Shigao,念瞋恚,An Shigao
7,大道地經,T 607,An Shigao,念侵,An Shigao
7,大道地經,T 607,An Shigao,惡知識,An Shigao
7,大道地經,T 607,An Shigao,持戒,An Shigao
7,大道地經,T 607,An Shigao,受慧,An Shigao
7,大道地經,T 607,An Shigao,攝意,An Shigao
7,大道地經,T 607,An Shigao,色想,An Shigao
7,大道地經,T 607,An Shigao,常樂,An Shigao
7,大道地經,T 607,An Shigao,淨,An Shigao
7,大道地經,T 607,An Shigao,貪,An Shigao
7,大道地經,T 607,An Shigao,恚,An Shigao
7,大道地經,T 607,An Shigao,癡,An Shigao
7,大道地經,T 607,An Shigao,睡眠,An Shigao
7,大道地經,T 607,An Shigao,忘意,An Shigao
7,大道地經,T 607,An Shigao,疑過,An Shigao
7,大道地經,T 607,An Shigao,畏怖,An Shigao
7,大道地經,T 607,An Shigao,攝根,An Shigao
7,大道地經,T 607,An Shigao,世間法,An Shigao
7,大道地經,T 607,An Shigao,縛束,An Shigao
7,大道地經,T 607,An Shigao,出,An Shigao
7,大道地經,T 607,An Shigao,明知識,An Shigao
7,大道地經,T 607,An Shigao,少食事,An Shigao
7,大道地經,T 607,An Shigao,苦,An Shigao
7,大道地經,T 607,An Shigao,不淨,An Shigao
7,大道地經,T 607,An Shigao,守意,An Shigao
7,大道地經,T 607,An Shigao,方便,An Shigao
7,大道地經,T 607,An Shigao,攝根門,An Shigao
7,大道地經,T 607,An Shigao,空澤,An Shigao
7,大道地經,T 607,An Shigao,觀,An Shigao
7,大道地經,T 607,An Shigao,護,An Shigao
7,大道地經,T 607,An Shigao,厭食,An Shigao
7,大道地經,T 607,An Shigao,戒淨,An Shigao
7,大道地經,T 607,An Shigao,墮信,An Shigao
7,大道地經,T 607,An Shigao,斂受法事,An Shigao
7,大道地經,T 607,An Shigao,定,An Shigao
7,大道地經,T 607,An Shigao,功德聚,An Shigao
7,大道地經,T 607,An Shigao,習,An Shigao
7,大道地經,T 607,An Shigao,止觀,An Shigao
7,大道地經,T 607,An Shigao,四德,An Shigao
7,大道地經,T 607,An Shigao,一切苦,An Shigao
7,大道地經,T 607,An Shigao,穿,An Shigao
7,大道地經,T 607,An Shigao,苦行,An Shigao
7,大道地經,T 607,An Shigao,慧者,An Shigao
7,大道地經,T 607,An Shigao,無為種,An Shigao
7,大道地經,T 607,An Shigao,通經者,An Shigao
7,大道地經,T 607,An Shigao,觀經教,An Shigao
7,大道地經,T 607,An Shigao,五陰,An Shigao
7,大道地經,T 607,An Shigao,甘露,An Shigao
7,大道地經,T 607,An Shigao,貪為種,An Shigao
7,大道地經,T 607,An Shigao,愛,An Shigao
7,大道地經,T 607,An Shigao,佛說,An Shigao
7,大道地經,T 607,An Shigao,箜篌,An Shigao
7,大道地經,T 607,An Shigao,色種,An Shigao
7,大道地經,T 607,An Shigao,痛痒種,An Shigao
7,大道地經,T 607,An Shigao,思想種,An Shigao
7,大道地經,T 607,An Shigao,行種,An Shigao
7,大道地經,T 607,An Shigao,識種,An Shigao
7,大道地經,T 607,An Shigao,十入,An Shigao
7,大道地經,T 607,An Shigao,法,An Shigao
7,大道地經,T 607,An Shigao,受入,An Shigao
7,大道地經,T 607,An Shigao,百八痛,An Shigao
7,大道地經,T 607,An Shigao,百八思想,An Shigao
7,大道地經,T 607,An Shigao,百八行為行種,An Shigao
7,大道地經,T 607,An Shigao,百八識,An Shigao
7,大道地經,T 607,An Shigao,五種,An Shigao
7,大道地經,T 607,An Shigao,成聚五種,An Shigao
7,大道地經,T 607,An Shigao,五陰慧,An Shigao
7,大道地經,T 607,An Shigao,性河,An Shigao
7,大道地經,T 607,An Shigao,六足,An Shigao
7,大道地經,T 607,An Shigao,蓮花,An Shigao
7,大道地經,T 607,An Shigao,慧日,An Shigao
7,大道地經,T 607,An Shigao,奉事佛,An Shigao
7,大道地經,T 607,An Shigao,清淨,An Shigao
7,大道地經,T 607,An Shigao,世絕福祐人,An Shigao
7,大道地經,T 607,An Shigao,敷演,An Shigao
7,大道地經,T 607,An Shigao,五種各應相,An Shigao
7,大道地經,T 607,An Shigao,五陰種相,An Shigao
7,大道地經,T 607,An Shigao,五盛陰,An Shigao
7,大道地經,T 607,An Shigao,五陰薪,An Shigao
7,大道地經,T 607,An Shigao,惡火,An Shigao
7,大道地經,T 607,An Shigao,三毒,An Shigao
7,大道地經,T 607,An Shigao,智慧意,An Shigao
7,大道地經,T 607,An Shigao,佛所說,An Shigao
7,大道地經,T 607,An Shigao,地獄,An Shigao
7,大道地經,T 607,An Shigao,罪,An Shigao
7,大道地經,T 607,An Shigao,畜生,An Shigao
7,大道地經,T 607,An Shigao,餓鬼,An Shigao
7,大道地經,T 607,An Shigao,天上,An Shigao
7,大道地經,T 607,An Shigao,人中,An Shigao
7,大道地經,T 607,An Shigao,殃福,An Shigao
7,大道地經,T 607,An Shigao,夙行,An Shigao
7,大道地經,T 607,An Shigao,風熱寒,An Shigao
7,大道地經,T 607,An Shigao,愛識,An Shigao
7,大道地經,T 607,An Shigao,生死種,An Shigao
7,大道地經,T 607,An Shigao,身根,An Shigao
7,大道地經,T 607,An Shigao,心根,An Shigao
7,大道地經,T 607,An Shigao,節,An Shigao
7,大道地經,T 607,An Shigao,筋脈,An Shigao
7,大道地經,T 607,An Shigao,骨髓,An Shigao
7,大道地經,T 607,An Shigao,三好,An Shigao
7,大道地經,T 607,An Shigao,上天,An Shigao
7,大道地經,T 607,An Shigao,精識滅,An Shigao
7,大道地經,T 607,An Shigao,中陰,An Shigao
7,大道地經,T 607,An Shigao,受生種,An Shigao
7,大道地經,T 607,An Shigao,天眼,An Shigao
7,大道地經,T 607,An Shigao,三食,An Shigao
7,大道地經,T 607,An Shigao,樂,An Shigao
7,大道地經,T 607,An Shigao,念,An Shigao
7,大道地經,T 607,An Shigao,癡生,An Shigao
7,大道地經,T 607,An Shigao,刀葉樹,An Shigao
7,大道地經,T 607,An Shigao,惡意,An Shigao
7,大道地經,T 607,An Shigao,不與取,An Shigao
7,大道地經,T 607,An Shigao,讒失誡,An Shigao
7,大道地經,T 607,An Shigao,妄論議,An Shigao
7,大道地經,T 607,An Shigao,善還不行法語,An Shigao
7,大道地經,T 607,An Shigao,福行,An Shigao
7,大道地經,T 607,An Shigao,精,An Shigao
7,大道地經,T 607,An Shigao,胞門,An Shigao
7,大道地經,T 607,An Shigao,邪鬼,An Shigao
7,大道地經,T 607,An Shigao,魑魅魍魎,An Shigao
7,大道地經,T 607,An Shigao,蠱魅魖行,An Shigao
7,大道地經,T 607,An Shigao,六根,An Shigao
7,大道地經,T 607,An Shigao,世間輪,An Shigao
7,大道地經,T 607,An Shigao,空,An Shigao
7,大道地經,T 607,An Shigao,幻,An Shigao
7,大道地經,T 607,An Shigao,生死,An Shigao
7,大道地經,T 607,An Shigao,流水,An Shigao
7,大道地經,T 607,An Shigao,生滅,An Shigao
7,大道地經,T 607,An Shigao,慧清入心,An Shigao
7,大道地經,T 607,An Shigao,度世樂,An Shigao
7,大道地經,T 607,An Shigao,一心,An Shigao
7,大道地經,T 607,An Shigao,世間明,An Shigao
7,大道地經,T 607,An Shigao,止,An Shigao
7,大道地經,T 607,An Shigao,因緣,An Shigao
7,大道地經,T 607,An Shigao,念惡露,An Shigao
7,大道地經,T 607,An Shigao,安般守意,An Shigao
7,大道地經,T 607,An Shigao,惡露行,An Shigao
7,大道地經,T 607,An Shigao,安隱,An Shigao
7,大道地經,T 607,An Shigao,死屍,An Shigao
7,大道地經,T 607,An Shigao,無有異,An Shigao
7,大道地經,T 607,An Shigao,非常,An Shigao
7,大道地經,T 607,An Shigao,非身,An Shigao
7,大道地經,T 607,An Shigao,無所有,An Shigao
7,大道地經,T 607,An Shigao,自在,An Shigao
7,大道地經,T 607,An Shigao,行增滿,An Shigao
7,大道地經,T 607,An Shigao,五十五因緣,An Shigao
7,大道地經,T 607,An Shigao,沫,An Shigao
7,大道地經,T 607,An Shigao,五樂,An Shigao
7,大道地經,T 607,An Shigao,怨家,An Shigao
7,大道地經,T 607,An Shigao,化城,An Shigao
7,大道地經,T 607,An Shigao,骨關肉血塗,An Shigao
7,大道地經,T 607,An Shigao,貪恚癡聚,An Shigao
7,大道地經,T 607,An Shigao,善意,An Shigao
7,大道地經,T 607,An Shigao,破瓶常漏,An Shigao
7,大道地經,T 607,An Shigao,畫瓶,An Shigao
7,大道地經,T 607,An Shigao,清溷,An Shigao
7,大道地經,T 607,An Shigao,九門,An Shigao
7,大道地經,T 607,An Shigao,血,An Shigao
7,大道地經,T 607,An Shigao,疥,An Shigao
7,大道地經,T 607,An Shigao,腐穀舍,An Shigao
7,大道地經,T 607,An Shigao,大窟,An Shigao
7,大道地經,T 607,An Shigao,蟲,An Shigao
7,大道地經,T 607,An Shigao,骨嚾,An Shigao
7,大道地經,T 607,An Shigao,罪如滿狐猴不失,An Shigao
7,大道地經,T 607,An Shigao,不熟器,An Shigao
7,大道地經,T 607,An Shigao,一囊兩口,An Shigao
7,大道地經,T 607,An Shigao,葬地,An Shigao
7,大道地經,T 607,An Shigao,露霧,An Shigao
7,大道地經,T 607,An Shigao,瘡,An Shigao
7,大道地經,T 607,An Shigao,盲,An Shigao
7,大道地經,T 607,An Shigao,不淨聚,An Shigao
7,大道地經,T 607,An Shigao,地孔,An Shigao
7,大道地經,T 607,An Shigao,虺,An Shigao
7,大道地經,T 607,An Shigao,空把,An Shigao
7,大道地經,T 607,An Shigao,塚間,An Shigao
