CSZJJ,Taisho No.,prefix_a,prefix_lao,suffix_er,reduplicated_nouns,pronoun_qu,personal_pronoun_ta,personal_pronoun_yi,notes,error
五十校計經,T 397 (13),False,False,False,True,False,False,False,"The translation style exhibits some vernacular elements, notably the use of the reduplicated noun ""世世"" (shìshì, lifetime after lifetime). It lacks instances of the vernacular prefixes ""阿"" (阿羅漢 is a transliteration) and ""老"", the suffix ""兒"" (兒 is used as a noun meaning child, e.g., ""小兒"", ""兒""), and the personal pronouns ""渠"", ""他"" (他 appears only in ""他人"", meaning ""other people"", not as a personal pronoun), and ""伊"".",
大安般經,T 602,False,False,False,False,False,True,False,"The text does not use the vernacular prefixes 阿 (ā) or 老 (lǎo), nor the suffix 兒 (ér). No clear instances of reduplicated nouns were found. The pronouns 渠 (qú) and 伊 (yī) are also absent. However, the third-person pronoun 他 (tā) is present, notably in the phrase ""我意瞋他"" (my mind is angry at him/her/it), indicating a vernacular element.",
五陰喻經,T 105,False,False,False,True,False,False,False,"The text by An Shigao, an early translator, maintains a largely classical style. The only vernacular element observed is the reduplicated noun ""心心"" in the gatha.",
轉法輪經,T 109,False,False,False,False,False,False,False,"The text, translated by An Shigao in the Later Han dynasty, exhibits very few vernacular elements typically found in later Buddhist translations or secular texts. The prefix 阿 (ā) appears only in the transliteration ""阿若拘鄰"" (Āruṇa Kauṇḍinya), not as a prefix in its own right. Neither the prefix 老 (lǎo) nor the suffix 兒 (ér) is present. There are no instances of reduplicated nouns. Additionally, the pronouns 渠 (qú), 他 (tā), and 伊 (yī) are absent from this text. The phrase ""在在"" is an adverbial reduplication, not a noun.",
流攝經,T 31,False,False,False,True,False,False,False,"The text does not use the prefix 阿 (ā) as a vernacular element; it appears only in the transliterated name 安息國. The prefix 老 (lǎo) is not used. The suffix 兒 (ér) is not used. The text does use reduplicated nouns, specifically '處處' (chùchù) on [0813b22]. The pronoun 渠 (qú) is not used. The personal pronoun 他 (tā) is not used. The personal pronoun 伊 (yī) is not used.",
是法非法經,T 48,False,False,False,False,False,False,False,"The text, translated by An Shigao in the Later Han dynasty, exhibits a classical and formal style characteristic of early Buddhist translations. It does not contain any of the specified vernacular elements such as the prefixes 阿 (ā) and 老 (lǎo), the suffix 兒 (ér), reduplicated nouns, or the personal pronouns 渠 (qú), 他 (tā), or 伊 (yī). This indicates a very early, pre-vernacular translation style.",
法受塵經,T 792,False,False,False,False,False,False,False,"The text ""佛說法受塵經"" exhibits a classical Chinese style typical of early Buddhist translations. No instances of the prefix 阿 (ā) used vernacularly, the prefix 老 (lǎo), the suffix 兒 (ér), reduplicated nouns, the pronoun 渠 (qú), the personal pronoun 他 (tā), or the personal pronoun 伊 (yī) were found. The mention of ""安世高"" (Ān Shìgāo) includes ""安"" as part of a proper name, not a vernacular prefix.",
本相猗致經,T 36,False,False,False,False,False,False,False,"The text demonstrates an archaic and formal translation style, characteristic of early Chinese Buddhist scriptures from the Later Han dynasty. It conspicuously lacks common vernacular elements such as the prefixes 阿 (ā) and 老 (lǎo), the suffix 兒 (ér), reduplicated nouns, and the third-person pronouns 渠 (qú), 他 (tā), or 伊 (yī). The language is often dense and repetitive, reflecting a direct or literal translation approach rather than an adaptation to contemporary colloquial Chinese.",
阿鋡口解,T 1508,False,False,False,False,False,False,False,"The text does not use the prefix 阿 (ā) not as part of a transliteration. It uses 阿 in 阿含 and 阿羅漢, which are transliterations. The text does not use the prefix 老 (lǎo) or the suffix 兒 (ér). There are no instances of reduplicated nouns. The pronoun 渠 (qú) is not found. The personal pronoun 他 (tā) is not used as a singular third-person pronoun 'he/she', though '他人' (tārén) meaning 'other people' appears. The personal pronoun 伊 (yī) is not used. Therefore, the text exhibits very few vernacular elements typical of later Chinese.",
禪行法想經,T 605,False,False,False,False,False,False,False,"The text exhibits a highly classical and formal style, characteristic of early Buddhist translations from the Later Han dynasty (An Shigao). It does not contain the specified vernacular elements. The prefix 阿 appears only as part of transliterated names (安息, 安世高) and not as a vernacular prefix. The prefixes 老 and suffix 兒 are absent. There are no reduplicated nouns found. Furthermore, the vernacular pronouns 渠, 他, and 伊 are not used. This suggests a translation style firmly rooted in classical Chinese, lacking overt vernacular influences.",
般若道行品經,T 224 (1),False,False,True,True,False,False,False,"The prefix 阿 (ā) is not used as a non-transliteration prefix; instances like 阿惟越致, 阿羅漢, and 阿僧祇 are parts of Sanskrit transliterations. The prefix 老 (lǎo) is not found. The suffix 兒 (ér) is present in the vernacular term 小兒 (child). Reduplicated nouns are found in phrases such as 色色 (sèsè) and 人復人 (rén fù rén). The second-person pronoun 渠 (qú) is not present. The personal pronoun 他 (tā) is not present. The personal pronoun 伊 (yī) is not present.",
般若道行品經,T 224 (2),False,False,False,True,False,False,False,"The character '阿' appears frequently but exclusively as part of transliterations of Buddhist terms and names (e.g., 阿羅漢, 阿難, 阿僧祇), not as a vernacular prefix. The prefix '老' and suffix '兒' do not appear. The text contains reduplicated nouns such as ""葉葉"", ""華華"", and ""實實"" (each leaf, each flower, each fruit). The pronoun '渠' does not appear. The character '他' appears only as part of the compound ""他人"" (other people), not as a singular third-person personal pronoun 'he/she'. The character '伊' appears only as part of the transliterated name ""伊沙天"" and is not used as a personal pronoun.",
般若道行品經,T 224 (3),False,False,False,False,False,False,False,"The text does not use the prefix 阿 (ā) in a vernacular sense (only in transliterated terms like 阿僧祇, 阿羅訶). The prefixes 老 (lǎo) and suffix 兒 (ér) are absent. No reduplicated nouns are found. The pronouns 渠 (qú) and 伊 (yī) are not present. 他 (tā) is only found in 他方 or 他人, not as a singular personal pronoun.",
般若道行品經,T 224 (4),False,False,False,True,False,False,False,"The text does not use the prefix 阿 ā as a vernacular prefix, nor the prefix 老 lǎo, the suffix 兒 ér, or the pronouns 渠 qú, 他 tā, or 伊 yī. However, it features reduplicated elements such as '心心' (e.g., '心心展轉相明') and '一一' (e.g., '一一深法'), which indicate vernacular influence.",
般若道行品經,T 224 (5),False,False,False,False,False,False,False,"The text does not show signs of the specified vernacular elements. The prefix 阿 (ā) is used exclusively in transliterations (e.g., 阿羅漢, 阿惟三佛). The prefix 老 (lǎo) is not found in a prefixed noun form. The suffix 兒 (ér) is absent. No reduplicated nouns are present, and the pronouns 渠 (qú), 他 (tā), or 伊 (yī) are not used. This style is characteristic of early Chinese Buddhist translations.",
般若道行品經,T 224 (6),False,False,False,False,False,False,False,"The text does not contain the prefix 阿 used as a vernacular element (all instances are transliterations like 阿惟越致, 阿羅漢, 阿難, etc.). It also does not use the prefix 老, the suffix 兒, reduplicated nouns, the second-person pronoun 渠, or the personal pronouns 他 (as 'he/she') or 伊. The term 他 and 他人 in the text consistently mean 'other' or 'others,' not 'he/she'.",
般若道行品經,T 224 (7),False,False,False,False,False,False,False,"The text, an early Chinese Buddhist translation by Lokaksema, does not utilize the prefix 阿 ā independently (it only appears as part of transliterated Buddhist terms), nor the prefixes 老 lǎo or the suffix 兒 ér. No reduplicated nouns were found. The second-person pronoun 渠 qú, the personal pronoun 他 tā (used as 'he/she'), and 伊 yī are also absent. The translation style in this excerpt appears to primarily employ technical Buddhist vocabulary and a formal expository approach.",
般若道行品經,T 224 (8),False,False,False,False,False,True,False,"The text uses the prefix 阿 ā only as part of transliterated Buddhist terms (e.g., 阿難, 阿須倫, 阿羅漢, 阿惟越致, 阿耨多羅三耶三菩, 阿閦佛, 阿僧祇). The prefix 老 lǎo is not used. The suffix 兒 ér is not used. There are no reduplicated nouns; '各各' is used as an adverb. The pronoun 渠 qú is not used. The personal pronoun 他 tā is used (e.g., '他人'). The personal pronoun 伊 yī is not used.",
般若道行品經,T 224 (9),False,False,False,True,False,False,False,"The text does not use the prefix 阿 (ā) as a vernacular prefix; all occurrences are part of transliterated Buddhist terms (e.g., 阿難, 阿羅漢, 阿閦). The prefix 老 (lǎo) is not used as a vernacular prefix to a person's name; '年老' (aged) is present but not in the requested capacity. The suffix 兒 (ér) is not found. Reduplicated nouns are present, such as '日日' (day by day) and '各各' (each and every). The second-person pronoun 渠 (qú) is not found. The personal pronoun 他 (tā) is not found. The personal pronoun 伊 (yī) is not found.",
般若道行品經,T 224 (10),False,False,False,False,False,False,False,"The text, an early Chinese Buddhist translation from the Later Han Dynasty, generally exhibits a formal, classical style consistent with its period. The prefix 阿 (a) appears exclusively as part of transliterated Buddhist terms (e.g., 阿難, 阿羅漢), not as a vernacular prefix. The prefixes 老 (lao) and the suffix 兒 (er) are not found. There are no instances of reduplicated nouns; adverbial reduplications like '世世' and '各各' are present, but not nominal ones. Neither the pronoun 渠 (qu) nor the personal pronoun 伊 (yi) is used. The single instance of 他 (ta) serves as 'other's' or 'another's' rather than a third-person personal pronoun 'he/she'.",
般舟般三昧經,T 418 (1),False,False,False,False,False,False,False,"The text does not use the prefix 阿 (ā) in a vernacular sense, as all occurrences are within transliterated proper nouns (e.g., 阿羅漢, 阿難, 阿彌陀佛). The prefix 老 (lǎo) and suffix 兒 (ér) do not appear in the text. There are no instances of reduplicated nouns; while reduplicated numerals/adverbs like 一一 and 數數 are present, they are not nouns. The pronoun 渠 (qú) and the personal pronouns 他 (tā) and 伊 (yī) are also absent from the text.",
般舟般三昧經,T 418 (2),False,False,False,True,False,False,False,"The text uses reduplicated nouns such as '國國' (guóguó, 'each country'), '各各' (gègè, 'each one' or 'various'), and '世世' (shìshì, 'lifetime after lifetime'). However, it does not use the prefix '阿' (ā) as a general prefix, only as part of transliterated proper nouns (e.g., 阿難, 阿耨多羅三藐三菩提, 阿羅訶, 阿須輪). The prefix '老' (lǎo) and the suffix '兒' (ér) are absent. Additionally, the personal pronouns '渠' (qú), '他' (tā), and '伊' (yī) are not found in the text.",
般舟般三昧經,T 418 (3),False,False,False,True,False,False,False,"The prefix 阿 is used in transliterated terms like 阿羅漢, 阿耨多羅三藐三菩提, 阿須輪, and 阿難, but not as a vernacular prefix. The prefix 老 is used in the compound term '長老' (elder), not as a vernacular prefix. The suffix 兒 is not found. The text contains the reduplicated noun '家家' (jiājiā, 'every house') in the phrase '比丘家家行乞食'. The pronoun 渠 is not found. The personal pronoun 他 is found only as part of '他人' (tārén, 'other people'), not as a standalone third-person pronoun. The personal pronoun 伊 is not found.",
伅真陀羅經,T 624 (1),False,False,False,False,False,False,False,"The text's translation style appears to be in classical Chinese, with a notable absence of the requested vernacular elements. The character 阿 (ā) is used exclusively in transliterations of Sanskrit terms (e.g., 阿僧祇劫, 阿惟越致, 阿耨多羅三藐三菩提心), not as a vernacular prefix. The character 老 (lǎo) appears as part of a noun (老、病、死 meaning ""old age"") or in an adjective referring to age (""年尊""), but not as a prefix. The character 兒 (ér) appears only as part of the compound noun 小兒 (child), not as a vernacular suffix. No instances of typical reduplicated nouns (e.g., 媽媽, 哥哥) were found; while some words like ""一一"" and ""時時"" are reduplicated, they function as adverbs or adjectives. The pronouns 渠 (qú) and 伊 (yī) are not found in the text. The character 他 (tā) appears only in the compound word 他人 (other people/others), not as a singular third-person pronoun 'he' or 'she'. The text predominantly uses 其 (qí) as a third-person pronoun.",
伅真陀羅經,T 624 (2),False,False,False,True,False,False,False,"The text, an early Chinese Buddhist translation by Zhi Loujiachen, shows a mixed style. It exhibits some vernacular elements such as reduplicated nouns/classifiers like '一一' (yī yī, as in '一一處', '一一珠', '一一蓮華', '一一毛'). However, it lacks other common vernacular indicators. Specifically, it does not use the prefix 阿 (ā) or 老 (lǎo) in a non-transliteration context, nor does it use the diminutive suffix 兒 (ér). Furthermore, the third-person pronouns 渠 (qú), 他 (tā), and 伊 (yī) are absent from the text. This suggests a translation style that incorporates some early vernacular tendencies but retains a largely formal and somewhat archaic character.",
伅真陀羅經,T 624 (3),False,False,False,False,False,False,False,"The text does not exhibit the specified vernacular elements. The prefix '阿' (ā) is used exclusively for transliterations of foreign names and terms (e.g., 阿難 Ānanda, 阿耨多羅 Ānuttara). The word '老' (lǎo) appears once but as a noun meaning 'old person/age' (譬若如老), not as a prefix. There are no instances of the suffix '兒' (ér) or the pronouns '渠' (qú) or '伊' (yī). While '他' (tā) appears, it is always in the context of 'others' (他人) or 'not thinking of others' (不念他), and not as a singular third-person personal pronoun (he/she). There are instances of reduplicated adverbs (e.g., 各各, 時時) and numerical intensifiers (億億), but no clear examples of reduplicated nouns (e.g., 人人, 天天) in the typical vernacular sense.",
方等部古品曰遺日說般若經,T 350,False,False,False,False,False,False,False,"The text uses the character '阿' (ā) exclusively as part of transliterated names (e.g., 阿難, 阿羅漢) or terms, not as a vernacular prefix. The character '老' (lǎo) appears in the compound noun '老病' (aging and sickness) but not as a prefix. The suffix '兒' (ér) is not found in the text. Reduplicated forms like '數數' (repeatedly) and '日日' (daily) are present, but they function as adverbs derived from temporal nouns, not as reduplicated nouns in a vernacular sense (e.g., '人人' for 'every person' or '家家' for 'every family'). The second-person pronoun '渠' (qú) is not present. The personal pronoun '他' (tā) is not used as a standalone third-person singular pronoun (he/she); it only appears as part of the compound '他人' (others). The personal pronoun '伊' (yī) is not found in the text.",
阿闍世王經,T 626 (1),False,False,True,True,False,False,False,"The text uses the suffix 兒 (ér) in terms like '其兒' and '小兒', and reduplicated nouns like '事事'. However, it does not use the prefix 阿 (ā) outside of transliterations, nor the prefix 老 (lǎo), nor the pronouns 渠 (qú), 他 (tā) as a standalone third-person pronoun, or 伊 (yī).",
阿闍世王經,T 626 (2),False,False,False,True,False,False,False,"The text does not use the prefix 阿 (ā) or 老 (lǎo) in a vernacular sense, with all instances of 阿 being part of transliterated Buddhist terms or names, and 老 appearing only as part of '尊老' or related to age. The suffix 兒 (ér) is also absent as a standalone diminutive or general suffix, appearing only in compound words for 'son' or 'daughter'. The third-person pronouns 渠 (qú), 他 (tā), and 伊 (yī) are not present. However, the text does utilize reduplicated nouns and quantifiers such as '各各', '人人', '世世', and '一一', which function to emphasize distribution or collectivity and are indicative of early vernacular elements in Chinese Buddhist translations. Overall, the text exhibits some early vernacular tendencies through reduplication, but largely retains a more classical or 'foreignized' translation style, typical of early Chinese Buddhist scriptures.",
問署經,T 458,False,False,False,False,False,False,False,"The prefix 阿 (ā) is present, but exclusively as part of transliterated Buddhist terms or proper names (e.g., 阿惟越致, 阿難, 阿羅呵, 阿耨多羅三耶三菩提), not as a vernacular prefix. The prefix 老 (lǎo) is not found. The suffix 兒 (ér) is not found. No clear instances of reduplicated nouns (like 媽媽) are found. However, other reduplicated elements such as `一一` (yī yī, 'each/every'), `少少` ('somewhat little'), and `數數` ('frequently') are present as quantifiers, adjectives, or adverbs. The pronouns 渠 (qú), 他 (tā), and 伊 (yī) are not found in this text.",
兜沙經,T 280,True,False,False,False,False,False,False,"The text contains the vernacular particle 阿 in ""居處阿"" (0445a21), which is not part of a transliteration. However, it is used as a particle/suffix, not a prefix in this instance. No instances of the prefix 老, the suffix 兒, the second-person pronoun 渠, or the personal pronouns 他 or 伊 (used as a pronoun) were found. While adverbial reduplications like ""各各"" are present, no reduplicated nouns were identified.",
阿閦佛國經,T 313 (1),False,False,False,True,False,False,False,"The text exhibits some vernacular elements, particularly the use of reduplicated nouns. ""世世"" (repeatedly, generation after generation) and ""家家"" (every household) are clear examples, as is ""佛佛剎"" (Buddha-lands). The prefix 阿 (ā) is present, but exclusively in transliterations (e.g., 阿羅漢, 阿閦, 阿難, 阿比羅提, 阿須倫), not as a vernacular prefix to kinship terms or common nouns. The prefix 老 (lǎo) and suffix 兒 (ér) are not used. The third-person pronoun 渠 (qú) and the personal pronouns 他 (tā) and 伊 (yī) are also not found in the text (他 appears only as part of ""他人財物"").",
阿閦佛國經,T 313 (2),False,False,False,False,False,False,False,"The text does not use the prefix 阿 (ā) other than as part of transliterated Buddhist terms (e.g., 阿閦, 阿難, 阿羅漢). The prefix 老 (lǎo) and the suffix 兒 (ér) are not found in the text. No instances of reduplicated nouns (e.g., 人人, 處處) are found. The character 他 (tā) appears but is used as an adjective meaning 'other' (e.g., 他方世界) or an indefinite pronoun meaning 'else' (e.g., 無他), not as a personal pronoun. The pronouns 渠 (qú) and 伊 (yī) are also not found in the text.",
內藏百品經,T 807,False,False,False,True,False,False,False,"The text uses the prefix 阿 (ā) only in transliterated terms like 阿羅漢, not as a vernacular prefix. The prefix 老 (lǎo) and suffix 兒 (ér) are not found. Reduplicated nouns are present, specifically '世世' (shìshì) for 'lifetime after lifetime'. The second-person pronoun 渠 (qú) is not used. The personal pronouns 他 (tā) and 伊 (yī) are also not found in the text.",
成具光明經,T 630,False,False,False,False,False,False,False,,
法鏡經,T 322,False,False,False,True,False,False,False,"The prefix 阿 (ā) is present but only as part of transliterated names (e.g., 阿難, Ananda), not as a vernacular prefix. The prefixes 老 (lǎo) and suffixes 兒 (ér) are absent. The second-person pronoun 渠 (qú) and the personal pronouns 他 (tā) and 伊 (yī) are not present. However, the reduplicated noun '世世' (shìshì, 'for generations') is used.",
中本起經,T 196 (1),False,False,False,False,False,False,False,"The text does not exhibit the use of the prefix 阿 ā (other than in transliterations like 阿難 or 阿蘭), the prefix 老 lǎo, the suffix 兒 ér, reduplicated nouns, the second-person pronoun 渠 qú, the personal pronoun 他 tā (used as 'other' or 'elsewhere' instead of 'he/she'), or the personal pronoun 伊 yī. The language is generally formal and literary, consistent with early Chinese Buddhist translations which often maintained a classical style.",
中本起經,T 196 (2),False,False,False,False,False,False,False,"The text does not exhibit strong vernacular elements based on the criteria provided. The prefix 阿 (ā) appears exclusively as part of transliterated proper nouns (e.g., 阿難, 阿凡和利), not as a general prefix. The character 老 (lǎo) is used as an adjective (e.g., 老母, 老道士) or as part of compound nouns (e.g., 耆老, 孤老, 老耄), but not as a true prefix in the vernacular sense. The suffix 兒 (ér) is not used in the text (兒子 is a compound noun). There are no clear instances of reduplicated nouns. The second-person pronoun 渠 (qú) is not present. Neither the personal pronoun 他 (tā) nor 伊 (yī) are used in the text; instead, the text uses pronouns like 吾 (wú), 卿 (qīng), and 汝 (rǔ), or refers to individuals by name or title.",
法句經,T 210 (1),False,False,False,True,False,False,False,"The text does not use the prefix 阿 ā as a vernacular prefix (阿難 is a transliteration). The prefix 老 lǎo is not used in a vernacular sense (老死 is a compound, 老氏 is a proper noun). The suffix 兒 ér is not present. Reduplicated nouns are found, including '世世', '數數', '往往', and '兩兩'. The pronoun 渠 qú is not used. The personal pronoun 他 tā as 'he/she' is not found; '他' appears once meaning 'other(s)' ('信不染他'), which is a more classical usage, not the distinct vernacular 'he/she'. The personal pronoun 伊 yī is not used.",
法句經,T 210 (2),False,False,False,True,False,False,False,"The text exhibits some vernacular elements, notably the use of reduplicated nouns such as ""親親"" (relatives/friends) and ""世世"" (generation after generation). However, it does not use the prefix 阿 (ā) or 老 (lǎo) in a vernacular sense (老 is used as a noun or part of compounds, not a prefix like 'Old So-and-so'). The suffix 兒 (ér) is absent. The third-person pronoun 渠 (qú) and the personal pronoun 伊 (yī) are not present. While 他 (tā) appears, it consistently means 'other' or 'another', not the third-person personal pronoun 'he/she'.",
維摩詰經,T 474 (1),False,False,False,True,False,False,False,"The text does not use the prefix 阿 (ā) or 老 (lǎo) in a vernacular sense, nor does it use the suffix 兒 (ér). The vernacular pronouns 渠 (qú) and 伊 (yī) are not present. While 他 (tā) appears, it is consistently used to mean 'other' (e.g., 他人 'other people', 他方 'other directions'), not as a third-person singular pronoun. However, the text does feature reduplicated nouns, such as '處處' (chùchù) meaning 'everywhere' (e.g., '處處校飾' at 0519c08), which is a characteristic vernacular element.",
維摩詰經,T 474 (2),False,False,False,True,False,False,False,"The text does not use the prefix 阿 (ā) outside of transliterated names or terms (e.g., 阿難, 阿閦佛). It also does not use the prefix 老 (lǎo) or the suffix 兒 (ér, which appears only as part of the compound noun 男女). Neither the pronoun 渠 (qú) nor 他 (tā) as a personal pronoun (他 is used in the sense of 'other', as in 他香, 他佛土) are present. However, the text does use reduplicated nouns, such as '處處' ('everywhere') and '人人' ('everyone').",
大般泥洹經,T 6,False,True,False,True,False,True,False,"The prefix 阿 (ā) does not appear in the text in a non-transliterated vernacular sense; all instances are part of transliterated proper names (e.g., 阿難, 阿闍世, 阿含). The prefix 老 (lǎo) is used in a vernacular sense, such as in ""老異學"" (old heterodox scholar, 0187b06) where ""老"" functions as an adjective-like prefix, and ""彼老"" (that old one, referring to the Buddha, 0189b15). The suffix 兒 (ér) does not appear in the text. Reduplicated nouns are present, including ""世世"" (generation after generation, 0187a12), ""處處"" (everywhere, 0189a29), and ""時時"" (from time to time, 0187b10). The second-person pronoun 渠 (qú) does not appear in the text. The personal pronoun 他 (tā) is used, specifically in the phrase ""無取無願於他"" (no taking or desiring from others/them, 0176b19), where ""他"" functions as a pronoun referring to ""others"". The personal pronoun 伊 (yī) does not appear in the text.",
瑞應本起經,T 185 (1),False,False,False,False,False,False,False,"The text, translated by Zhi Qian during the Wu period, exhibits a largely classical Chinese style typical of early Buddhist translations. No instances of the prefix 阿 (ā) were found outside of transliterated proper nouns (e.g., 阿夷). The prefix 老 (lǎo) appears as an adjective (e.g., 老人, 老母) or as part of compound words (e.g., 老病死) but not as a vernacular prefix. The suffix 兒 (ér) is absent; instead, 子 (zǐ) is used in forms like 白象子. No reduplicated nouns (e.g., 人人) were identified. The third-person vernacular pronouns 渠 (qú), 他 (tā), and 伊 (yī) are also not present in the text, which relies on more classical methods of reference for third persons. Overall, the translation shows few of the specified vernacular elements.",
瑞應本起經,T 185 (2),False,False,False,True,False,False,False,"The text contains a reduplicated noun such as '世世' (shìshì). It does not use the prefix 阿 (ā) except as part of transliterated foreign words like '阿摩勒果'. It also does not use the prefix 老 (lǎo), the suffix 兒 (ér), the second-person pronoun 渠 (qú), or the personal pronouns 他 (tā) and 伊 (yī). This suggests a translation style leaning towards classical rather than vernacular Chinese.",
慧印經,T 632,False,False,False,True,False,False,False,"The text does not use the prefix 阿 ā in a vernacular sense, only as part of transliterated Buddhist terms. The prefix 老 lǎo and the suffix 兒 ér are not found. Reduplicated nouns such as 國國, 郡郡, 縣縣, 聚聚 are present. The pronoun 渠 qú is not found. The personal pronoun 他 tā is not used as 'he/she'; instead, the phrase 他人 (other people) appears. The personal pronoun 伊 yī is not found.",
本業經,T 281,False,False,False,False,False,False,False,"The provided text does not contain the prefix 阿 (ā) used in a vernacular sense (it appears only in transliterated terms like '摩竭'), nor does it use the prefix 老 (lǎo), the suffix 兒 (ér), reduplicated nouns, the second-person pronoun 渠 (qú), the personal pronoun 他 (tā), or the personal pronoun 伊 (yī). The translation style appears to be classical, lacking these common vernacular elements.",
梵摩渝經,T 76,False,False,False,True,False,False,False,"The text uses reduplicated nouns such as '味味' (every taste) and '一一' (each and every). It does not use the prefixes 阿 ā or 老 lǎo in a vernacular sense, nor does it use the suffix 兒 ér. The second-person pronoun 渠 qú is not present, nor are the personal pronouns 他 tā or 伊 yī.",
